NAME,NTEE_CD,Category,Location,lat_lon
YALAHA COMMUNITY CLUB INC,N31,N,"26548 YALAHA RD, YALAHA, FL, 34797-3584","(-81.80901960297054, 28.733490314012883)"
LIGHT THE WAY CHRISTIAN FELLOWSHIP INC,P50,P,"1295 DEER PATH DR, OSTEEN, FL, 32764-9766","(-81.093996, 28.8355371)"
SPIRIT WIND MINISTRIES INC,X99,X,"311 SAINT DUNSTAN WAY, WINTER PARK, FL, 32792-4306","(-81.3153242267017, 28.59462478060668)"
YOUR IMAGE INSIDE & OUT INC,X20,X,"19489 SW 84TH PL, DUNNELLON, FL, 34432-2659","(-82.4609331, 29.0491426)"
SWIFTWATER FOUNDATION INC,T20,T,"11450 SE DIXIE HWY STE 202, HOBE SOUND, FL, 33455-5235","(-80.13991799627857, 27.080492)"
HOGAR DE CRISTO USA INC,Q11,Q,"2754 W ATLANTIC BLVD STE 8, POMPANO BEACH, FL, 33069-5719","(-80.1247667, 26.2378597)"
THE CLAY COUNTY CHAMBER OF COMMERCE FOUNDATION INC,S30,S,"1845 TOWN CENTER BLVD, FLEMING ISLAND, FL, 32003-3356","(-81.7121097734694, 30.0955091)"
BISON BAND BOOSTER INC,B11,B,"8600 NW 107TH AVE, DORAL, FL, 33178-3921","(-80.37268331548873, 25.8524271)"
CUSAVERS INC,J03,J,"711 E HENDERSON AVE, TAMPA, FL, 33602-2509","(-82.45342223076923, 27.959479846153844)"
CENTRAL FLORIDA COMMERCIAL REAL ESTATE ASSOCIATION INC,S41,S,"PO BOX 607763, ORLANDO, FL, 32860-7763","(-81.3790304, 28.5421109)"
ST PETER COPTIC ORTHODOX CHURCH INC,X20,X,"3405 FOREST HILL BLVD, WEST PALM BCH, FL, 33406-5814","(-80.0698753, 26.6552367)"
MIRAMAR POLICE FOUNDATION,I11,I,"11765 CITY HALL PROMENADE, MIRAMAR, FL, 33025-7685","(-80.30024639708536, 25.986450050000002)"
US SUPER YACHT ASSOCIATION INC,S41,S,"757 SE 17TH STREET CAUSEWAY 662, FORT LAUDERDALE, FL, 33316-2960","(-80.1433786, 26.1223084)"
INTERNATIONAL PEDIATRIC HIPPOTHERAPY INC,E30,E,"4761 SW 126TH AVE, SW RANCHES, FL, 33330-2315","(-80.31666602763643, 26.06111860835381)"
HAITIAN AMERICAN ART NETWORK,P20,P,"6541 NORTH ORANGE BLOSSOM TRAIL, ORLANDO, FL, 32810-4101","(-81.4264968, 28.6090496)"
POTTERS TEMPLE,X21,X,"13709 MEMORIAL HWY, MIAMI, FL, 33161-3634","(-80.19471012565573, 25.901029956216004)"
