NAME,NTEE_CD,Category,Location,lat_lon
VALDEZ JUNIOR RIFLE CLUB,N99,N,"PO BOX 3008, VALDEZ, AK, 99686-3008","(-146.349363, 61.1299396)"
PAVVA INUPIAQ DANCERS,A84,A,"4783 DRAKE ST, FAIRBANKS, AK, 99709-3009","(-147.86229603946833, 64.84166064686988)"
ALASKA MOBILITY COALITION,W01,W,"3750 ARCTIC BLVD BOX 1777, ANCHORAGE, AK, 99503-0000","(-149.894852, 61.2163129)"
CHURCH OF CHRIST AT WASILLA INC,X21,X,"2630 N JASPER DR, WASILLA, AK, 99654-3400","(-149.442563, 61.5824216)"
LADY WOLVERINES SOCCER BOOSTER CLUB,B112,B,"13400 ELMORE RD, ANCHORAGE, AK, 99516-3607","(-149.80432872211657, 61.09961466506732)"
MIR PARENTS,A23,A,"3500 W NORTHERN LIGHTS BLVD, ANCHORAGE, AK, 99517-1109","(-149.950597, 61.195202)"
UNITED STATES BOWLING CONGRESS INC,N70,N,"3250 E PALMER WASILLA HWY, WASILLA, AK, 99654-7216","(-149.4406921, 61.5705651)"
MAT-SU MARTIN LUTHER KING JR FOUNDATION INC,B82,B,"PO BOX 875754, WASILLA, AK, 99687-5754","(-149.442563, 61.5824216)"
STRUCTURAL ENGINEERS ASSOCIATION OF ALASKA,S41,S,"PO BOX 243342, ANCHORAGE, AK, 99524-3342","(-149.894852, 61.2163129)"
THIS GENERATION MINISTRIES INC,X20,X,"550 BEAVER BLVD, NORTH POLE, AK, 99705-7650","(-147.33782043915386, 64.75002265297395)"
ALASKA WRITERS GUILD,B99,B,"PO BOX 670014, CHUGIAK, AK, 99567-0014","(-149.4949094405849, 61.3736751)"
BORE TIDE SWIM CLUB INC,N60,N,"200 W 34TH AVE PMB 593, ANCHORAGE, AK, 99503-3969","(-149.894852, 61.2163129)"
MAT-SU COMMUNITY CHORUS,A6B,A,"PO BOX 1152, PALMER, AK, 99645-1152","(-149.11109, 61.5995703)"
RENEW YOUR MIND,F22,F,"123 E FIREWEED ST 212, ANCHORAGE, AK, 99503-2076","(-149.894852, 61.2163129)"
ALASKA LONGLINE FISHERMENS ASSOCIATION,S41,S,"PO BOX 1229, SITKA, AK, 99835-1229","(-135.337612, 57.0524973)"
ST CATHERINE OF SIENA CUF CHAPTER INC,X20,X,"3040 N SEAGULL DR, PALMER, AK, 99645-9105","(-149.11109, 61.5995703)"
SMITH MEMORIAL FOUNDATION,T12,T,"8000 KING ST, ANCHORAGE, AK, 99518-3060","(-149.87810404627086, 61.14813212507249)"
ALASKA STATE FARRIERS ASSOCIATION INC,B99,B,"PO BOX 4691, PALMER, AK, 99645-4691","(-149.11109, 61.5995703)"
