NAME,NTEE_CD,Category,Location,lat_lon
BLUE KNIGHTS MOTORCYCLE CLUB,Y42,Y,"319 N INGLESIDE ST, FAIRHOPE, AL, 36532-2923","(-87.9028458, 30.5231647)"
NEW HOPE OUTREACH MINISTRIES,X21,X,"1000 HENDERSON RD NW, HUNTSVILLE, AL, 35816-3512","(-86.632526, 34.732197)"
MARK HOWARD CEMETERY,Y50,Y,"306 POPLAR ST, PRATTVILLE, AL, 36066-5353","(-86.438534, 32.466174)"
TARRANT EDUCATION FOUNDATION,B112,B,"PO BOX 170745, BIRMINGHAM, AL, 35217-0745","(-86.8024326, 33.5206824)"
HARRIS BARRETT SCHOOL INC,A80,A,"4634 COUNTY ROAD 37, NOTASULGA, AL, 36866-3212","(-85.696494, 32.548958)"
FAIRHOPE CAT COALITION INC,D20,D,"104 ASHTON CT, FAIRHOPE, AL, 36532-3334","(-87.89220242890472, 30.577688451309296)"
COMMUNITY EMPOWERMENT DEVELOPMENT INC,O50,O,"P O BOX N969, SELMA, AL, 36702-0000","(-87.0207473, 32.4078632)"
ALABAMA COUNCIL OF ASSOCIATION WORKERS COMPENSATION SELF INSURERS,Y99,Y,"PO BOX 241305, MONTGOMERY, AL, 36124-1305","(-86.3006485, 32.3669656)"
LIVING WATERS TABERNACLE,X99,X,"220 BARTON ST, ANDALUSIA, AL, 36420-2610","(-86.490296, 31.316035)"
GLORIOUS CHANGES CHURCH,X20,X,"PO BOX 83, PHENIX CITY, AL, 36868-0083","(-85.0007653, 32.4709761)"
ALABAMA COMMUNITIES OF EXCELLENCE,S30,S,"3420 WHITEHALL ST, MONTGOMERY, AL, 36109-2247","(-86.25557660613046, 32.39546462801561)"
E-MIN GLOBAL MINISTRIES INC,X20,X,"PO BOX 220, WARRIOR, AL, 35180-0220","(-86.81310019555607, 33.8401255)"
J BRUCE & ROSE W BEVERIDGE FOUNDATION,T22,T,"2410 HAND AVE, BAY MINETTE, AL, 36507-4121","(-87.78512671741679, 30.906476826508253)"
UNITED CHRISTIAN OUTREACH GERMANY INC,X20,X,"3555 WOOLEY RD, MOBILE, AL, 36693-5255","(-88.12302396038825, 30.61973099685436)"
PAUL OUTREACH SERVICES INC,P20,P,"PO BOX 82, MONTGOMERY, AL, 36101-0082","(-86.3006485, 32.3669656)"
JOE BEASLEY MEMORIAL FOUNDATION INC,A68,A,"431 WOODLAND RD, BESSEMER, AL, 35020-6052","(-86.97587128040212, 33.38000956316476)"
KINGDOM RESOURCE AND DEVELOPMENT INC,J20,J,"PO BOX 782, BREWTON, AL, 36427-0782","(-87.0721918, 31.1051779)"
SPECIAL NEEDS FOUNDATION OF BLOUNT COUNTY,F11,F,"121 OAK MEADOW CIR, ONEONTA, AL, 35121-1664","(-86.48772187755101, 33.937836612244894)"
HEALING THE NATIONS,X21,X,"51 GLENDA CIR, SUMITON, AL, 35148-3634","(-87.02797077260767, 33.75565076729205)"
NEW BEGINNINGS MINISTRIES,S21,S,"1141 ONTARIO ST, BRIGHTON, AL, 35020-2300","(-86.94377267678094, 33.43464870936563)"
HOPE HEALTH CENTER INC,E30,E,"4614 CARNEGIE AVE, FAIRFIELD, AL, 35064-1430","(-86.91456291140942, 33.49083049731938)"
OPELIKA HOUSING DEVELOPMENT INC,L20,L,"PO BOX 268, OPELIKA, AL, 36803-0268","(-85.45560549441299, 32.65232605)"
