NAME,NTEE_CD,Category,Location,lat_lon
EAST ARKANSAS ENTERPRISE COMMUNITY,S20,S,"PO BOX 2212, FORREST CITY, AR, 72336-2212","(-90.7898342, 35.0081474)"
INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS,Y99,Y,"BLDG 2100 FORT SMITH BLVD, FORT CHAFFEE, AR, 72916-0000","(-94.3060452, 35.3123139)"
UTILITY ECONOMIC DEVELOPMENT ASSOCIATION,S41,S,"PO BOX 3474, LITTLE ROCK, AR, 72203-3474","(-92.2896267, 34.7465071)"
POLK COUNTY GENEALOGICAL SOCIETY,A05,A,"448 POLK ROAD 41 S, MENA, AR, 71953-7526","(-94.2376664, 34.5837324)"
INFRAGARD NATIONAL MEMBERS ALLIANCE INC,Q43,Q,"PO BOX 2684, LITTLE ROCK, AR, 72203-2684","(-92.2896267, 34.7465071)"
SELMA VOLUNTEER FIRE DEPT,M24,M,"323 HIGHWAY 293, TILLAR, AR, 71670-9405","(-91.4542551, 33.7108732)"
PINNACLE SCHOLARSHIP FOUNDATION,B82,B,"3 S CLUBHOUSE DR, ROGERS, AR, 72758-9563","(-94.1985499, 36.2963046)"
COMMUNITY RESOURCES TECHNICIANS INC,P51,P,"PO BOX 3616, LITTLE ROCK, AR, 72203-3616","(-92.2896267, 34.7465071)"
KOAL TO DIAMOND FOUNDATION INC,P20,P,"PO BOX 6014, PINE BLUFF, AR, 71611-6014","(-92.0140402, 34.2157064)"
JOE HUBBARD MINISTRIES,A68,A,"PO BOX 8266, HOT SPRINGS, AR, 71910-8266","(-93.0552437, 34.5038393)"
NEW REVELATION TEMPLE L M,X21,X,"1920 MUDLINE RD, PROCTOR, AR, 72376-9439","(-90.3734326, 35.0950918)"
ARKANSAS BEVERAGE RETAILERS ASSOCIATION,S41,S,"PO BOX 220, RUSSELLVILLE, AR, 72811-0220","(-93.1337856, 35.2784173)"
AMERICAN SCENT DOG ASSOCIATION INC,M23,M,"13823 RIVERCREST DR, LITTLE ROCK, AR, 72212-1520","(-92.4264500504233, 34.80781036199433)"
RIVER VALLEY COMMUNITY CHURCH,X21,X,"PO BOX 697, OZARK, AR, 72949-0697","(-93.831516, 35.4888029)"
J AUSTIN WHITE CULTURAL CENTER INC,A20,A,"PO BOX 316, EUDORA, AR, 71640-0316","(-91.2608555, 33.1147167)"
HIGHWAY 7 SPAY AND NEUTER,D20,D,"5155 HIGHWAY 7 S, HARRISON, AR, 72601-6484","(-80.3789878, 39.2820223)"
CENTRAL ARKANSAS WOODTURNERS,A25,A,"6 ASPE LN, HOT SPRINGS, AR, 71909-3316","(-93.00682621333509, 34.67471963140841)"
MARGARET DANIEL PRIMARY SCHOOL FOUNDATION,B112,B,"1323 FOSTER DR, ASHDOWN, AR, 71822-3217","(-94.1299625, 33.67344)"
ARKANSAS ASSOCIATION OF MORTGAGE PROFESSIONALS,J03,J,"PO BOX 1446, CONWAY, AR, 72033-1446","(-92.6888936, 35.2521996)"
AFRICAN AMERICAN HISTORICAL COMMISSION OF CAMDEN ARKANSAS,T50,T,"PO BOX 1440, CAMDEN, AR, 71711-2440","(-92.8343294, 33.5845582)"
INDEPENDENT APOSTOLIC CHURCH INC,X20,X,"PO BOX 115, PARON, AR, 72122-0115","(-92.7585001, 34.7728686)"
ARKANSAS ASSOCIATION FOR PLAY THERAPY,F03,F,"1609 GAINES ST, PEA RIDGE, AR, 72751-2016","(-94.13433904081633, 36.439574040816325)"
CORNERSTONE CHRISTIAN ACADEMY INC,B20,B,"1215 WHITNEY LN, KENSETT, AR, 72082-9028","(-91.67536009302326, 35.24502737209302)"
CELEBRATION CHURCH OF SHERWOOD INC,X21,X,"102 OVERCUP DR, SHERWOOD, AR, 72120-3191","(-92.21512590802587, 34.83690016814764)"
THE LAST OUTPOURING OUTREACH MINISTRY,X20,X,"304 VINE ST, JONESBORO, AR, 72401-2661","(-90.7156699298354, 35.840221583116346)"
