NAME,NTEE_CD,Category,Location,lat_lon
REAL J DAIGLE EVANGELISTIC CORPORATION,Q330,Q,"5971 N EDENBROOK LN, TUCSON, AZ, 85741-3755","(-110.9748477, 32.2228765)"
STROKE CHECK,E99,E,"6201 E CACTUS RD LOT 83, SCOTTSDALE, AZ, 85254-4409","(-111.9260184, 33.4942189)"
YUMA SOUTHWEST CONTRACTORS ASSOCIATION,S41,S,"350 W 16TH ST STE 430, YUMA, AZ, 85364-0001","(-114.47603157249804, 32.665135)"
FRIENDS OF PUBLIC RADIO ARIZONA,A11,A,"2323 W 14TH ST, TEMPE, AZ, 85281-6948","(-111.973617, 33.4128142)"
ANGEL FIRE INTERNATIONAL MINISTRIES,X20,X,"9967 E WESTERN SKY LN, SCOTTSDALE, AZ, 85262-4421","(-111.86534126805063, 33.80436175)"
WHITE MOUNTAIN WOMANS CLUB OF ARIZONA GFOWC,T50,T,"PO BOX 1386, LAKESIDE, AZ, 85929-1386","(-109.9734405, 34.154488)"
NEVADA SIGN ASSOCIATION SOUTHERN DIVISION,S41,S,"17235 N 75TH AVE D-145, GLENDALE, AZ, 85308-0861","(-112.185994, 33.5386858)"
DETOUR COMPANY THEATER INC,P82,P,"PO BOX 697, SCOTTSDALE, AZ, 85252-0697","(-111.9260184, 33.4942189)"
ARIZONA ADVOCACY NETWORK INC,R01,R,"221 E INDIANOLA AVE, PHOENIX, AZ, 85012-2002","(-112.0704544, 33.4922254)"
IMMANUEL CAMPUS OF CARE,T113,T,"11301 N 99TH AVE, PEORIA, AZ, 85345-5466","(-112.27238521311475, 33.586862147540984)"
AHWATUKEE CHILDRENS THEATRE INC,A65,A,"11011 S 48TH ST APT B101, PHOENIX, AZ, 85044-4318","(-112.074141, 33.4484367)"
SOUTHERN ARIZONA ARTS GUILD,B90,B,"2905 E SKYLINE DR STE 141, TUCSON, AZ, 85718-3089","(-110.9748477, 32.2228765)"
ARIZONA BEAGLE RESCUE,D20,D,"PO BOX 61193, PHOENIX, AZ, 85082-1193","(-112.074141, 33.4484367)"
SOLID ROCK MINISTERIES,X20,X,"15675 W SUPAI DR, GOODYEAR, AZ, 85338-3367","(-112.39715931513392, 33.429978681802716)"
SAVING ANIMALS FROM EUTHANASIA,D20,D,"3661 N CAMPBELL AVE SUITE 220, TUCSON, AZ, 85719-1527","(-110.9748477, 32.2228765)"
SCOTTDALE MANNAM PRESBYTERIAN CHURCH,X21,X,"3002 W GLENHAVEN DR, PHOENIX, AZ, 85045-2241","(-112.12442531077349, 33.2950395)"
GROSSMAN FAMILY FOUNDATION,T20,T,"7272 E INDIAN SCHOOL RD STE 200, SCOTTSDALE, AZ, 85251-3948","(-111.9260184, 33.4942189)"
FRIENDS OF MARTY BIRDMAN CENTER,N12,N,"316 E KELSO ST, TUCSON, AZ, 85705-0000","(-110.96661753333333, 32.255738066666666)"
CAFA INC,B29,B,"1120 S GILBERT RD BLDG 200 STE 112, GILBERT, AZ, 85296-3465","(-111.789037, 33.3527632)"
MESA ANGELS FOUNDATION INC,M20,M,"410 N 44TH ST STE 700, PHOENIX, AZ, 85008-7608","(-112.074141, 33.4484367)"
TREASURES 4 TEACHERS INC,B80,B,"3025 S 48TH ST STE 101, TEMPE, AZ, 85282-3136","(-111.9400164, 33.4255117)"
CHINO VALLEY LIONS FOUNDATION INC,P28,P,"PO BOX 770, CHINO VALLEY, AZ, 86323-0770","(-112.45378, 34.7575227)"
FALLEN FEATHERS RESCUE REHABILITATION & EDUCATION CORP,D20,D,"9532 W CIELO GRANDE, PEORIA, AZ, 85383-1104","(-112.26517539877301, 33.7013125)"
FOUR PEAKS WOMANS CLUB,P20,P,"16142 E GLENPOINT DR, FOUNTAIN HLS, AZ, 85268-3116","(-111.73200874229447, 33.621361701580014)"
