NAME,NTEE_CD,Category,Location,lat_lon
LINK A COMMUNITY ASSESMENT AND RESOURCE CENTER,O50,O,"9025 GRANT ST STE 150, THORNTON, CO, 80229-4346","(-104.985181, 39.8695516)"
GODS CLIP CHRISTIAN LADIES IN PRAYER,F30,F,"5240 GENOA ST, DENVER, CO, 80249-7581","(-104.75526578111757, 39.79298992789988)"
THE E-PROJECT,A65,A,"2373 S JAMAICA ST, AURORA, CO, 80014-1715","(-104.8624015, 39.6735368)"
EGYPTIAN STUDY SOCIETY INC,B60,B,"PO BOX 102132, DENVER, CO, 80250-2132","(-104.984862, 39.7392364)"
METROPLITAN STATE UNIVERSITY OF DENVER ALUMNI ASSOCIATION,B84,B,"PO BOX 173362, DENVER, CO, 80217-3362","(-104.984862, 39.7392364)"
GLOBAL INITIATIVES FOUNDATION,P20,P,"3838 S WABASH ST, DENVER, CO, 80237-1627","(-104.88871, 39.6420537)"
URBAN RIVER SOCIETY INCORPORATED,N61,N,"3445 23RD ST, BOULDER, CO, 80304-1947","(-105.26580364408757, 40.03707450516778)"
FALL RIVER COMMUNICATIONS COUNSIL,B112,B,"1400 DEERWOOD DR, LONGMONT, CO, 80504-8760","(-105.064418, 40.183745)"
EGERIA PARK ROPING CLUB,P60,P,"PO BOX 265, PHIPPSBURG, CO, 80469-0265","(-69.8147684, 43.820638)"
GUNNISON VALLEY OBSERVATORY INC,A50,A,"PO BOX 762, GUNNISON, CO, 81230-0762","(-107.0603126, 38.6476702)"
THE EARLY CHILDHOOD COUNCIL OF LARIMER COUNTY,P99,P,"2850 MCCLELLAND DR STE 3400, FORT COLLINS, CO, 80525-2572","(-105.0668085, 40.5508527)"
FRIENDS OF BOULDER FIRE-RESCUE,M24,M,"4810 RIVERBEND ROAD, BOULDER, CO, 80301-2643","(-105.23456431878105, 40.0159566109387)"
COLORADO DRUG INVESTIGATORS ASSOCIATION,B60,B,"10200 E GIRARD AVE STE C444, DENVER, CO, 80231-5548","(-104.984862, 39.7392364)"
FIRST KOREAN CHURCH OF COLORADO,X21,X,"13601 E ALAMEDA AVE, AURORA, CO, 80012-1302","(-104.832783, 39.7116212)"
ROCKY MOUNTAIN SYNCHRONIZED SWIMMING,A20,A,"3190 DOVER DR, BOULDER, CO, 80305-5312","(-105.25511, 39.98723105)"
ANGEL COVERS,P60,P,"PO BOX 6891, BROOMFIELD, CO, 80021-0015","(-105.05208, 39.9403995)"
SPANISH BIBLE FELLOWSHIP INC,X21,X,"PO BOX 1043, FRISCO, CO, 80443-1043","(-96.8236116, 33.1506744)"
CHRISTIAN COMMUNITY SERVICE,P20,P,"PO BOX 1081, LAKE CITY, CO, 81235-1081","(-92.2678663, 44.4478474)"
EGBA-YEWA DESCENDANTS UNION IN COLORADO INC,A23,A,"22759 E PRENTICE PL, AURORA, CO, 80015-6545","(-104.72177970207498, 39.62002715)"
REDSTONE ART FOUNDATION,A40,A,"303 REDSTONE BLVD, REDSTONE, CO, 81623-8940","(-107.23827273306318, 39.18252316880495)"
ASPEN CENTER FOR ENVIRONMENTAL STUDIES ENDOWMENT FUND INC,C113,C,"PO BOX 10931, ASPEN, CO, 81612-9720","(-106.8235606, 39.1911128)"
CAMBODIAN CHRISTIAN ARTS MINISTRY INC,X99,X,"PO BOX 2918, LOVELAND, CO, 80539-2918","(-105.04436132094955, 40.385549)"
HERITAGE OF PRAISE FELLOWSHIP,X21,X,"PO BOX 298, FOUNTAIN, CO, 80817-0298","(-104.74463115441176, 38.751126)"
DOROTHYS SOFT TOUCH CORP,B99,B,"1139 TUCSON ST, AURORA, CO, 80011-6424","(-104.83917000068254, 39.73415841352335)"
