NAME,NTEE_CD,Category,Location,lat_lon
U A LOCAL 716 APPRENTICESHIP AND TRAINING TRUST,B30,B,"10 TECHNOLOGY DR, WALLINGFORD, CT, 06492-1955","(-72.8227503, 41.461612)"
TRUST AGREEMENT FOR POST-RETIREMENT MEDICAL PLAN FOR UNION EMPLOYEES O,Y99,Y,"180 MARSH HILL RD, ORANGE, CT, 06477-3629","(2.1296263, 41.358302)"
EASTERN FRONTIER EDUCATIONAL,A90,A,"CO R FAVER 481 OLD LONG RIDGE ROA, STAMFORD, CT, 06903-0000","(-73.5420246, 41.0469042)"
WATOTO CHARITABLE TR,T30,T,"1364 ROCK RIMMON RD, STAMFORD, CT, 06903-1104","(-73.5420246, 41.0469042)"
WEST HAVEN CHURCH OF CHRIST INC,X20,X,"PO BOX 4416, HAMDEN, CT, 06514-0416","(-72.92273380575365, 41.36778095)"
BUILDERS BEYOND BORDERS,P30,P,"66 FORT POINT STREET, NORWALK, CT, 06855-1217","(-73.4219246, 41.0956718)"
TEMPLE OF PRAISE CHURCH OF CHRIST OF THE APOSTOLIC FAITH INCORPORATE,X20,X,"21 GRACE AVE, WATERBURY, CT, 06710-1019","(-73.0470175, 41.5544372)"
COMMUNITY DANCE ENSEMBLE INC,A60,A,"8 CHAPMAN AVE, QUAKER HILL, CT, 06375-1309","(-72.1061564, 41.4036987)"
CONNECTICUT SPECTRUM MANAGEMENT ASSOCIATION INC,A34,A,"31 SANTINA DR, MANCHESTER, CT, 06040-7001","(-72.5304550138903, 41.7813345)"
LIFE EDU ORG INC,U50,U,"139 BRIAR PATCH RD, STONINGTON, CT, 06378-2403","(-71.9108717, 41.3578831)"
CONNECTICUT RIVER LACROSSE CLUB INC,O50,O,"CO PHIL ORLANDO 61 ROWLAND RD, OLD LYME, CT, 06371-0000","(-72.3289715, 41.3159315)"
TED THOMAS DANCE FOUNDATION FOR THE PUBLIC INC,A62,A,"11 MEETING GROVE LN, NORWALK, CT, 06850-2205","(-73.4219246, 41.0956718)"
PRIMERA IGLESIA BAUTISTA INC,X21,X,"PO BOX 341249, HARTFORD, CT, 06134-1249","(-72.6816303, 41.7688459)"
UNITED HAITIAN AMERICAN SOCIETY,P84,P,"91 RIDGELEY AVE, FAIRFIELD, CT, 06825-4409","(-73.2584121, 41.1428951)"
WATERBURY CHRISTIAN FELLOWSHIP,X21,X,"26 DUBE LN # 1, WATERBURY, CT, 06705-1104","(-73.0470175, 41.5544372)"
NORTHEAST COMMUNITY CHURCH INC,X21,X,"185 EAST AVE, NORWALK, CT, 06855-1108","(-73.4219246, 41.0956718)"
HEALTH360 INC,B60,B,"5 COMMERCE RD UNIT 42, NEWTOWN, CT, 06470-7002","(28.045324188288106, -26.202258)"
CHRIST CHURCH INC,X200,X,"16 TOWN LINE RD, WOLCOTT, CT, 06716-2636","(-76.814958, 43.220622)"
BETHEL MINISTRY,X21,X,"PO BOX 24, STRATFORD, CT, 06615-0024","(-73.1307708, 41.1947276)"
FOR ONE WORLD,B99,B,"PO BOX 161, SOUTH LYME, CT, 06376-0161","(-72.2395235, 41.2895419)"
WITNESS PROJECT OF CONNECTICUT INC,G30,G,"2470 FAIRFIELD AVENUE, WINDSOR, CT, 06095-0000","(-122.8163802, 38.5471327)"
LOVING CARE MINISTRY INC,P40,P,"41 WOLFPIT AVE APT 5T, NORWALK, CT, 06851-4230","(-73.4219246, 41.0956718)"
MATCH COALITION INC,N20,N,"83 OAK ST, HARTFORD, CT, 06106-1515","(-72.5766535, 41.7494914)"
FRIENDS OF ASHA NIKETAN INC,P82,P,"PO BOX 182, NEW FAIRFIELD, CT, 06812-0182","(-73.5077323, 41.461004)"
DANIEL J GRIFFIN MEMORIAL,B82,B,"130 STANLEY DR, SOUTH WINDSOR, CT, 06074-3599","(-72.55421799651432, 41.8429283)"
ITALIAN HERITAGE FOUNDATION INC,B82,B,"547 SLATER RD, NEW BRITAIN, CT, 06053-2645","(-72.79165357467404, 41.6642765)"
PLYMOUTH COMMUNITY FOOD PANTRY,K31,K,"20 DEWEY AVE, TERRYVILLE, CT, 06786-6324","(-73.011556, 41.7144657)"
CHRIST CHURCH OF GOD & FAMILY CENTER INC,X20,X,"600 MERIDIAN STREET EXT APT 317, GROTON, CT, 06340-4153","(-72.0761998, 41.3501598)"
AMERICAN ECUMENICAL CATHOLIC CHURCH INC,X99,X,"30 WOODLAND STREET UNIT 10-D, HARTFORD, CT, 06105-2319","(-72.6816303, 41.7688459)"
FRIENDS OF BECKLEY FURNACE INC,A80,A,"PO BOX 383, EAST CANAAN, CT, 06024-0383","(-73.4806291743592, 41.1482556)"
FRENCH BULLDOG RESCUE NETWORK A NONPROFIT CORPORATION,D20,D,"41 CROSSROADS PLAZA SUITE 232, WEST HARTFORD, CT, 06117-2402","(-72.7395401, 41.7162112)"
PARK ROAD ASSOCIATES OF WEST HARTFORD INC,S41,S,"240 PARK ROAD, WEST HARTFORD, CT, 06119-2040","(-72.7395401, 41.7162112)"
METHODIST FAM CENTER PRESCHOOL INC,P30,P,"345 MIDDLESEX RD, DARIEN, CT, 06820-2518","(-73.4716428, 41.0771169)"
FARMINGTON AVENUE ALLIANCE,S20,S,"257 OXFORD ST, HARTFORD, CT, 06105-2249","(-72.6816303, 41.7688459)"
WATERBURY RETIRED EDUCATORS ASSOCIATION,J40,J,"37 STODDARD RD, WATERBURY, CT, 06708-1814","(-73.0470175, 41.5544372)"
MCCLOSKEY FAMILY FOUNDATION,E50,E,"6 MIST HILL DR, BROOKFIELD, CT, 06804-1622","(-72.21746029295917, 41.32085595)"
CONNECTICUT PARKINSONS WORKING GROUP INC,G11,G,"51 FAIRVIEW TER, S GLASTONBURY, CT, 06073-3305","(-72.6038918117835, 41.6584036)"
SUCCESS FOUNDATION INC,B92,B,"1055 WASHINGTON BOULEVARD, STAMFORD, CT, 06901-2216","(-73.5420246, 41.0469042)"
MUSIC FOR YOUTH INC,A60,A,"PO BOX 403, WESTPORT, CT, 06881-0403","(-73.3711356, 41.1190078)"
CWPN INC,X99,X,"PO BOX 985, NEW MILFORD, CT, 06776-0985","(-73.42633252089905, 41.5278281)"
CALF ISLAND CONSERVANCY INC,C30,C,"733 OLD CLINTON RD, WESTBROOK, CT, 06498-1760","(-72.4480552, 41.2889401)"
THY KINGDOM COME MINISTRIES,X21,X,"61 BENTWOOD DR APT 1, WATERBURY, CT, 06705-3615","(-73.0470175, 41.5544372)"
APPLE BLOSSOM SCHOOL AND FAMILY CENTER,B21,B,"426 DANBURY ROAD, WILTON, CT, 06897-2027","(-73.431976, 41.1959409)"
WATERBURY MAIN STREET INC,B90,B,"83 BANK STREET, WATERBURY, CT, 06702-2231","(-73.0470175, 41.5544372)"
MISSION GREATER WATERBURY,X21,X,"289 CHESTNUT HILL AVE, WATERBURY, CT, 06704-1600","(-73.0470175, 41.5544372)"
ASSOCIATION OF MADISON ADMINISTRATORS,J40,J,"302 GREEN HILL RD, MADISON, CT, 06443-2283","(-72.59958, 41.2837211)"
CONNECTICUT FEDERATION OF SCHOOL ADMINISTRATORS,J40,J,"174 WEIR ST, GLASTONBURY, CT, 06033-2712","(-72.59057068811434, 41.700615299999996)"
CONNECTICUT FEDERATION OF SCHOOL ADMINISTRATORS,J40,J,"155 DAVID HUMPHREY RD, DERBY, CT, 06418-2250","(28.6376725, 44.195021)"
CONNECTICUT FEDERATION OF SCHOOL ADMINISTRATORS,J40,J,"PO BOX 401, MOODUS, CT, 06469-0401","(-72.4313724, 41.5130803)"
CONNECTICUT FEDERATION OF SCHOOL ADMINISTRATORS,J40,J,"869 FORBES ST, EAST HARTFORD, CT, 06118-1958","(-72.7994444, 41.8475)"
CONNECTICUT FEDERATION OF SCHOOL ADMINISTRATORS,J40,J,"211 SLATER AVE, JEWETT CITY, CT, 06351-2531","(-71.98040962604455, 41.59751475)"
CONNECTICUT FEDERATION OF SCHOOL ADMINISTRATORS,J40,J,"24 GILLOTTI RD, NEW FAIRFIELD, CT, 06812-2525","(-73.5077323, 41.461004)"
CONNECTICUT FEDERATION OF SCHOOL ADMINISTRATORS,J40,J,"135 BACK RIMMON RD, BEACON FALLS, CT, 06403-1025","(-73.0630746, 41.4406696)"
