NAME,NTEE_CD,Category,Location,lat_lon
AMERICAN UNIVERSITY IN BULGARIA,Q300,Q,"910 17TH ST NW STE 1100, WASHINGTON, DC, 20006-2619","(-122.56799600299486, 47.8526164)"
P A T T,M014,M,"700 PENNSYLVANIA AVE SE STE 200, WASHINGTON, DC, 20003-2493","(-122.56799600299486, 47.8526164)"
REVELATION KNOWLEDGE CHRISTIAN CHURCH,X21,X,"1108 5TH ST NW, WASHINGTON, DC, 20001-3606","(-77.0190304498508, 38.90439859582248)"
PEACE CORPS FOUNDATION,A80,A,"3601 CONNECTICUT AVE NW APT 504, WASHINGTON, DC, 20008-2465","(-122.56799600299486, 47.8526164)"
NABOB TELECOMMUNICATIONS EDUCATION AND MANAGEMENT FOUNDATION,S40,S,"1201 CONNECTICUT AVE NW STE 200, WASHINGTON, DC, 20036-2632","(-122.56799600299486, 47.8526164)"
FREEMUSLIM ASSOCIATION INC,X40,X,"1627 K ST NW STE 400, WASHINGTON, DC, 20006-1711","(-122.56799600299486, 47.8526164)"
NORTH LINCOLN PARK NEIGHBORHOOD ASSOCIATION,C50,C,"1330 N CAROLINA AVE NE, WASHINGTON, DC, 20002-6424","(-76.98730009892228, 38.89129965)"
AMERICA ABROAD MEDIA,A34,A,"1701 PENNSYLVANIA AVE NW STE 300, WASHINGTON, DC, 20006-5813","(-122.56799600299486, 47.8526164)"
NURMI FAMILY FOUNDATION,T22,T,"3025 UNIVERSITY TER NW, WASHINGTON, DC, 20016-3462","(-77.09716695413451, 38.93020275)"
DISTRICT OF COLUMBIA CHAMBER OF COMMERCE FOUNDATION,S43,S,"1133 21ST ST NW STE M200, WASHINGTON, DC, 20036-3329","(-122.56799600299486, 47.8526164)"
PIZZAZZ,J20,J,"2520 10TH STREET NE, WASHINGTON, DC, 20018-1740","(-76.99280967128144, 38.92318745)"
MY SENIORS KEEPER FOUNDATION,P20,P,"2301 11 ST NW, WASHINGTON, DC, 20001-2263","(-122.56799600299486, 47.8526164)"
GRANTMAKERS FOR EFFECTIVE ORGANIZATIONS,T02,T,"1310 L STREET NW 404, WASHINGTON, DC, 20005-4383","(-122.56799600299486, 47.8526164)"
MUTUAL FUND DIRECTORS FORUM,B99,B,"1501 M ST NW STE 1150, WASHINGTON, DC, 20005-1772","(-122.56799600299486, 47.8526164)"
NATIONAL COALITION FOR HISTORY,A80,A,"400 A ST SE, WASHINGTON, DC, 20003-3807","(-77.00039086178029, 38.888834700000004)"
WITH-IN WITH-OUT THE CIRCLE INC,X99,X,"440 L ST NW UNIT 610, WASHINGTON, DC, 20001-2577","(-122.56799600299486, 47.8526164)"
