NAME,NTEE_CD,Category,Location,lat_lon
KUEHNER BROTHERS FOUNDATION INC,T20,T,"FOUNDATION SOURCE 501 SILVERSIDE RD, WILMINGTON, DE, 19809-0000","(-75.546589, 39.7459468)"
COLLABORATIVE EFFORT TO REINFORCE TRANSITION SUCCESS INC,B90,B,"52 READS WAY, NEW CASTLE, DE, 19720-1649","(-75.61201468763178, 39.689014241844596)"
STAR KIDS INC,T70,T,"124 HAINES ST, NEWARK, DE, 19711-5329","(-75.74730828205128, 39.68137005128205)"
RODNEY STREET TENNIS ASSOCIATION,N66,N,"101 GARDEN OF EDEN RD, WILMINGTON, DE, 19803-1511","(-75.546589, 39.7459468)"
SERVIAM MEDIA INC,A31,A,"PO BOX 7769, WILMINGTON, DE, 19803-0769","(-75.546589, 39.7459468)"
WOMEN IN TRANSITION INC,I31,I,"193 MALCOLM FOREST RD, NEW CASTLE, DE, 19720-8740","(-75.62162229770321, 39.63534153459479)"
DELAWARE STORM TRAVEL TEAMS INC,N63,N,"36617 ROXANA RD, SELBYVILLE, DE, 19975-3352","(-75.1950242, 38.4753464)"
CORRECTIONAL OFFICERS ASSOCIATION OF DELAWARE,J40,J,"1243 COLLEGE PARK DR, DOVER, DE, 19904-8713","(-75.55258404040131, 39.179123241123754)"
ALVIN MARLEY FOUNDATION INC,T20,T,"FOUNDATION SOURCE 501 SILVERSIDE RD, WILMINGTON, DE, 19809-0000","(-75.546589, 39.7459468)"
KLUNGNESS FAMILY FOUNDATION INC,T20,T,"FOUNDATION SOURCE 501 SILVERSIDE RD, WILMINGTON, DE, 19809-0000","(-75.546589, 39.7459468)"
WILMINGTON TIGERS BASKETBALL CLUB OF DELAWARE INC,N62,N,"209 FALLON AVE, WILMINGTON, DE, 19804-1918","(-75.546589, 39.7459468)"
ORGANIZATION OF PJM STATES INC,U03,U,"249 E MAIN STREET BLD 2 STE 1, NEWARK, DE, 19711-7317","(-75.7630866, 39.6775927)"
MARYLAND FOOTBALL COACHES ASSOCIATION,N65,N,"31960 DOGWOOD WAY, SELBYVILLE, DE, 19975-3794","(-75.2216048, 38.4606407)"
MAINSTREAM PROJECTS INC,S99,S,"PO BOX 9163, WILMINGTON, DE, 19809-0163","(-75.546589, 39.7459468)"
MY SISTERS PLACE INC,L20,L,"50 CURRANT DR, NEWARK, DE, 19702-2852","(-75.7630866, 39.6775927)"
CONTRACTORS FOR A CAUSE FOUNDATION LLC,P80,P,"PO BOX 1282, OCEAN VIEW, DE, 19970-1282","(-75.0890709, 38.5451122)"
ARISING MINISTRIES,X99,X,"503 SCHOONER CT, NEWARK, DE, 19702-4829","(-75.7630866, 39.6775927)"
CALVARY CHAPEL OF THE LIVING GOD AND THE LORD JESUS CHRIST CHURCH,X99,X,"22959 SURRY LN, MILLSBORO, DE, 19966-7542","(-75.31626506869381, 38.583113999999995)"
KENT COUNTY AMATEUR RADIO CLUB,B99,B,"911 PUBLIC SAFETY BLVD, DOVER, DE, 19901-4524","(-75.51309325707544, 39.15203256091698)"
SPEAK FOR THOSE WHO CANNOT PROGRAMS INC,P40,P,"2010 MONROE PL, WILMINGTON, DE, 19802-3924","(-75.54603926774946, 39.75767177220808)"
JOHN P AND ANN MARIE MARTIN CHARITABLE TR,T22,T,"110 NEPTUNE DR, NEWARK, DE, 19711-3011","(-75.7630866, 39.6775927)"
NEW CALVARY BAPTIST CHURCH,X21,X,"610 S HEALD ST, WILMINGTON, DE, 19801-5636","(-75.544819, 39.727665)"
DELAWARE HEADSTART ASSOCIATION INC,B80,B,"100 W 10TH STREET, WILMINGTON, DE, 19801-6603","(-75.548546, 39.745771)"
AMERICAN ALLIANCE OF PARALEGALS INC,S41,S,"4023 KENNETT PIKE, WILMINGTON, DE, 19807-2018","(-75.5823155, 39.765225)"
J-BROOK PRODUCTIONS INC,X20,X,"14 GREENSPIRE LN, SMYRNA, DE, 19977-3974","(-75.59759575, 39.273575)"
EMPOWERING WOMEN IN NEED OF GUIDANCE CORPORATION,P20,P,"PO BOX 236, BEAR, DE, 19701-0236","(-75.6582628, 39.6292788)"
J J SEGAL FOUNDATION,T22,T,"FOUNDATION SOURCE 501 SILVERSIDE RD, WILMINGTON, DE, 19809-0000","(-75.546589, 39.7459468)"
OBRZUT-LING FOUNDATION INC,T22,T,"FOUNDATION SOURCE 501 SILVERSIDE RD, WILMINGTON, DE, 19809-0000","(-75.546589, 39.7459468)"
FOSTER FAMILY PRIVATE FOUNDATION INC,T20,T,"FOUNDATION SOURCE 501 SILVERSIDE RD, WILMINGTON, DE, 19809-0000","(-75.546589, 39.7459468)"
THE SAM AND DEIDRE PATTERSON FOUNDATION,T22,T,"FOUNDATION SOURCE 501 SILVERSIDE RD, WILMINGTON, DE, 19809-0000","(-75.546589, 39.7459468)"
VINCENT DOWLING FAMILY FOUNDATION INC,T22,T,"FOUNDATION SOURCE 501 SILVERSIDE RD, WILMINGTON, DE, 19809-0000","(-75.546589, 39.7459468)"
IKEBANA IWAYA FUND,S03,S,"5 WOOD RD, WILMINGTON, DE, 19806-2021","(-75.5643782, 39.765208)"
DOMINION MANDATE MINISTRIES INC,X20,X,"244 SHAPLEY DR, SMYRNA, DE, 19977-6840","(-75.6046494, 39.2998339)"
K I S H HOME INC,L41,L,"PO BOX 672, FELTON, DE, 19943-0672","(-75.5779807, 39.0084464)"
THE FAB FOR LIFE FOUNDATION INC,B82,B,"321 CARLTON DR, MILTON, DE, 19968-1368","(-75.31240980103986, 38.76853215)"
RICHES OF HIS GRACE,X20,X,"10 BLUE SPRUCE DR, BEAR, DE, 19701-4126","(-75.6582628, 39.6292788)"
VINTON FAMILY FOUNDATION TR,T22,T,"300 WATER STREET, WILMINGTON, DE, 19801-5037","(-75.55598910284137, 39.738405650000004)"
BLESSED GIVING INC,K31,K,"200 N BI STATE BLVD, DELMAR, DE, 19940-1203","(-75.5741503, 38.4612914)"
STOP THE VIOLENCE COALITION,I20,I,"400 HILLCREST AVE, WILMINGTON, DE, 19809-3257","(-75.546589, 39.7459468)"
HEALY FOUNDATION,T20,T,"1100 NORTH MARKET STREET, WILMINGTON, DE, 19890-0001","(-75.547017, 39.746522)"
