NAME,NTEE_CD,Category,Location,lat_lon
EMORY MEDICAL LABORATORIES INC,E30,E,"1364 CLIFTON RD NE, ATLANTA, GA, 30322-1059","(-84.32208292907711, 33.792151000000004)"
THURBER FAMILY FOUNDATION INC,T22,T,"580 WIDGEON LN, ATLANTA, GA, 30327-4729","(-84.41106543942983, 33.90248595)"
IMPACT PARTNERS INC,X21,X,"5830 WILTSHIRE DR, COLUMBUS, GA, 31909-4748","(-84.93696239132281, 32.527719347087675)"
LARSEN & LARSEN MINISTRIES INC,X20,X,"155 SWANSON VALLEY DR, TYRONE, GA, 30290-1850","(-84.57563456342025, 33.48536842504481)"
RICHMOND COUNTY MEDICAL SOCIETY PROJECT ACCESS INC,P99,P,"2612 COMMONS BLVD, AUGUSTA, GA, 30909-2080","(-82.0421671, 33.5092349)"
YANCEY FAMILY FOUNDATION INC,T22,T,"5928 COCA COLA BLVD, COLUMBUS, GA, 31909-5531","(-84.88704662217607, 32.52921792803687)"
COOPERATIVE HEALTHCARE SERVICES INC,E300,E,"2415 PARKWOOD DR, BRUNSWICK, GA, 31520-4722","(-81.48482528644345, 31.175760150000002)"
DRUID HILLS OF LITHONIA CHURCH OF GOD IN CHRIST INC,X21,X,"6954 BRASWELL ST, LITHONIA, GA, 30058-4406","(-84.10374032326516, 33.71924744888019)"
FIRST STEPS ACADEMY INC,B21,B,"9820 NESBIT FERRY RD, ALPHARETTA, GA, 30022-5349","(-84.2794631, 34.0186979)"
REACH FOR EXCELLENCE INC,B90,B,"3790 ASHFORD DUNWOODY RD NE, BROOKHAVEN, GA, 30319-5104","(-84.33517852982565, 33.901224400000004)"
KING OF PEACE EPISCOPAL DAY SCHOOL INC,P33,P,"6230 LAUREL ISLAND PKWY, KINGSLAND, GA, 31548-6056","(-81.7171062, 30.8213249)"
TAPESTRY COMMUNITY HOMEOWNERS ASSOCIATION INC,S20,S,"911 WALKER AVE SE, ATLANTA, GA, 30316-2581","(-84.35976387793704, 33.73003425)"
JOHNSON YOUTH ORGANIZATION INC,F60,F,"2431 HOODS CHAPEL RD, BLYTHE, GA, 30805-3522","(-82.200047, 33.312927)"
SOUTHERN CULTURAL FOUNDATION INC,A80,A,"359 FRANKLIN RD, MACON, GA, 31220-4000","(-83.804675, 32.900097)"
ELM STREET CULTURAL ARTS VILLAGE INC,A65,A,"8534 MAIN ST, WOODSTOCK, GA, 30188-4842","(-84.51988556419309, 34.10173265)"
FAYETTEVILLE MAIN STREET TOURISM ASSOCIATION INC,S40,S,"210 STONEWALL AVE W, FAYETTEVILLE, GA, 30214-1518","(-84.45881612659, 33.44770178637196)"
BRIDGESTONES INTERNATIONAL INC,X20,X,"824 BROWN THRASHER WAY, BREMEN, GA, 30110-2369","(-85.1366010498628, 33.70892946581113)"
THUMBS UP COMMUNITY CENTER INC,P20,P,"1115 6TH AVE, AUGUSTA, GA, 30901-4011","(-81.9911080874207, 33.451541952465476)"
SEEKERS OF HIS FACE INC,X20,X,"3040 EAGLE DR, AUGUSTA, GA, 30906-3326","(-82.0417969890682, 33.41206445716292)"
MCDUFFIE MUSEUM INC,A50,A,"121 MAIN ST, THOMSON, GA, 30824-2615","(-82.50267426530613, 33.467159306122454)"
INTEGRITY TRANSFORMATIONS COMMUNITY DEVELOPMENT CORPORATION,K30,K,"692 LINDSAY STREET, ATLANTA, GA, 30318-0000","(-84.4167885, 33.77356455)"
GOSPEL FAITH MISSION INTERNATIONAL FOREST PARK BRANCH INC,X20,X,"5707 MEADOW LN, REX, GA, 30273-1156","(-84.27354665027633, 33.59708739323061)"
KINGSVILLE BAPTIST CHURCH,X21,X,"288 BROAD ST, CUSSETA, GA, 31805-3706","(-84.78301513302925, 32.30779362233248)"
LOVING HANDS COMMUNITY DEVELOPMENT CORPORATION,S20,S,"702 JOHNSTONVILLE RD, BARNESVILLE, GA, 30204-4231","(-84.1428173, 33.0624496)"
HOUSE OF BREAD MINISTRIES INC,X21,X,"1017 SLATER ST, VALDOSTA, GA, 31601-3936","(-83.28236869793093, 30.841526068192)"
CHRISTIAN MISSION OF ATLANTA,X21,X,"385 SCENIC HWY, LAWRENCEVILLE, GA, 30046-5672","(-83.99362601627723, 33.936881741401976)"
FULL COUNSEL APOSTOLIC MINISTRIES,X20,X,"1311 VETERANS MEMORIAL HWY SW, MABLETON, GA, 30126-3111","(-84.5645665, 33.8156862)"
BETTA PLACE INC,K40,K,"436 IVY ST, JESUP, GA, 31546-3744","(-81.88449369387754, 31.59233681632653)"
RIVER OF LIFE CHURCH OF TIFTAREA INC,X20,X,"2209 TYSON AVE, TIFTON, GA, 31794-3030","(-83.49414231598539, 31.474730035936695)"
POPE CHEERLEADING ASSOCIATION INC,B112,B,"3001 HEMBREE RD NE, MARIETTA, GA, 30062-4205","(-84.45222669427525, 34.02384975)"
CIUDAD DE ANGELES INC,P70,P,"5240 ROSWELL RD, MARIETTA, GA, 30062-6523","(-84.3984508, 34.0011458)"
T A Y CLUB INC,B11,B,"4312 KIMBALL RD SW, ATLANTA, GA, 30331-6522","(-84.53106852299359, 33.6880414)"
AM DAWG INC,B83,B,"5610 WHITNER DR, ATLANTA, GA, 30327-4747","(-84.40559540998929, 33.9084813)"
LITHONIA HOUSING AUTHORITY DEVELOPMENT CORPORATION,L20,L,"6878 MAX CLELAND BLVD, LITHONIA, GA, 30058-4467","(-84.10836043169068, 33.712497111374674)"
INTERNATIONAL CHECKERS ASSOCIATION OF NORTH AMERICA INC,I21,I,"115 LAURENS OAK CT, ALPHARETTA, GA, 30022-5855","(-84.2570200199715, 34.035670044562174)"
WAY CHRISTIAN TABERNACLE,X20,X,"1342 GLENWOOD AVE SE, ATLANTA, GA, 30316-2048","(-84.3435324, 33.7403268)"
JESUS PLATFORM MINISTRIES INC,X83,X,"110 HABERSHAM DR, FAYETTEVILLE, GA, 30214-1381","(-84.45477504858168, 33.458563113387115)"
NEW WAY CHRISTIAN CHURCH INC,X20,X,"313 COOK ST, LOUISVILLE, GA, 30434-1505","(-82.40314344897959, 33.0086392244898)"
MOUNT SINAI BAPTIST CHURCH OF MACON INC,X21,X,"1310 EASTVIEW AVE, MACON, GA, 31217-4208","(-83.60376379499536, 32.85769182437045)"
CHRISTIAN CHURCH OF THE LIVING GOD REHABILITATION CENTER,X20,X,"1020 SMITH ST SW, ATLANTA, GA, 30310-3624","(-84.40056633342216, 33.727031800000006)"
TABERNACLE OF GOD INTERNATIONAL MINISTRIES INC,X20,X,"745 MAGNOLIA GARDENS WALK, MCDONOUGH, GA, 30253-6082","(-84.1769869, 33.4570832)"
PLEASANT HILL CEMETARY FUND,Y50,Y,"1635 WINDER HWY, DACULA, GA, 30019-2219","(-83.9100752, 33.9904945)"
REVISION MINISTRIES INC,X20,X,"201 PRESTWICK WAY N, STOCKBRIDGE, GA, 30281-6300","(-84.210932, 33.512014)"
SMART CHILDREN ACADEMY INC,O50,O,"458 CRABAPPLE PL, MACON, GA, 31217-5557","(-83.5377218503871, 32.813292700508654)"
EOD MC,W30,W,"235 WELLSTONE WAY, RICHMOND HILL, GA, 31324-7875","(-81.3152723, 31.8986607)"
AFFORDABLE HOUSING COMMUNITY DEVELOPMENT CORPORATION,L20,L,"501 CAMBRIDGE CT, ALPHARETTA, GA, 30005-4216","(-84.227878, 34.073151)"
PERGOM INTERNATIONAL,L20,L,"6535 WHITE MILL RD, FAIRBURN, GA, 30213-2543","(-84.6181893, 33.5785967)"
THE UPPER ROOM OUTREACH MINISTRIES INC,X20,X,"702 STATE ST, WAYCROSS, GA, 31501-4656","(-82.359821890625, 31.21995853125)"
PROTECTING & ENSURING THEIR SURVIVAL INC,D20,D,"102 STILLWOOD DR, WARNER ROBINS, GA, 31088-6156","(-83.6154445, 32.5763945)"
OMORE TAYA INC,T20,T,"4297 TUCKER NORTH CT, TUCKER, GA, 30084-3632","(-84.21100583531366, 33.865573158609756)"
SAFE HAVEN ANIMAL RESCUE INC,D20,D,"960 BUTTS MILL RD, PINE MOUNTAIN, GA, 31822-9751","(-84.88366168121526, 32.868792892551745)"
BELIEVE MINISTRIES INC,X20,X,"110 ROSWELL FARMS CIR, ROSWELL, GA, 30075-4351","(-84.36943516396204, 34.01866115)"
GREATER BETHEL ATLANTA AME CHURCH INC,X20,X,"2455 LAKEWOOD AVE SW, ATLANTA, GA, 30315-6327","(-84.39932577000695, 33.697396600000005)"
TRIUMPH IN LIFE INC,P20,P,"5467 JEROME RD, ATLANTA, GA, 30349-3139","(-84.484998508774, 33.6077333)"
DEPT OF GEORGIA LADIES AUXILIARY THE VFW OF THE UNITED STATES,W30,W,"311 W CHURCH ST, FORT VALLEY, GA, 31030-3719","(-83.8902481059612, 32.553826696593816)"
WATOTO INC,P20,P,"3871 REDWINE RD, ATLANTA, GA, 30344-5870","(-84.50833948351898, 33.65996064588644)"
DELIVERING HOPE FOUNDATION INC,F99,F,"2879 CANTON HWY, CUMMING, GA, 30040-1951","(-84.2113307, 34.2373364)"
CHANGING FACES WITHIN INC,S20,S,"3201 MACON RD, COLUMBUS, GA, 31906-1717","(-84.9430746, 32.4831325)"
HEALING HANDS OUTREACH MINISTRIES INC,X99,X,"506 S TENNESSEE ST, CARTERSVILLE, GA, 30120-3955","(-84.79203934693878, 34.15842571428572)"
DESTINED FOR GREATNESS OUTREACH YOUTH CENTER INC,O20,O,"963 WELCH ST SW, ATLANTA, GA, 30310-2970","(-84.4049998, 33.72868995)"
VICTORY THEOLOGICAL SEMINARY INCORPORATED,B28,B,"4016 3RD ST, GARDEN CITY, GA, 31408-2812","(-81.147532, 32.098332)"
WAT LAO BUDDHARAM KHAMBOUNEHEUANG INC,X50,X,"136 HAMBY MTN PK DR, BALDWIN, GA, 30511-2827","(-83.5456116493625, 34.48224468330724)"
CHURCH IN THE NOW-ATHENS INC,X21,X,"195 SKYLINE WAY, ATHENS, GA, 30606-3817","(-83.4246439, 33.931667)"
LOVING JESUS AND YOU MINISTRIES INC,X20,X,"1865 S BARTON DR, AUGUSTA, GA, 30906-9642","(-82.00328164006928, 33.37814657504859)"
POWER FOR LIFE MINISTRIES INTERNATIONAL INC,X21,X,"99 BAILEY DR, CAMILLA, GA, 31730-6702","(-84.192971, 31.228278)"
WILLIAM BREMEN JEWISH HERITAGE MUSUEM,A50,A,"1440 SPRING ST NW, ATLANTA, GA, 30309-2832","(-84.3897696, 33.7940642)"
CTAE RESOURCE NETWORK INC,J30,J,"206 W ALDEN AVE, VALDOSTA, GA, 31602-2929","(-83.29091063146818, 30.85430858535114)"
LEARNING IN RETIREMENT INC,B60,B,"850 COLLEGE STATION RD, ATHENS, GA, 30605-2718","(-83.3577679333696, 33.9304172264535)"
ATLANTA ANIMAL RESCUE FRIENDS INC,D20,D,"6570 JAMES B RIVERS DR, STONE MOUNTAIN, GA, 30083-0000","(-84.1645506, 33.8127667)"
RENAISSANCE AFFORDABLE HOUSING INC,L19,L,"230 JOHN WESLEY DOBBS AVE NE, ATLANTA, GA, 30303-2429","(-84.37984097321615, 33.757809949999995)"
STRATEGIC RESOURCE DEVELOPMENT CORPORATION,L11,L,"230 JOHN WESLEY DOBBS AVE NE, ATLANTA, GA, 30303-2429","(-84.37984097321615, 33.757809949999995)"
WESTSIDE AFFORDABLE HOUSING INC,L20,L,"230 JOHN WESLEY DOBBS AVE NE, ATLANTA, GA, 30303-2429","(-84.37984097321615, 33.757809949999995)"
DAIL COMMUNITY OF U S A INC,Q33,Q,"2976 BUFORD HIGHWAY, DULUTH, GA, 30096-3498","(-84.139824, 34.004055)"
GWINNETT FIRE EMPLOYEE BENEVOLENT FUND,P60,P,"408 HURRICANE SHOALS RD NE, LAWRENCEVILLE, GA, 30046-4406","(-83.9786813176575, 33.97394285)"
ST MARYS HIGHLAND HILLS INC,X11,X,"1230 BAXTER ST, ATHENS, GA, 30606-3712","(-83.40529603690919, 33.947457150000005)"
WILSON ANTHONY INCORPORATED,R30,R,"2882 S CLARK DR, EAST POINT, GA, 30344-6869","(-84.45592090061038, 33.67672855)"
MARIETTA HIGH SCHOOL BAND BOOSTER,A6C,A,"1171 WHITLOCK AVE SW, MARIETTA, GA, 30064-1932","(-84.5750022, 33.9519449)"
PERSONAL GROWTH INSTITUTE,X20,X,"2132 JAMES JACKSON PKWY NW, ATLANTA, GA, 30318-1015","(-84.47778625000001, 33.81420935)"
JUNIPER TREE MINISTRIES,X21,X,"2863 FAIRBURN PL SW, ATLANTA, GA, 30331-6006","(-84.51805432109764, 33.673992612793)"
CARPET AMERICA RECOVERY EFFORT CARE INC,C34,C,"100 S HAMILTON ST, DALTON, GA, 30720-4216","(-84.967982, 34.771314)"
ROCK CHURCH OF ATLANTA,X21,X,"4815 COURTNEY DR, FOREST PARK, GA, 30297-3819","(-84.35551608329595, 33.62333629159665)"
MOHAMMED SCHOOLS OF ATLANTA LTD,B24,B,"735 FAYETTEVILLE RD SE, ATLANTA, GA, 30316-2309","(-84.31402359259259, 33.736031000000004)"
BLUE HERON NATURE PRESERVE INC,C30,C,"4055 ROSWELL RD NE, ATLANTA, GA, 30342-4145","(-84.381014, 33.8735021)"
FAITH TODAY MINISTRIES INC,X20,X,"240 KINGS CIR, ATHENS, GA, 30606-1104","(-83.4417332, 33.9897385)"
GRACEWAY RECOVERY RESIDENCE INC,F22,F,"411 W TIFT AVE, ALBANY, GA, 31701-2245","(-84.15645466236334, 31.58470775838831)"
BOYS & GIRLS CLUBS IN INDIAN COUNTRY INC,O23,O,"1275 PEACHTREE STREET NE, ATLANTA, GA, 30309-3580","(-84.38395595317672, 33.78952945)"
MINISTERIO INTERNACIONAL JESUS ES EL SENOR INC,X21,X,"2060 SHURLING DR, MACON, GA, 31211-2333","(-83.58914442084141, 32.86363014500662)"
MCDONOUGH HOSPITALITY AND TOURISM BOARD INC,S41,S,"5 GRIFFIN ST, MCDONOUGH, GA, 30253-3140","(-84.14734762538203, 33.44683479356671)"
BRIGHTLIGHT CHRISTIAN FELLOWSHIP MINISTRIES,X20,X,"1017 SLATER ST, VALDOSTA, GA, 31601-3936","(-83.28236869793093, 30.841526068192)"
SOUTHERN CITIES RESIDENTIAL AND FAMILY SERVICES INC,P70,P,"10 GLORIA ST, BUTLER, GA, 31006-4535","(-84.238593, 32.570639)"
FLINT RIVER QUARIUM INC,A50,A,"117 PINE AVE, ALBANY, GA, 31701-2593","(-84.14953000355479, 31.5785834203182)"
CHILDRENS HOPE INTERNATIONAL INC,P30,P,"3394 CANADIAN WAY, TUCKER, GA, 30084-8101","(-84.2456148, 33.8238675)"
THE DWELLING PLACE PHASE I INC,K30,K,"807 HILL ST, WAYCROSS, GA, 31501-4423","(-82.34420679591837, 31.216613265306123)"
MURDOCH AND CATHERINE GILLIS FAMILY CEMETERY INC,Y50,Y,"4025 E MAIN ST, SOPERTON, GA, 30457-2541","(-82.583068, 32.367413)"
STEPHENS COUNTY EMERGENCY PHYSICIANS INC,E19,E,"163 HOSPITAL DR, TOCCOA, GA, 30577-6820","(-83.3480355, 34.5929972)"
ATLANTA SOCIETY OF MUSLIM MEN INC,P20,P,"401 HILLSIDE DR SW, ATLANTA, GA, 30310-4415","(-84.40063939764642, 33.7171004)"
FAIRVIEW LIFE CHANGING MINISTRY INC,S22,S,"3105 MILLEDGEVILLE RD, AUGUSTA, GA, 30904-5615","(-82.044522, 33.448205)"
RIVERSIDE CHAMBER PLAYERS INC,A6C,A,"825 BARRINGTON WAY, ROSWELL, GA, 30076-2328","(-84.29913196414967, 34.02951565)"
BLESSED-2-SERVE INC,P20,P,"1146 CHESTNUT HILL CIR SW, MARIETTA, GA, 30064-3084","(-84.58681062516422, 33.941146087948326)"
JUVENILE COURT ASSOCIATION OF GEORGIA,I03,I,"9163 TARA BLVD, JONESBORO, GA, 30236-4912","(-84.3638002, 33.5311214)"
CHATTAHOOCHEE JUNIOR COUGAR FOOTBALL INC,N65,N,"225 WESTBURY LN, JOHNS CREEK, GA, 30005-2516","(-84.20106684758917, 34.05866827962196)"
WASHINGTON PARK TENNIS ASSOCIATION INC,N66,N,"1125 LENA ST NW, ATLANTA, GA, 30314-2910","(-84.42400714285714, 33.756758714285716)"
P T C OUTREACH DEVELOPMENT CENTER INC,O50,O,"156 HOWELL DR SW, ATLANTA, GA, 30331-4023","(-84.50312638298954, 33.75396205)"
CHRIST BAPTIST CHURCH OF JESUP INC,X21,X,"1540 W ORANGE ST, JESUP, GA, 31545-0724","(-81.90256780185904, 31.61770104569954)"
ATLANTA HOLLAND CLUB INC,P84,P,"1053 SOARING WAY, MARIETTA, GA, 30062-2379","(-84.51148926077182, 33.974425492372625)"
HARRISON HIGH SCHOOL VOLLEYBALL BOOSTER CLUB INC,B11,B,"4500 DUE WEST RD NW, KENNESAW, GA, 30152-3855","(-84.68323968812057, 33.96717165)"
MILLER GROVE BAPTIST CHURCH,X20,X,"195 SENOIA RD, FAIRBURN, GA, 30213-1567","(-84.58357852109015, 33.55881685)"
RIGHT PATH YOUTH FOUNDATION,O50,O,"5087 WEST ST, FOREST PARK, GA, 30297-2247","(-84.37031234722222, 33.61665330555556)"
PEACHTREE CITY GOLDEN GOLFERS GROUP,N6A,N,"401 CIMARON PARK, PEACHTREE CTY, GA, 30269-4044","(-84.587902, 33.376171)"
CHRISTIAN ALLIANCE OF MINISTRIES INC,X21,X,"3531 BEMISS RD, VALDOSTA, GA, 31605-6074","(-83.2641841, 30.9072686)"
ANGELIC COMMUNITY RESOURCE DEVELOPMENT INC,O31,O,"1927 OLIVE RD, AUGUSTA, GA, 30906-2053","(-82.00567996278168, 33.44548837937363)"
MASJID TAWHEED INC,X40,X,"5848 MEMORIAL DR, STONE MTN, GA, 30083-3428","(-84.179103, 33.810452)"
LIFE WATER INC,A80,A,"3248 OLD JONES RD, ELLENWOOD, GA, 30294-3634","(-84.28385097801187, 33.615589827123586)"
LINDSEY COMMUNITY RESOURCE CENTER INC,O20,O,"1012 S TENNILLE AVE, DONALSONVILLE, GA, 39845-1929","(-84.87968943587609, 31.029488682281976)"
INTERVENTION MINISTRIES INC,F20,F,"5073 LAVISTA RD, TUCKER, GA, 30084-3536","(-84.213824, 33.856081)"
VOICE OF THE SWORD INC,X21,X,"3431 AVENSONG VILLAGE CIR, MILTON, GA, 30004-7477","(-84.261056, 34.104786)"
FIRST CHURCH COMMUNITY DEVELOPMENT CORPORATION,P99,P,"105 COURTLAND ST NE, ATLANTA, GA, 30303-2422","(-84.38413875, 33.7573675)"
ELIM ROMANIAN PENTECOASTAL CHURCH,X20,X,"142 SCENIC HWY, LAWRENCEVILLE, GA, 30046-5700","(-83.98360902857144, 33.949783942857145)"
GREATER ROME CHAMBER OF COMMERCE FOUNDATION INC,B12,B,"1 RIVERSIDE PKWY, ROME, GA, 30161-3042","(-85.167734, 34.256692)"
FAITH HOPE & CHARITY RECYCLE STORE INC,P29,P,"449 INDUSTRIAL BLVD, ELLIJAY, GA, 30540-3772","(-84.4915277, 34.6830612)"
MERCY MINISTRIES INC,P60,P,"2034 BROAD ST, AUGUSTA, GA, 30904-3025","(-82.00080358479957, 33.48684668892523)"
SWISS-AMERICAN CHAMBER OF COMMERCE INC,S41,S,"5126 S ROYAL ATLANTA DR, TUCKER, GA, 30084-3052","(-84.1800476258475, 33.8558268165978)"
D A S H FOR LAGRANGE INC,L80,L,"1302 BROWNWOOD AVE, LAGRANGE, GA, 30240-4972","(-85.04802518367347, 33.025014285714285)"
VIETNAMESE BUDDHIST ASSOCIATION OF CENTRAL GEORGIA INC,X50,X,"3064 OAKCLIFF RD, DORAVILLE, GA, 30340-2639","(-84.26078615217392, 33.91049634782609)"
WOMEN EMPOWERED TO PROSPER RESOURCE CENTER INC,I40,I,"2734 DAYVIEW LN, ATLANTA, GA, 30331-9518","(-84.6068358, 33.6791117)"
ISLAMIC COMMUNITY CENTER OF ATLANTA INC,X40,X,"288 LANIER AVE E, FAYETTEVILLE, GA, 30214-1604","(-84.45148890959898, 33.448709160582084)"
VIETNAMESE BAPTIST MINISTRY OF GAINESVILLE GEORGIA INC,X21,X,"751 GREEN ST NW, GAINESVILLE, GA, 30501-3321","(-83.82501328169013, 34.299440830985915)"
GRACE COVENANT FELLOWSHIP MINISTRIES INC,X20,X,"1220 HIGHTOWER RD, MACON, GA, 31206-2906","(-83.66179778433323, 32.81114824856281)"
OPERATION WALK INC,E500,E,"2814 BENSON DR, MARIETTA, GA, 30062-4903","(-84.46976891053474, 33.978398600000006)"
PREVENT CHILD ABUSE HART COUNTY INC,I72,I,"160 MILL ST, ROYSTON, GA, 30662-4128","(-83.11293189795919, 34.285517530612246)"
NORTHVIEW HIGH SCHOOL FINE ARTS ASSOCIATION,A99,A,"10625 PARSONS RD, JOHNS CREEK, GA, 30097-1717","(-84.17762775214132, 34.03911975)"
KAMARON FOUNDATION INC,A23,A,"104 STRAWFLOWER PATH, PEACHTREE CTY, GA, 30269-2232","(-84.56066538775511, 33.39604455102041)"
CHEER SAVANNAH ALLSTARS BOOSTER CLUB,B112,B,"125 PIPEMAKERS CIR, POOLER, GA, 31322-4003","(-81.2535080150767, 32.12933159428449)"
GOSPEL TABERNACLE CHURCH OF GOD IN CHRIST,X21,X,"63 VIRGINIA AVE, HOMERVILLE, GA, 31634-3440","(-82.74692427938274, 31.033666984648548)"
COMMUNITY FOUNDATION OF WEST GEORGIA INC,T31,T,"807 S PARK ST, CARROLLTON, GA, 30117-4423","(-85.07807992937296, 33.568675166483416)"
DUNAWAY GARDENS FOUNDATION INC,C41,C,"3218 ROSCOE RD, NEWNAN, GA, 30263-4056","(-84.8008154, 33.3929487)"
PINNACLE ORTHOPAEDICS RESEARCH INSTITUTE INC,H50,H,"300 TOWER ROAD, MARIETTA, GA, 30060-9404","(-84.5506897, 33.9703323)"
JESUS CHRIST MIRACLE DELIVERANCE CENTER,X21,X,"6811 HWY 1, WADLEY, GA, 30477-0000","(-82.3954825, 32.8697764)"
TRINITY VINEYARD INC,X20,X,"2270 DEFOOR HILLS RD NW, ATLANTA, GA, 30318-2200","(-84.4348056106628, 33.81569395)"
FIRST JORDAN GROVE MISSIONARY BAPTIST CHURCH,X20,X,"2004 MARTIN LUTHER KING JR BLVD, BRUNSWICK, GA, 31520-5925","(-81.49017253061224, 31.157963285714285)"
CATHERINE BOOTH FRIENDSHIP HOUSE RESIDENCE INC,L22,L,"1424 NORTHEAST EXPY NE, BROOKHAVEN, GA, 30329-2018","(-84.333708, 33.83287)"
PROMETRA USA INC,E70,E,"1227 ROCKBRIDGE ROAD, STONE MOUNTAIN, GA, 30087-3064","(-84.1325485, 33.8401464)"
M H MITCHELL INC,A70,A,"934 PONCE DE LEON AVE NE, ATLANTA, GA, 30306-4261","(-84.3569217948718, 33.773902717948715)"
THE PROVIDERS INC,P01,P,"799 MORELAND AVE SE, ATLANTA, GA, 30316-2405","(-84.3496764, 33.7325772)"
LEADERS HEART INC,X20,X,"104 ARDENLEE DR, PEACHTREE CTY, GA, 30269-4203","(-84.60379298961678, 33.43765400553772)"
OKIMAT,I21,I,"730 DONNER CT, MCDONOUGH, GA, 30252-1711","(-84.12996408163265, 33.467080306122455)"
ITS ONLY SOCIAL INC,P20,P,"5900 MAXHAM ROAD, AUSTELL, GA, 30168-4258","(-84.6183413, 33.8154226)"
AMERICAN INTERNATIONAL SCHOOL OF MEDICINE FOUNDATION INC,T30,T,"1000 WINDWARD CONCOURSE, ALPHARETTA, GA, 30005-2052","(-84.24089195637019, 34.0959803)"
LINKING ARMS INC,O50,O,"4066 HAMMOCK TRCE, ATLANTA, GA, 30349-8865","(-84.6006269, 33.6451317)"
COLLEGE OPTIONS FOUNDATION INC,B80,B,"128 WILLOW CREEK DR, PEACHTREE CTY, GA, 30269-1695","(-84.58280875093254, 33.39258836825518)"
GEORGIA NETWORK FOR NONVIOLENT COMMUNICATION INC,V34,V,"223 LAMONT DR, DECATUR, GA, 30030-2341","(-84.30345579885034, 33.7800255)"
STAND SOULS TOUCHING ANOTHER NEEDING DELIVERANCE INC,L40,L,"9576 POPLAR CT, DOUGLASVILLE, GA, 30135-0000","(-84.71967010610494, 33.723610607470356)"
FAITH CHAPEL HOLINESS CHURCH,X21,X,"150 OAKLAND RD, GAY, GA, 30218-2247","(-84.573809, 33.09265)"
KILOUGH ELEMENTARY PARENT TEACHER ORGANIZATION,B94,B,"169 MOORES DR, DAHLONEGA, GA, 30533-0444","(-83.98524488878333, 34.541317627915106)"
ENTERLINE FOUNDATION,T22,T,"2699 BUFORD HWY, BUFORD, GA, 30518-6051","(-83.98343488335283, 34.12600638089224)"
RUSTIC RIDGE ASSOCIATION INC,P20,P,"7680 CLASSIC WAY, ATLANTA, GA, 30350-4433","(-84.31885316993156, 33.974742899999995)"
IYA MOOPO WORKSHOP,A23,A,"2212 BARNARD ST, SAVANNAH, GA, 31401-8526","(-81.10258844680851, 32.05665421276596)"
BRIGADOON FOUNDATION INC,T90,T,"2933 ANDREWS DR NW, ATLANTA, GA, 30305-2905","(-84.38809722299604, 33.83481725)"
LIVING SAFE MINISTRIES,X21,X,"914 2ND ST, MACON, GA, 31201-6815","(-83.63461564422438, 32.82981146957204)"
GIVE GOD ALL THE GLORY OUTREACH MINISTRIES,X20,X,"3221 OAKBROOK LN, CLARKSTON, GA, 30021-1004","(-84.25693124119718, 33.8112955)"
BREMAN EDUCATIONAL FOUNDATION INC,B11,B,"501 PACIFIC AVE, BREMEN, GA, 30110-2137","(-85.142693, 33.722143)"
HAVILA MINISTRIES INC,X20,X,"4424 PRESTWICK DR, OAKWOOD, GA, 30566-3379","(-83.87329812820053, 34.22436446132012)"
REDEEMED CHRISTIAN CHURCH OF GOD MT ZION PARISH INC,X20,X,"5405 JONESBORO RD, LAKE CITY, GA, 30260-3504","(-84.34566769230769, 33.60932069230769)"
