NAME,NTEE_CD,Category,Location,lat_lon
LIVING FOR CHRIST MINISTRIES,X21,X,"PO BOX 29112, HONOLULU, HI, 96820-1512","(-157.855676, 21.304547)"
FRIENDS OF NELHA,C30,C,"73-4460 QUEEN KAAHUMANU HWY STE 101, KAILUA KONA, HI, 96740-2637","(-155.996933, 19.641941)"
HAWAII QUARTER HORSE ASSOCIATION,K26,K,"68-1752 PUWALU ST, WAIKOLOA, HI, 96738-5517","(-155.7864869864087, 19.9293512)"
BEN AND MIRIAM LAU FOUNDATION,T20,T,"1314 S KING ST STE 524, HONOLULU, HI, 96814-1940","(-157.855676, 21.304547)"
HAWAII TRAVEL & TOURISM RESEARCH ASSOCIATION,S41,S,"2270 KALAKAUA AVENUE, HONOLULU, HI, 96815-2519","(-157.828026, 21.2788398)"
MYRA W & JEAN KENT ANGUS FOUNDATION,T20,T,"PO BOX 3170 DEPT 715, HONOLULU, HI, 96802-3170","(-157.855676, 21.304547)"
KEALA O KALANI,P50,P,"98-778 NAALII ST, AIEA, HI, 96701-2743","(-157.92389027812496, 21.385987)"
PDMI-CARE INC,P82,P,"84-1064 LAHAINA ST APT 4, WAIANAE, HI, 96792-2267","(-158.18782389776402, 21.4454875)"
AHA KUKUI O MOLOKAI,A20,A,"PO BOX 391, HOOLEHUA, HI, 96729-0391","(-157.09484723911947, 21.1590908)"
HAWAII VENTURE CAPITAL ASSOCIATION,S30,S,"PO BOX 4677, HONOLULU, HI, 96812-4677","(-157.855676, 21.304547)"
FREEDOM TO CHOOSE FELLOWSHIP,X20,X,"PO BOX 1213, KURTISTOWN, HI, 96760-1213","(-155.0529242, 19.6005477)"
UFCW-HAWAII FOOD EMPLOYERS HEALTH AND WELFARE TR FUND,Y43,Y,"200 N VINEYARD BLVD STE 100, HONOLULU, HI, 96817-3938","(-157.855676, 21.304547)"
STARFIRE COMPANION-ANIMAL SANCTUARY,D32,D,"84-5142 KEALA O KEAWE RD, CAPTAIN COOK, HI, 96704-8418","(-155.917282, 19.494428)"
MALAMA HAWAII,A34,A,"1616 PAPAU PL, KAPAA, HI, 96746-0000","(-159.3341602244898, 22.095341673469388)"
VOICE FOR LEARNING,B90,B,"4348 WAIALAE AVENUE 322, HONOLULU, HI, 96816-5767","(-157.855676, 21.304547)"
