NAME,NTEE_CD,Category,Location,lat_lon
WINTERSET GIRLS FASTPITCH INC,O50,O,"1500 W WASHINGTON ST, WINTERSET, IA, 50273-1750","(-94.03133, 41.3333631010101)"
PENN ELEMENTARY PTO,B94,B,"230 N DUBUQUE ST, NORTH LIBERTY, IA, 52317-9212","(-91.59842516852805, 41.74973786718411)"
MONT PELIER FIRE DEPARTMENT,M24,M,"1961 ZACHARY AVE, MONTPELIER, IA, 52759-8815","(-90.806767, 41.459274)"
MEDIATION SERVICES OF EASTERN IOWA,P50,P,"509 KIRKWOOD AVE, IOWA CITY, IA, 52240-4728","(-91.5286141632653, 41.649356081632654)"
HOME FREE MINISTRIES,X99,X,"2324 GLACIER ST SW, CEDAR RAPIDS, IA, 52404-6145","(-91.7459034, 41.9552561)"
HARLEY OWNERS GROUP ROUTE 65 CHAPTER INC,N50,N,"1300 S JEFFERSON WAY, INDIANOLA, IA, 50125-3274","(-93.5572689, 41.3486572)"
JOHNSON COUNTY DOG PARK ACTION COMMITTEE,N32,N,"1039 DUBS DR, IOWA CITY, IA, 52246-8800","(-91.60699, 41.667478)"
SOUTHERN IOWA COG HOUSING TRUST FUND,L80,L,"101 E MONTGOMERY ST, CRESTON, IA, 50801-2406","(-94.361313, 41.05863)"
CHINESE EVANGELICAL CHURCH IN IOWA CITY,X21,X,"2611 WALDEN RD, IOWA CITY, IA, 52246-4120","(-91.57787739672713, 41.64746)"
CROSSROADS COMMUNITY CHURCH,X20,X,"2344 N UNION ST, DES MOINES, IA, 50316-1739","(-93.6103397, 41.6166299)"
IOWA STATE SOCCER REFEREE ASSOCIATION,N64,N,"3612 80TH ST, URBANDALE, IA, 50322-7013","(-93.72762055232376, 41.62743595574076)"
DEPARTMENT OF IOWA AUXILIARY TO THE VETERANS OF FOREIGN WARS,W30,W,"3240 SOUTHGATE PL SW, CEDAR RAPIDS, IA, 52404-5415","(-91.67399836734694, 41.94573185714285)"
HUMILITY HOMES AND SERVICES INC,L40,L,"1016 W 5TH ST, DAVENPORT, IA, 52802-3404","(-90.6053795, 41.5245126)"
BEACON OF HOPE MINISTRIES,L41,L,"1021 1ST AVE N, FORT DODGE, IA, 50501-4005","(-94.18461244897959, 42.506416836734694)"
ALTOONA ALANO SOCIETY NON-PROFIT,F20,F,"704 22ND AVE SW, ALTOONA, IA, 50009-1522","(-93.48925958578505, 41.645509403360016)"
SIOUS CITY LEWIS & CLARK INTERPRETIVE CENTER ASSOCIATION,A12,A,"900 LARSEN PARK RD, SIOUX CITY, IA, 51103-4916","(-96.40280294709882, 42.48803394223267)"
SIOUX CITY LEWIS & CLARK INTERPRETIVE CENTER,A50,A,"900 LARSEN PARK RD, SIOUX CITY, IA, 51103-4916","(-96.40280294709882, 42.48803394223267)"
MORTGAGE PROFESSIONALS OF IOWA,S41,S,"1165 2ND AVE, DES MOINES, IA, 50301-8501","(-93.61949822243947, 41.59915800556539)"
ESTHERVILLE LINCOLN CENTRAL PATRONS,B12,B,"1520 CENTRAL AVE, ESTHERVILLE, IA, 51334-2450","(-94.855604, 43.403486)"
DES MOINES WINE FESTIVAL FOUNDATION,A23,A,"1011 LOCUST ST, DES MOINES, IA, 50309-2811","(-93.63031180892614, 41.5859734)"
TRI-STATE DOWN SYNDROME NETWORK,G25,G,"909 15TH ST SE, ORANGE CITY, IA, 51041-1879","(-96.048392, 42.989461)"
