NAME,NTEE_CD,Category,Location,lat_lon
HEART TO HEART PETS WITH A PURPOSE INC,P20,P,"723 RANDOLPH AVE, POCATELLO, ID, 83201-3767","(-112.44291077927467, 42.88827139319778)"
WILDERNESS RANCH FIREFIGHTERS ASSOCIATION INC,M24,M,"421 RIMVIEW DR, BOISE, ID, 83716-3141","(-115.95949843551851, 43.68512052854131)"
NAMPA CHEER STARS,N116,N,"3784, NAMPA, ID, 83653-0000","(-116.559631, 43.5737361)"
INTERNATIONAL RAFTING FEDERATION,S41,S,"1512 N 6TH ST, BOISE, ID, 83702-3709","(-116.19495525373134, 43.627874)"
OLD FAITHFUL CHRISTIAN RANCH INC,X192,X,"145 6TH ST, IDAHO FALLS, ID, 83401-4705","(-112.03181797959184, 43.49253310204082)"
LIBRI SYSTEM INC,P20,P,"100 1ST AVE E, JEROME, ID, 83338-2302","(-114.518292, 42.725181)"
PEACE LUTHERAN CHURCH,X21,X,"8134 N MEYER RD, POST FALLS, ID, 83854-4681","(-116.872772, 47.737543)"
TWIN FALLS MUNICIPAL BAND,A20,A,"1076 PARKWAY DR, TWIN FALLS, ID, 83301-3232","(-114.49028884005367, 42.58145120639785)"
SHEKINAH LUTHERAN COMMUNITY INC,X21,X,"3520 COUNTRY CLUB DR, LEWISTON, ID, 83501-9676","(-117.04173114865772, 46.3798589401052)"
IDAHO SELECT PLAYERS FUND INC,N62,N,"504 E 46TH STREET, GARDEN CITY, ID, 83714-4720","(-116.2533509, 43.6411543)"
DOVE MEADOWS HOMEOWNERS ASSOCIATION,L50,L,"22 N BORAH WAY, NAMPA, ID, 83651-2296","(-116.58331749999999, 43.5775895)"
UNITED STATES BOWLING CONGRESS INC,N70,N,"923 MARGARET ST, CHUBBUCK, ID, 83202-1648","(-112.48722825, 42.920007937499996)"
MINISTRY OF RECONCILING PEACE,X90,X,"1734 BRENTWOOD DR, IDAHO FALLS, ID, 83402-3144","(-112.06601227272728, 43.492868242424244)"
NAMPA POLICE VOLUNTEER,I20,I,"820 2ND ST S, NAMPA, ID, 83651-3801","(-116.56458736734695, 43.58076853061225)"
IDAHO STATE FIRE COMMISSIONERS ASSOCIATION,S41,S,"922 S RED SAND AVE, KUNA, ID, 83634-5384","(-116.43635078125, 43.4800065)"
GODS HOME OF COMPASSION,K30,K,"845 HYDE AVE, POCATELLO, ID, 83201-3114","(-112.43676046875, 42.88822175)"
BARBER VALLEY NEIGHBORHOOD ASSOCIATION,S22,S,"4150 MACBETH AVE, BOISE, ID, 83716-5510","(-116.10834469110682, 43.56403400000001)"
ASSOCIATION FOR PROFESSIONALS IN INFECTION CTRL & EPIDEMIOLOGY INC,E72C,E,"190 E BANNOCK ST, BOISE, ID, 83712-6241","(-116.19239580406983, 43.61285515)"
GORONGOSA PROJECT INC,R99,R,"313 N WATER AVE, IDAHO FALLS, ID, 83402-3716","(-112.03669751020409, 43.49098853061225)"
RADIO FREE MOSCOW INC,A34,A,"114 E 3RD ST, MOSCOW, ID, 83843-2906","(-117.00104042857143, 46.732426857142855)"
BANNOCK PLANNING ORGANIZATION,S99,S,"210 E CENTER, POCATELLO, ID, 83201-6350","(-112.4368464, 42.8707105)"
FRANKLIN D ROOSEVELT PTA,B94,B,"1901 W ROOSEVELT AVE, NAMPA, ID, 83686-8109","(-116.608066, 43.56859)"
MOSCOW GARDEN CLUB,C42,C,"433 E 6TH ST, MOSCOW, ID, 83843-2901","(-116.99552152941176, 46.73008014705882)"
PTA IDAHO CONGRESS,B94,B,"3000 W HONEYSUCKLE AVE, HAYDEN, ID, 83835-8491","(-116.7889994, 47.7517759)"
IDAHO YOUTH GOLF ASSOCIATION INC,N6A,N,"208 S COLE RD, BOISE, ID, 83709-0934","(-116.2738472, 43.6027882)"
IDAHO MENNONITE RELIEF SALE INC,X192,X,"1413 W BEAR TRACK DR, MERIDIAN, ID, 83642-4454","(-116.41175147693728, 43.58341165)"
CORNERSTONE CHAPEL CHURCH LLC,X20,X,"455 N 4TH AVE, POCATELLO, ID, 83201-6341","(-112.4477057142857, 42.868517530612245)"
IDAHO HUNTERS FEEDING THE HUNGRY INC,K123,K,"700 E AVENUE A, JEROME, ID, 83338-2809","(-114.508874, 42.723233)"
BEGINNERS MIND SANGHA INC,X50,X,"1802 RIDGECREST DR, BOISE, ID, 83712-6690","(-116.16847623979592, 43.615069000000005)"
CAPSTONE MISSIONS INC,T70,T,"125 N BUCHANAN ST, JEROME, ID, 83338-2318","(-114.515071, 42.72433920408163)"
IDAHO RADIOLOGICAL SOCIETY,S41,S,"420 E CURLING DR, BOISE, ID, 83702-1901","(-116.1834605, 43.6476295)"
UNITED STATES BOWLING CONGRESS INC,N70,N,"1240 N 900 E, SHELLEY, ID, 83274-5106","(-112.10368, 43.372595)"
PEOPLE AGAINST IMPAIRED DRIVERS,B990,B,"1270 CREEKSIDE CT, IDAHO FALLS, ID, 83404-8210","(-112.0080931235585, 43.46661477408306)"
NORTH STAR CHARTER SCHOOL INC,B29,B,"839 N LINDER RD, EAGLE, ID, 83616-4427","(-116.4159921, 43.7005364)"
CHEMICAL EDUCATION INC,B99,B,"227 W HOWE CT, BOISE, ID, 83706-3901","(-116.1841397408913, 43.592597999999995)"
LEE PESKY LEARNING CENTER INC,B99,B,"3324 W ELDER ST, BOISE, ID, 83705-4713","(-116.22256651561474, 43.57380295)"
MARJORIE DAVIDSON FOUNDATION INC,T22,T,"637 E WARM SPRINGS AVE, BOISE, ID, 83712-6328","(-116.18941283675886, 43.607839)"
EAST JUNIOR HIGH PARENT TEACHER ORGANIZATION,B112,B,"5600 E WARM SPRINGS AVE, BOISE, ID, 83716-8700","(-116.11283622520183, 43.567018000000004)"
TETON BOOSTER CLUB INC,B11,B,"815 EASY ST, DRIGGS, ID, 83422-5080","(-111.09439057142858, 43.72839771428571)"
RAZORS EDGE BOXING CLUB INC,N60,N,"2955 MESQUITE DR, IDAHO FALLS, ID, 83404-7269","(-112.01869293186996, 43.47075111587977)"
REGIONAL HIGH LEVEL TRAINING CENTER FOR OLYMPIC SPORTS AND ARTS,N40,N,"528 TOP NOTCH CIR, POCATELLO, ID, 83201-5074","(-112.45728000813605, 42.88211536744988)"
DALLAS AND ALTA HARRIS FAMILY FOUNDATION INC,T20,T,"2563 S SHADY LN, BOISE, ID, 83716-9105","(-116.12962782295557, 43.578904)"
COMMUNITY OUTREACH CENTER INCORPORATED,P99,P,"301 SOUTH BOULEVARD, IDAHO FALLS, ID, 83401-4391","(-112.033521, 43.495053)"
SOUP KITCHEN,K30,K,"301 S BOULEVARD, IDAHO FALLS, ID, 83401-4391","(-112.033521, 43.495053)"
INTERNATIONAL MISSIONARY NETWORK,P20,P,"2522 CARMEL CT, NAMPA, ID, 83687-4962","(-116.53967505541583, 43.56975242081334)"
BOISE MONTESSORI PTO INC,B11,B,"1400 N PARK LN, EAGLE, ID, 83616-3322","(-116.40274524420289, 43.7075095)"
FRIENDSHIP CLINIC INC,E32,E,"704 S LATAH ST, BOISE, ID, 83705-1547","(-116.2282152, 43.597846)"
THE PURSUIT INC,X21,X,"6151 N DISCOVERY WAY, BOISE, ID, 83713-1556","(-116.3424402, 43.6605595)"
ESGR OF IDAHO FOUNDATION INC,B01,B,"11839 W RAMROD DR, BOISE, ID, 83713-4714","(-116.330007, 43.636532)"
THOMAS JEFFERSON CHARTER SCHOOL,B29,B,"1209 ADAM SMITH AVE, CALDWELL, ID, 83605-5487","(-116.63913504640833, 43.66002500392755)"
MELALEUCA FOUNDATION A NON-PROFIT CORPORATION,T21,T,"4609 W 65TH S, IDAHO FALLS, ID, 83402-5742","(-112.061513, 43.439436)"
CHABAD LUBAVITCH OF IDAHO INC,X30,X,"1803 S MAPLE GROVE RD, BOISE, ID, 83709-2534","(-116.2944195, 43.5876643)"
