NAME,NTEE_CD,Category,Location,lat_lon
JCPE INVESTMENTS N F P,S47,S,"2724 W RESERVOIR BLVD, PEORIA, IL, 61615-4137","(-89.63545032674476, 40.7325614449676)"
ASIAN HUMAN SERVICES FAMILY HEALTH CENTER INC,E30,E,"2501 W PETERSON AVENUE, CHICAGO, IL, 60659-0000","(-87.692263, 41.9904)"
TAU MU SIGMA PHI USA FOUNDATION INC,B60,B,"302 HARTCOURT AVE, JERSEYVILLE, IL, 62052-2052","(-90.337696, 39.112075)"
AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,J40,J,"4112 NORTH KIMBALL AVENUE, CHICAGO, IL, 60618-4273","(-87.71309107978702, 41.956085612691986)"
LAWRENCE JEFFERSON CONDO ASSOCIATION,S22,S,"5830-5832 W LAWRENCE AVE, CHICAGO, IL, 60630-3249","(-87.77356814943684, 41.967906850000006)"
VISHWA JAGRATI MISSION OF NORTH AMERICA,X70,X,"92 MADELINE CIR, SCHAUMBURG, IL, 60173-6573","(-88.04648520054178, 42.03325739635345)"
INTERNATIONAL CULTURAL EDUCATIONAL ASSOCIATION,P84,P,"537 W WEEPING WILLOW RD, ROUND LAKE, IL, 60073-4216","(-88.09590680628708, 42.3423948842155)"
CENTRAL ADAMS COUNTY FIRE PROTECTION DISTRICT AUXILIARY,M11,M,"205 HOUSTON ST, COATSBURG, IL, 62325-1031","(-91.15910732653062, 40.03396120408163)"
EVANGELISTIC DELIVERANCE TEMPLE OUTREACH MINISTRY,X21,X,"1512 S SAINT LOUIS AVE, CHICAGO, IL, 60623-2154","(-87.71292341628612, 41.86051116536058)"
WOMEN OF AT&T-ILLINOIS,S40,S,"225 W RANDOLPH, CHICAGO, IL, 60606-1838","(-87.6351324, 41.8842556)"
GATEWAY MONTESSORI SCHOOL,B21,B,"4041 N PULASKI RD, CHICAGO, IL, 60641-2456","(-87.72753302066337, 41.954591099079124)"
LESTER AND ROSALIE ANIXTER CENTER,L21,L,"6610 N CLARK ST, CHICAGO, IL, 60626-4062","(-87.67227850348308, 42.00211035)"
AMERICAN TRACT SOCIETY,X20,X,"1300 CRESCENT ST, WHEATON, IL, 60187-5815","(-88.087933, 41.868958)"
THIRD WORLD PRESS FOUNDATION INC,P20,P,"7822 S DOBSON AVE, CHICAGO, IL, 60619-3204","(-87.599267, 41.752328)"
CLARENDON HILLS PARK FOUNDATION,C50,C,"221 POWELL ST, CLARENDON HLS, IL, 60514-1420","(-87.94912136338196, 41.79259611408156)"
OSMANIA MEDICAL ALUMNI CHARITABLE FOUNDATION INC,B84,B,"208 INDIAN TRAIL RD, OAK BROOK, IL, 60523-2795","(-87.95051055803326, 41.83129121569006)"
PAK-HIND CHRISTIAN CHURCH,X20,X,"1755 HOWARD AVE, DES PLAINES, IL, 60018-3025","(-87.88070283523228, 42.01697448851265)"
GREATER FAITH MINISTRIES OF CHICAGO,X20,X,"8843 S OGLESBY AVE, CHICAGO, IL, 60617-3038","(-87.56684888988678, 41.73406865)"
RIVERWOOD ELEMENTARY SCHOOL PTO,B94,B,"300 S DRIFTWOOD TRL, MCHENRY, IL, 60050-5456","(-88.2955241012053, 42.32438725)"
NEHEMIAH RESTORATION COALITION,X20,X,"165 E 115TH ST, CHICAGO, IL, 60628-4933","(-87.61894399740129, 41.68528184470695)"
NEW REVELATION CHURCH,X20,X,"1712 CORREGIDOR ST, JOLIET, IL, 60435-8583","(-88.15316970262663, 41.553183513133135)"
MARIAN RENEE AND EDWARD SALTZBERG FOUNDATION,T22,T,"226 N DEERE PARK DR EAST, HIGHLAND PARK, IL, 60035-0000","(-87.76351038731528, 42.156597472322055)"
LIFE IN CHRIST CHRISTIAN CENTER,X212,X,"925 E 159TH PL, SOUTH HOLLAND, IL, 60473-1702","(-87.59381673104572, 41.60536809737858)"
THE OAKS AT BARTLETT,L22,L,"825 CARILLON DR, BARTLETT, IL, 60103-4581","(-88.19766719785909, 41.9923651)"
FIRST DEFENSE LEGAL AID,I80,I,"601 S CALIFORNIA AVE, CHICAGO, IL, 60612-3305","(-87.695987, 41.873673)"
TOMORROWS SUNSHINE ASSOCIATION,B90,B,"1036 W 103RD PL, CHICAGO, IL, 60643-2329","(-87.64914568410924, 41.7061499)"
NEW SONG MINISTRIES,X20,X,"3014 31ST ST, ZION, IL, 60099-3040","(-87.85340078894473, 42.43926066834171)"
ROSLYN AND JOSEPH PERLMAN FOUNDATION,T21,T,"430 CLAVEY LN, HIGHLAND PARK, IL, 60035-4531","(-87.80484140524045, 42.16047324176805)"
CONSUMERS ADVANCING PATIENT SAFETY,E60,E,"321 N CLARK ST, CHICAGO, IL, 60654-4714","(-87.63062519992778, 41.88825225)"
KIM KNAUER MEMORIAL SCHOLARSHIP FUND,B82,B,"208 FLEETWOOD DR, BLOOMINGTON, IL, 61701-2027","(-88.96473703138336, 40.49749404005595)"
GOOD SAMARITAN MINISTRY OF JOLIET,X21,X,"3613 MELISSA CT, JOLIET, IL, 60431-9207","(-88.17230416592473, 41.57472195130177)"
COPTIC TEMPLE OF KEMET INC,X20,X,"1549 183RD ST, HOMEWOOD, IL, 60430-3401","(-87.65485391538293, 41.557230770711904)"
CHANGING LIVES MINISTRIES,X20,X,"5323 N PARK DR, E SAINT LOUIS, IL, 62204-2150","(-90.09391493877551, 38.63517406122449)"
KING OF KINGS APOSTOLIC TEMPLE INC,X21,X,"520 S LIVINGSTON ST, SPRINGFIELD, IL, 62703-1515","(-89.61571604897145, 39.796506)"
DOUGLAS CENTER,J33,J,"3445 HOWARD ST, SKOKIE, IL, 60076-4011","(-87.7647225, 42.0191543)"
WILL COUNTY TAKE BACK THE NIGHT NFP,F42,F,"168 N OTTAWA ST, JOLIET, IL, 60432-4142","(-88.0831264, 41.5296998)"
WARRENSBURG FIRE PROTECTION DISTRICT,M24,M,"420 E MAIN ST, WARRENSBURG, IL, 62573-2167","(-89.05723119935922, 39.93103614331466)"
COURI FAMILY FOUNDATION,T20,T,"110 BURNHAM PL, EVANSTON, IL, 60202-1402","(-87.6707879, 42.0400806)"
A GIFT OF LOVE CHARITY INC,O50,O,"107 S GLENVIEW DR, CARBONDALE, IL, 62901-2237","(-89.2380585, 37.725934)"
KALT FAMILY FOUNDATION,T22,T,"595 LONGWOOD AVE, GLENCOE, IL, 60022-1736","(-87.74889576274218, 42.134916849478394)"
GARAM CHRISTIAN CHURCH,X21,X,"8523 GEORGIANA AVE, MORTON GROVE, IL, 60053-2909","(-87.78080495975078, 42.0365015)"
TWIST AND SHOUT SCHOOL OF THE PERFORMING ARTS,A62,A,"1919 N HUMBOLDT BLVD, CHICAGO, IL, 60647-3823","(-87.70145549433354, 41.9162421)"
UNITED STATES BOWLING CONGRESS INC,N70,N,"618 E PROSPECT ST, GENESEO, IL, 61254-1828","(-90.14528987749726, 41.442277072934466)"
POLARIS CHARTER ACADEMY,B24,B,"620 N SAWYER AVE, CHICAGO, IL, 60624-1528","(-87.7082443071161, 41.892335700000004)"
GIRLS OF GRACE YOUTH ORGANIZATION,O50,O,"3646 W 85TH PL, CHICAGO, IL, 60652-3706","(-87.71387188703673, 41.7379265)"
SOUTHWESTERN ILLINOIS EDUCATIONAL ASSOCIATION AND FOUNDATION,P50,P,"188 CRYSTAL GATE LN, GLEN CARBON, IL, 62034-1141","(-90.00036, 38.744973)"
BRIDGE CENTER OF ROCKFORD,S82,S,"4861 AMERICAN RD, ROCKFORD, IL, 61109-7206","(-89.02067759972172, 42.22888411749944)"
NOW IS THE TIME MINISTRY OF FAITH CHURCH,X20,X,"17117 MAGNOLIA DR, HAZEL CREST, IL, 60429-1022","(-87.7058684893592, 41.578207507750236)"
HOLSTEN HUMAN CAPITAL DEVELOPMENT NFP,P40,P,"1034 W MONTROSE AVE, CHICAGO, IL, 60613-1323","(-87.65653011764707, 41.96183688235294)"
CHRIST DISCIPLES CHURCH OF GOD IN CHRIST,X20,X,"15028 LINCOLN AVE, HARVEY, IL, 60426-2027","(-87.66333513616853, 41.61621214186176)"
SEARCIE SMITH COMMUNITY DEVELOPMENT CORP,S99,S,"4517 S LAPORTE AVE, CHICAGO, IL, 60638-1949","(-87.74665407188456, 41.81069735)"
MARY S ROOM,G30,G,"9020 S JUSTINE ST, CHICAGO, IL, 60620-5033","(-87.66193902186046, 41.729681150000005)"
PAXTON BUCKLEY LODA FOOD PANTRY,K31,K,"780 S VERMILLION ST, PAXTON, IL, 60957-1756","(-88.09805072024936, 40.45207246549653)"
JAHBAT INC,N64,N,"1629 MASTERS CT, NAPERVILLE, IL, 60563-1781","(-88.21913549978112, 41.79836721662166)"
NOTE KARACEL UGANDA,Q30,Q,"3338 S ABERDEEN ST, CHICAGO, IL, 60608-6509","(-87.6539552365894, 41.8331358)"
BEECHER COMMUNITY PART-TIME PLAYERS,A60,A,"893, BEECHER, IL, 60401-0000","(-90.35956281652544, 40.95807458845679)"
OPTIMISTIC CHRISTIAN CENTER,X20,X,"1841 W TOUHY AVE, CHICAGO, IL, 60626-2321","(-87.6769835575964, 42.01251260322501)"
STAND UP FOR GRACE,Q12,Q,"2434 N MAPLE AVE, DECATUR, IL, 62526-3929","(-88.9663201824543, 39.868187378219524)"
THE GROWTH GATHERING CHURCH INC,X20,X,"1350 DUNFRIES ST, FLOSSMOOR, IL, 60422-4353","(-87.70484184739816, 41.53726055458225)"
NARROW GATE FOUNDATION,T22,T,"98 NUTTALL RD, RIVERSIDE, IL, 60546-1855","(-87.81772746443788, 41.83139332761063)"
CAMP RIVERDALE INC,O50,O,"14130 S WENTWORTH AVE, RIVERDALE, IL, 60827-2238","(-87.6268097165013, 41.63818956141093)"
LIFE BUILDERS UNITED INC,P20,P,"6701 S UNION AVE, CHICAGO, IL, 60621-2521","(-87.64146900773453, 41.7723454)"
CHERYL A CRATER MINISTRIES,X20,X,"20000 LAKEWOOD AVE, LYNWOOD, IL, 60411-1516","(-87.552451, 41.532931)"
QUALITY FIRST CHILD CARE INC,B99,B,"1451 GLENSIDE DR, BOLINGBROOK, IL, 60490-5480","(-88.1358024046039, 41.67425902507409)"
FRIENDS OF THE ORCHESTRA,A69,A,"1100 W DUNDEE RD, BUFFALO GROVE, IL, 60089-4054","(-87.98265344943712, 42.14109765)"
ALTERNATIVE VILLAGE ASSOCIATION,P99,P,"127 N LEAMINGTON AVE, CHICAGO, IL, 60644-3402","(-87.75339973305327, 41.8824593)"
CHESS ACADEMY FOUNDATION,O50,O,"6714 N KNOX AVE, LINCOLNWOOD, IL, 60712-3330","(-87.74465244842654, 42.003061689437125)"
