NAME,NTEE_CD,Category,Location,lat_lon
VICTORY NEW TESTAMENT FELLOWSHIP INTERNATIONAL,X20,X,"5573 BIRCH AVE, PORTAGE, IN, 46368-4717","(-87.20001227100995, 41.55459045580735)"
ENIS FURLEY FOUNDATION INC,N20,N,"2015 W SKYVIEW DR, JASPER, IN, 47546-8214","(-86.97131330790654, 38.391963565855285)"
CITY OF WARSAW EMPLOYEE BENEFIT TR,E12,E,"102 S BUFFALO ST, WARSAW, IN, 46580-2801","(-85.85675106122449, 41.23795669387755)"
CHURCH OF CHRIST HOLINESS USA INC,X20,X,"789 EDGEMONT AVE, INDIANAPOLIS, IN, 46208-5524","(-86.17318250675442, 39.801663250000004)"
FAITH IN GOD MINISTRIES INC,P75,P,"304 HARTS FORD WAY, BROWNSBURG, IN, 46112-8137","(-86.3713072528677, 39.82820205667664)"
NEXT STEP STORM INC,S50,S,"23526 DAWKINS RD, WOODBURN, IN, 46797-9520","(-84.8360953, 41.0742647)"
MARANATHA MISSIONARY BAPTIST CHURCH,X20,X,"1819 PRAIRIE AVE, SOUTH BEND, IN, 46613-1401","(-86.27069833333333, 41.654596)"
ETERNAL WORD KINGDOM MINISTRIES,X20,X,"625 LAKE ST, HOBART, IN, 46342-5109","(-87.25465, 41.526056)"
TPHILLAT HASHEM,X30,X,"16862 ORCHARD RIDGE CT, GRANGER, IN, 46530-5907","(-86.1975677041153, 41.74328107014772)"
ECCLESIOLOGY,X20,X,"9969 SR 156, PATRIOT, IN, 47038-9672","(-84.827657, 38.837569)"
LOVE AND KINDNESS CHURCH OF GOD IN CHRIST,X202,X,"3809 E 34TH ST, INDIANAPOLIS, IN, 46218-2228","(-86.1021193, 39.817864900000004)"
GREENFIELD YOUTH FOOTBALL LEAGUE INC,N65,N,"810 N BROADWAY ST, GREENFIELD, IN, 46140-1440","(-85.78127691465674, 39.79255385)"
TRUSTEES OF PURDUE UNIVERSITY,O52,O,"708 WEST SEMINARY STREET, VEVAY, IN, 47043-1085","(-85.07476723088818, 38.74543646903829)"
TRUSTEES OF PURDUE UNIVERSITY,O52,O,"484 N MORTON ST, FRANKLIN, IN, 46131-1301","(-86.06430323756328, 39.48489699947678)"
ALLIANCE FOR RETIRED AMERICANS,R25,R,"5850 FORTUNE CIR W, INDIANAPOLIS, IN, 46241-5503","(-86.260806, 39.726456)"
VOLUNTEER LAWYER PROGRAM OF NORTHEAST INDIANA INC,I80,I,"347 W BERRY ST, FORT WAYNE, IN, 46802-2299","(-85.1442228, 41.0784434)"
BEACH FRONT DANCE SCHOOL,A62,A,"427 S LAKE ST, GARY, IN, 46403-2406","(-87.26785763845639, 41.60215211087708)"
JAR COMMUNITY CHURCH INC,X20,X,"920 W MAIN ST, MUNCIE, IN, 47305-1539","(-85.39660018216756, 40.19393637468524)"
CIRCLE K INTERNATIONAL INC,O51,O,"3636 WOODVIEW TRCE, INDIANAPOLIS, IN, 46268-1168","(-86.22358668254572, 39.92284445)"
GYMNASTICS MICHIANA BOOSTER CLUB INC,N70,N,"3390 N HOME ST, MISHAWAKA, IN, 46545-4434","(-86.14944191758082, 41.69091861449094)"
LIFE IN FAIRBANKS TOWNSHIP INCORPORATED,A80,A,"6535 W MARKET ST, FAIRBANKS, IN, 47849-8081","(-87.52493960227179, 39.219185336083434)"
WINDMOOR FOUNDATION INC,X20,X,"1121 N NOTRE DAME AVE, SOUTH BEND, IN, 46617-1342","(-86.23836, 41.690627)"
CONFRATERNITY OF PENITENTS,X22,X,"1702 LUMBARD ST, FORT WAYNE, IN, 46803-2626","(-85.1043251, 41.0703374)"
HARRISON CENTER FOR THE ARTS INC,X192,X,"1505 N DELAWARE ST, INDIANAPOLIS, IN, 46202-4466","(-86.15334927868253, 39.7879084)"
GODS HOUSE FOR ALL PEOPLE,X20,X,"3801 BUTTERNUT ST, EAST CHICAGO, IN, 46312-2301","(-87.441293, 41.644211)"
UNITED STATES BOWLING CONGRESS INC,N70,N,"415 B ST, LA PORTE, IN, 46350-5034","(-86.72036514285715, 41.60358085714286)"
TRUSTEES OF PURDUE UNIVERSITY,O52,O,"972 E PARK AVE, GREENFIELD, IN, 46140-1588","(-85.7689314, 39.7922139)"
CITY CHURCH FOR ALL NATIONS INC,X21,X,"1200 N RUSSELL RD, BLOOMINGTON, IN, 47408-9481","(-86.481432, 39.176984)"
CANCER RESEARCH & EDUCATION FUND INC,G30,G,"4100 VERSAILLES CT, FLOYDS KNOBS, IN, 47119-9765","(-85.865724, 38.329352)"
EXPRESS WAY MINISTRIES,X21,X,"204 W 10TH ST, MOUNT VERNON, IN, 47620-1455","(-87.8986840493646, 37.937157276290556)"
GREGORY L GIBSON CHARITABLE FOUNDATION INC,T22,T,"3200 E HAYTHORNE AVE, TERRE HAUTE, IN, 47805-2108","(-87.36818770736738, 39.520730106002055)"
TRUSTEES OF PURDUE UNIVERSITY,O52,O,"1009 W 3RD ST, ROCHESTER, IN, 46975-9695","(-86.22923736231638, 41.07228102874451)"
WHITCOMB MINISTRIES INC,X80,X,"10203 CORAL REEF WAY, INDIANAPOLIS, IN, 46256-9501","(-85.98819421526663, 39.91131285)"
FRIENDS OF THE ARGOS PUBLIC LIBRARY,B70,B,"142 N MICHIGAN ST, ARGOS, IN, 46501-1125","(-86.2453942524339, 41.23758096957571)"
UNITED STATES BOWLING CONGRESS INC,N70,N,"1063 W 6TH ST, ROCHESTER, IN, 46975-2701","(-86.23159595046455, 41.068584942337466)"
SUITES OWNERS INTERNATIONAL TRAVEL,N50,N,"10167 WINSLOW WAY, FISHERS, IN, 46037-7969","(-86.00790934160054, 39.9357078653462)"
HEART CHANGE MINISTRIES INC,P40,P,"1405 N TUXEDO ST, INDIANAPOLIS, IN, 46201-1461","(-86.108147, 39.786853)"
AMERICAN STUDENT DENTAL ASSOCIATION,B80,B,"1121 W MICHIGAN ST, INDIANAPOLIS, IN, 46202-5211","(-86.18001909812347, 39.7740419)"
BARRY W STEVENS MEMORIAL EDUCATION & HEALTH FOUNDATION INC,E70,E,"849 W 79TH AVE, MERRILLVILLE, IN, 46410-5462","(-87.34864088974304, 41.47530880932919)"
SEEDTIME MINISTRIES,O50,O,"10515 HERMOSA DR, INDIANAPOLIS, IN, 46236-8162","(-85.98260884638607, 39.8961288)"
GURUDWARA SHRI GURU HARGOBIND SAHIB JI CORP,X70,X,"1050 S GRAHAM RD, GREENWOOD, IN, 46143-8527","(-86.064316, 39.602303)"
TRUSTEES OF PURDUE UNIVERSITY,O52,O,"972 E PARK AVE, GREENFIELD, IN, 46140-1588","(-85.7689314, 39.7922139)"
WHOLE TRUTH APOSTOLIC FAITH ASSEMBLY,X21,X,"901 S 19TH ST, LAFAYETTE, IN, 47905-1545","(-86.875534, 40.408291)"
JANE PAULEY COMMUNITY HEALTH CENTER INC,E32,E,"1503 N MITTHOEFER RD, INDIANAPOLIS, IN, 46229-2425","(-85.9904541, 39.8035975)"
MINORITY POLICE OFFICERS ASSOCIATION INC,I03,I,"1447 ROYAL LAKE CIR, INDIANAPOLIS, IN, 46228-1391","(-86.18500074130404, 39.86343505)"
AVON HIGH SCHOOL CHORAL BOOSTERS,B11,B,"7575 E COUNTY ROAD 150 S, AVON, IN, 46123-8193","(-86.38794910323864, 39.7388745)"
PAKISTANI AMERICAN FRIENDSHIP ASSOCIATION,B90,B,"2389 TREESDALE CIR, CARMEL, IN, 46032-7934","(-86.20262006147404, 39.93480580961556)"
JOHNSON COUNTY LEARNING CENTER INC,P33,P,"430 N US 31, WHITELAND, IN, 46184-1477","(-86.0909272, 39.5606134)"
JUMPIN FOR JAZZ INC,G80,G,"5847 N OAKLAND AVE, INDIANAPOLIS, IN, 46220-5415","(-86.1118949907478, 39.861471050000006)"
TEMPLE OF PRAISE ASSEMBLY INC,X21,X,"1540 KESSLER BOULEVARD WEST DR, INDIANAPOLIS, IN, 46228-1953","(-86.186847510837, 39.85804935)"
CHRISTEL HOUSE ACADEMY INC,B40,B,"2405 MADISON AVE, INDIANAPOLIS, IN, 46225-2106","(-86.15215060238953, 39.7333606)"
