NAME,NTEE_CD,Category,Location,lat_lon
KANZA HOUSE GENEALOGY HISTORY & RESOURCE LIBRARY ASSOCIATION,A80,A,"106 PINE ST, LEBANON, KS, 66952-8808","(-98.55631525075273, 39.8127569)"
ANNALS OF FAMILY MEDICINE INC,A33,A,"11400 TOMAHAWK CREEK PARKWAY, LEAWOOD, KS, 66211-2680","(-94.62893064964028, 38.92213785)"
STRATEGIC FAMILY MINISTRIES ASSOCIATION,X99,X,"11720 NIEMAN RD, OVERLAND PARK, KS, 66210-4308","(-94.71443078787878, 38.91664512121212)"
SERVANTS INTERNATIONAL INC,X20,X,"1400 LAWRENCE AVE, LAWRENCE, KS, 66049-2940","(-95.276003, 38.959378)"
COMMUNITY HEALTH COUNCIL OF WYANDOTTE COUNTY INC,E21,E,"803 ARMSTRONG AVE, KANSAS CITY, KS, 66101-2604","(-94.62977755102041, 39.11449787755102)"
HOUSE OF PRAYER EVANGELISTIC CHURCH,X212,X,"2648 N 18TH ST, KANSAS CITY, KS, 66104-5405","(-94.65143793877552, 39.135748224489795)"
KANSAS CITY TAMIL SANGAM INC,A20,A,"11383 S CHOUTEAU ST, OLATHE, KS, 66061-7136","(-94.84430187016332, 38.923100676696144)"
BANGS FAMILY FOUNDATION,T20,T,"24632 W 96TH ST, LENEXA, KS, 66227-7285","(-94.87017612671173, 38.954301220345016)"
CROSSROADS COMMUNITY CHURCH,X20,X,"25715 W 127TH ST, OLATHE, KS, 66061-9233","(-94.88321833333333, 38.898089)"
KERALA ASSOCIATION OF KANSAS CITY,A23,A,"12181 CRAIG ST, OVERLAND PARK, KS, 66213-1474","(-94.67852555581881, 38.906622241492045)"
PROMISED LAND FOUNDATION INC,T20,T,"1074 W SANTA FE ST, OLATHE, KS, 66061-3173","(-94.83264635064484, 38.88484185)"
PLAINVILLE COMMUNITY FOUNDATION INC,T31,T,"605 S MAIN ST, PLAINVILLE, KS, 67663-2814","(-99.30094040816326, 39.22906314285714)"
KANSAS PROPANE EDUCATION AND RESEARCH COUNCIL,S41,S,"540 NW BROAD ST, TOPEKA, KS, 66608-1819","(-95.66865254999999, 39.0826766)"
GREAT AWAKENINGS INC,X20,X,"107 S 7TH ST, CLAY CENTER, KS, 67432-3414","(-97.12259024489796, 39.369860714285714)"
