NAME,NTEE_CD,Category,Location,lat_lon
CARRIAGE MUSEUM OF AMERICA,A540,A,"4075 IRON WORKS PKWY, LEXINGTON, KY, 40511-8483","(-84.52007677152301, 38.148186024197614)"
JEFFERSON COUNTY SEARCH DOG ASSOCIATION,P80,P,"8004 SMYRNA PKWY, LOUISVILLE, KY, 40228-1808","(-85.6428285925, 38.13093075)"
AUGUSTA ART GUILD,A40,A,"116 MAIN ST, AUGUSTA, KY, 41002-1035","(-84.008046, 38.774221)"
CHILD DEVELOPMENT CENTER CORPORATION,P33,P,"2201 LEXINGTON AVE, ASHLAND, KY, 41101-2843","(-82.63376028075689, 38.470656399999996)"
FRIENDSHIP AND COMMUNITY EXPERIENCING SUCCESS INC,S31,S,"2325 OSAGE AVE, LOUISVILLE, KY, 40210-1113","(-85.7941388, 38.2399052)"
SPIRIT OF JOY LIFE MINISTRIES,X20,X,"5009 POPLAR LEVEL RD, LOUISVILLE, KY, 40219-1117","(-85.6804992, 38.1669096)"
CHRIST CHURCH OF PRAYER AND DELIVERANCE,X20,X,"624 S 38TH ST, LOUISVILLE, KY, 40211-3029","(-85.81493537358122, 38.25403705)"
AMERICAN ACADEMY OF DEVELOPMENT MEDICINE AND DENTISTRY,E05,E,"7300 EDGEMORE PL, PROSPECT, KY, 40059-7802","(-85.62105365417995, 38.349815750000005)"
GARDEN CLUB OF KENTUCKY INC,C42,C,"1218 FALCON DR, LOUISVILLE, KY, 40213-1218","(-85.72144891095921, 38.2058255)"
SAINT PATRICKS ANGLICAN CHURCH,X20,X,"3425 TISDALE DR, LEXINGTON, KY, 40503-4234","(-84.55084799915605, 37.9896005)"
BALLARD BAND BOOSTERS INC,A6C,A,"6000 BROWNSBORO RD, LOUISVILLE, KY, 40222-6437","(-85.62470036893481, 38.28316345)"
SONS OF AMVETS,W30,W,"1400A TRIPLETT ST, OWENSBORO, KY, 42303-3164","(-87.103082, 37.761703)"
DREAM RIDERS OF KENTUCKY INCORPORATED,P80,P,"4405 WINKLER RD, PHILPOT, KY, 42366-0000","(-86.987686, 37.737099)"
KENTUCKY DISTRICT 7 AMATEUR RADIO EMERGENCY TEAM INC,M20,M,"1409 MOUNT ZION RD, UNION, KY, 41091-8655","(-84.66054170311423, 38.94971952171839)"
MATCH MADE IN HEAVEN FOUNDATION INC,P20,P,"216 HELMSLEY LN, VERSAILLES, KY, 40383-2022","(-84.72607856781508, 38.03453971829937)"
TOTAL VICTORY MINISTRIES INC,X192,X,"11401 HALIFAX DR, LOUISVILLE, KY, 40241-1835","(-85.535108, 38.312969)"
MUHLENBERG COUNTY FIRE DEPARTMENT DUNMOR DIVISION INC,M24,M,"30 E ELM ST, DUNMOR, KY, 42339-2033","(-86.99540511666666, 37.073794766666666)"
JUMPIN JAGUARS INC,O50,O,"1434 CAVE MILL RD, BOWLING GREEN, KY, 42104-4301","(-86.44708324228232, 36.94244336591441)"
MAKING ART GROW IN CHILDREN INC,A62,A,"7205 CLORE LN, CRESTWOOD, KY, 40014-8543","(-85.49228976444282, 38.321475293328454)"
RELATIONSHIP EDUCATION CENTER INC,P40,P,"66 HIGHLAND AVE, RUSSELL, KY, 41169-9015","(-82.707606, 38.526323)"
MADISON COUNTY EXTENSION HOMEMAKERS ASSOCIATION,B90,B,"230 DUNCANNON LN, RICHMOND, KY, 40475-9603","(-84.27269129729729, 37.700405783783786)"
AMEGA WEAPON INC,X20,X,"516 CREEK SIDE DR, SHELBYVILLE, KY, 40065-7320","(-85.22028970393615, 38.16781518828194)"
TERF INC,P30,P,"117 ELM ST, MT STERLING, KY, 40353-1109","(-83.94751128824451, 38.05722829071607)"
CHARITY FREEWILL BAPTIST CHURCH INC,X21,X,"6480 FLEMINGSBURG RD, MOREHEAD, KY, 40351-9142","(-83.459389, 38.179095)"
LIGHTHOUSE RECOVERY SERVICES INC,P80,P,"731 HALL ST, OWENSBORO, KY, 42303-0358","(-87.09800995918367, 37.76981889795918)"
SUMMIT CHURCH OF CHRIST INC,X20,X,"6015 ALEXANDRIA PIKE, COLD SPRING, KY, 41076-2135","(-84.4268276, 39.0061952)"
CENTRO LATINO OF SHELBYVILLE INCORPORATED,P80,P,"120 MAIN ST, SHELBYVILLE, KY, 40065-1022","(-85.2104724179779, 38.21053268820787)"
DUPONT MANUAL HIGH SCHOOL LADY CRIMSONS SOCCER BOOSTERS,N64,N,"120 W LEE ST, LOUISVILLE, KY, 40208-1954","(-85.75767001616637, 38.2216456)"
LOGAN COUNTY TRAINING CONSORTIUM INC,B60,B,"116 S MAIN ST, RUSSELLVILLE, KY, 42276-1902","(-86.88723053215192, 36.84494662057261)"
SOMERSET BOYS BASKETBALL BOOSTER CLUB INC,B112,B,"305 COLLEGE ST, SOMERSET, KY, 42501-1311","(-84.60212449696839, 37.09551336178848)"
LAURA AND CAL TURNER FAMILY Y M C A FOUNDATION INC,P112,P,"181 WEST PROFESSIONAL PARK COURT, BOWLING GREEN, KY, 42104-3250","(-86.43850415814987, 36.969001376145805)"
