NAME,NTEE_CD,Category,Location,lat_lon
OAKS MIDDLE SCHOOL,B25,B,"43283 S RANGE RD, HAMMOND, LA, 70403-6374","(-90.4484, 30.48680193877551)"
LIBERTY PRESCHOOL AND CHRISTIAN ACADEMY,B20,B,"603 MAIN ST, LA PLACE, LA, 70068-4515","(-82.7032159, 27.9908139)"
MARINE CORPS LEAGUE,W30,W,"207 LAZY CREEK DR, LAFAYETTE, LA, 70506-5078","(-92.08140524489797, 30.20645263265306)"
CLASS OF 83 THANKSGIVING DRIVE INC,P20,P,"102 SYCAMORE DR, METAIRIE, LA, 70005-4025","(-90.13737846509068, 29.98787995)"
CROSSROADS PREGNANCY RESOURCE,P40,P,"105 SAINT LOUIS ST, THIBODAUX, LA, 70301-3027","(-90.82057028599638, 29.79830631479347)"
LAKE AREA ATHLETIC TRAINERS ASSOCIATION INC,B99,B,"4407 EILEEN ST, LAKE CHARLES, LA, 70605-4231","(-93.24221233333334, 30.177563)"
FAITH MISSIONARY BAPTIST CHURCH,X21,X,"1706 SEVERINE ST, SHREVEPORT, LA, 71108-3024","(-93.76537059125835, 32.46165272460304)"
ANTIOCH A FULL GOSPEL BAPTIST CHURCH,X21,X,"5247 FORD ST, BATON ROUGE, LA, 70811-5620","(-91.13916156924218, 30.519522241529632)"
GRACE POINT CHURCH INCORPORATED,X20,X,"2910 MERIWETHER RD, SHREVEPORT, LA, 71108-5402","(-93.81254832339806, 32.42042428404965)"
INTERNATIONAL LINCOLN ASSOCIATION,B99,B,"5734 ROMA DR, SHREVEPORT, LA, 71105-4225","(-93.71859472222222, 32.45493283333333)"
MIGHTY WORD OF POWER MINISTRIES INC,P20,P,"534 WINDINGWAY DR, BATON ROUGE, LA, 70810-2527","(-91.10538555346534, 30.373782410891092)"
CHILDREN FIRST LEARNING CENTER,O20,O,"522 GLENWAY DR, BATON ROUGE, LA, 70815-6564","(-91.02899820408163, 30.452743346938774)"
POWER MINISTRIES OF THE WORLD INC,X212,X,"36 BLUEBIRD ST, NEW ORLEANS, LA, 70124-4308","(-90.09431025280091, 30.020053400000002)"
INCARNATION CONSECRATION MISSION,X20,X,"2580 TECUMSEH ST, BATON ROUGE, LA, 70805-7971","(-91.1654340077207, 30.47088292227254)"
BAYOU LIFE CENTER,P99,P,"433 DOVE CV, ALEXANDRIA, LA, 71303-2461","(-92.49674756509432, 31.279304643490565)"
NORRIS FERRY COMMUNITY CHURCH,X20,X,"10509 NORRIS FERRY RD, SHREVEPORT, LA, 71106-8331","(-93.71391477339901, 32.34716947044335)"
LOUSIANA GARDEN CLUB FEDERATION INC,C42,C,"8509 HIGHWAY 562, EXTENSION, LA, 71243-5151","(-91.80512848888888, 31.968211822222223)"
MOREHOUSE SENIOR APARTMENTS INC,L22,L,"704 NELDA DRIVE, BASTROP, LA, 71220-5273","(-91.90147000011906, 32.77232921061404)"
HABANA WORKS INC,C99,C,"1036 ESPLANADE AVE, NEW ORLEANS, LA, 70116-1962","(-90.0635822, 29.9656005)"
ONE WORLD INC,P80,P,"1106 MOISANT ST, KENNER, LA, 70062-6718","(-90.24037328715337, 29.98238395)"
YOUNG MEN OF HONOR,O50,O,"10829 CLEARVIEW AVE, BATON ROUGE, LA, 70811-1710","(-91.1210156903528, 30.547387198149103)"
K-DOG SCHOLARSHIP FOUNDATION,M42,M,"310 WOODRICH LN, LAFAYETTE, LA, 70507-5206","(-92.05340140939597, 30.27028389932886)"
GREATER WORKS CHRISTIAN FELLOWSHIP MINISTRIES,X20,X,"940 YOUNG ST, BROUSSARD, LA, 70518-7713","(-91.97233243478057, 30.102092864046522)"
GODS HOUSE OF PRAYER MINISTRY,X20,X,"16 BOLTON AVE, ALEXANDRIA, LA, 71301-7272","(-92.46147717886672, 31.31040803291584)"
ANGOLAN ASSOCIATION IN LOUISIANA INC,P80,P,"12749 PARNELL AVE, BATON ROUGE, LA, 70815-6671","(-91.0406091667044, 30.453899510979515)"
LOUISIANA INDEPENDENT COTTON WAREHOUSE ASSOCIATION,J40,J,"3000 KILPATRICK BOULEVARD, MONROE, LA, 71201-5166","(-92.09135, 32.526305)"
SOLDIERS OF COMPASSION OUTREACH MINISTRY INC,X20,X,"605 COTTON ST, SHREVEPORT, LA, 71101-3711","(-93.74945595302013, 32.50867803355705)"
BOOST FOUNDATION INC,P20,P,"705 RACE ST, NEW ORLEANS, LA, 70130-8621","(-90.06783175510203, 29.933482959183674)"
ELITE PROGRAM INC,B99,B,"2700 FOXXWOOD DR, RUSTON, LA, 71270-2509","(-92.624613, 32.56032)"
UNIVERSAL LIFE MINISTRIES,X200,X,"1303 MARIGNY AVE, MANDEVILLE, LA, 70448-3842","(-90.0560939278451, 30.368072680004534)"
SAINT GABRIEL COMMUNITY CHURCH,X20,X,"348 W 79TH ST, SHREVEPORT, LA, 71106-4820","(-93.76197324489796, 32.432776469387754)"
HOLY WAY CHRISTIAN MINISTRIES,X20,X,"3220 BAYOU RD, SAINT BERNARD, LA, 70085-5202","(-89.7817086834171, 29.8627355879397)"
KIM PERROT VISIONS OF LIFE INC,P20,P,"114 CLARA ST, LAFAYETTE, LA, 70501-1706","(-92.0344188903848, 30.248899808455267)"
FRIENDS OF FORT DERUSSY INC,A80,A,"7162 HIGHWAY 29, COTTONPORT, LA, 71327-4234","(-92.0936144, 30.980469)"
SCHNAUZER RESCUE OF LOUISIANA,D20,D,"6459 COLBERT ST, NEW ORLEANS, LA, 70124-3123","(-90.11069858327465, 30.0084432)"
ALEXANDRIA AFFORDABLE HOUSING CORPORATION,L21,L,"2558 LOBLOLLY LN, ALEXANDRIA, LA, 71303-4343","(-92.4804618766084, 31.31668722672553)"
TRUMAN STREET CHURCH OF CHRIST,X21,X,"6540 HEARNE AVE, SHREVEPORT, LA, 71108-4523","(-93.780992, 32.453212)"
STONER HILL ACTIONS GROUP INC,S22,S,"2301 ROOSEVELT AVE, SHREVEPORT, LA, 71104-2774","(-93.722602, 32.489822)"
LADONALD & MARCIA ENSLEY MINISTRIES,X20,X,"6304 CYPRESS POINT DR, MONROE, LA, 71203-3210","(-92.04621636751659, 32.53447102272679)"
NATIONAL HOLY TRINITY BAPTIST FELLOWSHIP,X21,X,"1700 MCHUGH RD, BAKER, LA, 70714-3036","(-91.1495778946273, 30.59272639319967)"
FRIENDS OF THE WASHINGTON PARISH LIBRARY,B117,B,"825 FREE ST, FRANKLINTON, LA, 70438-1445","(-90.15930859582403, 30.848784293746352)"
NEW TESTAMENT BAPTIST CHURCH OF RAPIDES LA INCORPORATED,X21,X,"2527 HORSESHOE DR, ALEXANDRIA, LA, 71301-2615","(-92.47043343499524, 31.258617634627083)"
VINTON YOUTH GROUP,O20,O,"1002 INDUSTRIAL ST, VINTON, LA, 70668-3824","(-93.57755857142857, 30.196164142857143)"
TRI-DISTRICT COMMUNITY DEVELOPMENT CORPORATION INC,L21,L,"2920 LOUBERTA ST, MONROE, LA, 71201-8127","(-92.088666, 32.509918)"
RAIN FOREST ART FOUNDATION,A25,A,"710 TRAVIS ST, SHREVEPORT, LA, 71101-2948","(-93.75271289795919, 32.51224332653061)"
GLORY OF GOD BAPTIST CHURCH MINISTRIES,X21,X,"3017 DAWSON ST, KENNER, LA, 70065-4328","(-90.25641315001704, 30.00973645)"
KIDS WORLD OF NEW ORLEANS INC,P33,P,"3901 SAINT CLAUDE AVE, NEW ORLEANS, LA, 70117-5453","(-90.0361373056746, 29.96612635)"
MACEDONIA MISSIONARY BAPTIST CHURCH,X21,X,"1800 ENGLAND DR, ALEXANDRIA, LA, 71303-4114","(-92.482399, 31.316318)"
THE CATHEDRAL,X21,X,"410 WINNIPEG AVE, LAFAYETTE, LA, 70501-2347","(-91.99083094454157, 30.257058039170545)"
BATON ROUGE SYMPHONY LEAGUE INC,A11,A,"233 SAINT FERDINAND ST, BATON ROUGE, LA, 70802-5818","(-91.186491, 30.445342)"
NEW ORLEANS BALLET INC,A63,A,"1213 MARENGO ST, NEW ORLEANS, LA, 70115-3810","(-90.0979766, 29.9242494)"
NEW ORLEANS REDEVELOPMENT UNLIMITED INC,L22,L,"1409 ORETHA CASTLE HALEY BLVD, NEW ORLEANS, LA, 70113-1248","(-90.07889787755103, 29.941793142857144)"
COMMUNITY PARTNERS,T50,T,"5525 SUPERIOR DRIVE, BATON ROUGE, LA, 70816-8052","(-91.04885900702548, 30.404718907173024)"
LOUISIANA HANDS AND VOICES,P20,P,"5860 CITRUS BOULEVARD, HARAHAN, LA, 70123-8520","(-90.2047931, 29.9633211)"
FRIENDS OF THE RED RIVER NATIONAL WILDLIFE REFUGE INC,C32,C,"150 EAGLE BEND PT, BOSSIER CITY, LA, 71112-8611","(-93.67232514609375, 32.447443050000004)"
JAG FAMILY RESOURCE CENTER INC,P20,P,"4820 GREENWOOD RD, SHREVEPORT, LA, 71109-5502","(-93.82560792307692, 32.47145292307692)"
ASSOCIATION FOR PROFESSIONALS IN INFECTION CTRL & EPIDEMIOLOGY INC,E72C,E,"113 DOUBLOON DR, LAFAYETTE, LA, 70508-6526","(-92.01598529977947, 30.146455997086598)"
NEW ENGLAND OBSTETRICAL AND GYNECOLOGICAL SOCIETY INC,A99Z,A,"500 HILLARY ST, NEW ORLEANS, LA, 70118-3834","(-90.130966, 29.939226)"
LOUISIANA DELTA COMMUNITY COLLEGE FOUNDATION,T31,T,"7500 MILLHAVEN RD, MONROE, LA, 71203-9006","(-92.0543871, 32.4998543)"
ST MARY BAPTIST CHURCH INC,X21,X,"1460 KENNETH AVE, SHREVEPORT, LA, 71103-2346","(-93.778695, 32.49789467346938)"
YOUTH RESTORATION INC,B90,B,"1707 ESPLANADE AVE, NEW ORLEANS, LA, 70116-1702","(-90.06951328983516, 29.97055365)"
U S S BELLE GROVE LSD 2 ASSOCIATION INCORPORATED,P99,P,"104 E TAMPICO ST, NEW IBERIA, LA, 70563-1334","(-91.814434079834, 30.0253381399651)"
AFRICAN CHRISTIAN FELLOWSHIP NEW ORLEANS CHAPTER,X20,X,"7531 CHEF MENTEUR HWY, NEW ORLEANS, LA, 70126-5317","(-89.99936602645732, 30.01250805)"
SISTERS OF SOPHISTICATION,O50,O,"14442 ACACIA ST, BATON ROUGE, LA, 70819-3905","(-91.02474944449672, 30.458846331078444)"
JUST ONE WORD INC,B90,B,"1708 THERON DR, BATON ROUGE, LA, 70810-1476","(-91.10885903938463, 30.38656953085899)"
TIMOTHY TRUMPET OF TRUTH MINISTRY,X20,X,"4830 PAULINE DR, NEW ORLEANS, LA, 70126-3655","(-90.03196739021752, 30.011370499999998)"
LOUISIANA BUSINESS LEADERSHIP NETWORK,J20,J,"504 MAYFLOWER DR, METAIRIE, LA, 70001-5031","(-90.16428756677003, 29.97864435)"
BATON ROUGE HEAD INJURY ASSOCIATION,P20,P,"8598 UNITED PLAZA, BATON ROUGE, LA, 70809-0000","(-91.096212, 30.409073)"
SAGEFIELD HOMEOWNERS ASSOCIATION,S22,S,"9426 CRANDON DR, BATON ROUGE, LA, 70810-8803","(-91.12206539227094, 30.34778845764944)"
THE DANA AND STEPHEN HANSEL FAMILY FOUNDATION INC,T22,T,"278 BELLAIRE DR, NEW ORLEANS, LA, 70124-1011","(-90.12348229606377, 29.9833134)"
KREWE OF ARTEMIS-SPRINGHILL INC,T50,T,"25 BICE ST, SPRINGHILL, LA, 71075-3227","(-93.46149095918368, 33.000752734693876)"
FOUNTAIN OF LIFE KINGDOM CHURCH,Y212,Y,"7340 UNION AVE, SHREVEPORT, LA, 71106-3902","(-93.77168494375897, 32.43845749096205)"
KREWE DU SAUVAGE,N99,N,"2003 CHARVAIS DR, LAKE CHARLES, LA, 70601-5605","(-93.24165065306123, 30.212812897959182)"
KNOW YOU BIBLE MINISTRIES,X21,X,"310 E UNION ST, MINDEN, LA, 71055-4604","(-93.2819898087971, 32.61258639080382)"
NORMAN EDUCATION FUND INC,B28,B,"205 PARKWOOD BLVD, WEST MONROE, LA, 71292-2463","(-92.197824, 32.505688)"
9TH CAVALRY AND 25TH INFANTRY BUFFALO SOLDIERS OF LOUISIANA,P50,P,"1924 BAYOU RD, NEW ORLEANS, LA, 70116-2129","(-90.07162614663875, 29.97018615)"
LOUSIANA GARDEN CLUB FEDERATION INC,C42,C,"3828 PLACID LN, LAKE CHARLES, LA, 70605-6773","(-93.28917965853658, 30.165587463414635)"
USS WASHTENAW COUNTY VETERANS ASSOCIATION,W30,W,"42472 EVANGELINE DR, HAMMOND, LA, 70403-4296","(-90.40511702020201, 30.473934323232324)"
PELICAN STATE YOUTH MOVEMENT,O20,O,"709 WHITE AVE, BASTROP, LA, 71220-6202","(-91.90619874235729, 32.77070338050812)"
BEACON LIGHT BAPTIST CHURCH OF HOUMA,X20,X,"4325 W PARK AVE, GRAY, LA, 70359-3104","(-90.77644639660707, 29.672796009557228)"
MUSIC MUSEUM OF SOUTHWEST LOUISIANA,A50,A,"1420 17TH ST, LAKE CHARLES, LA, 70601-7644","(-93.20105014285714, 30.20687481632653)"
ALEXANDRIA MUSIC PROJECT,A68,A,"1920 MARYE ST, ALEXANDRIA, LA, 71301-6451","(-92.45869486302702, 31.30256536173842)"
RAVENS OUTREACH CENTER INC,P50,P,"1913 NORTH ST, BATON ROUGE, LA, 70802-3777","(-91.16895117863872, 30.45313552181164)"
JAMESTOWNE SOCIETY,A80,A,"19263 CHARDONNAY AVE, BATON ROUGE, LA, 70817-7670","(-90.97800279072288, 30.36175114651205)"
BATON ROUGE ADVOCATES FOR SAFE STREETS,P20,P,"6045 EVANS ST, BATON ROUGE, LA, 70806-4333","(-91.12782612080537, 30.445899503355704)"
SOCIETY FOR THE STUDY OF THE MULTI- ETHNIC LITERATURE OF THE U S,B99,B,"2000 LAKESHORE DR, NEW ORLEANS, LA, 70148-3520","(-90.063222, 30.030585)"
COMMCARE LOUISIANA,E91,E,"950 WEST CAUSEWAY APPROACH, MANDEVILLE, LA, 70471-3082","(-90.0996849, 30.390107)"
RESTORATION MINISTRIES RESTORATION FAMILY COUNSELING CENTER INC,P40,P,"308 S CORTEZ ST, NEW ORLEANS, LA, 70119-6123","(-90.09919681632653, 29.970580142857145)"
WORLD LOVE MINISTRIES,X20,X,"315 S 2ND ST, MONROE, LA, 71201-8540","(-92.11067929972475, 32.4957636562439)"
CAPITOL AREA REENTRY PROGRAM INC,F33,F,"11737 JOLSON DR, BATON ROUGE, LA, 70807-2053","(-91.16244573011349, 30.551459254369274)"
FAMILY OF GOD MINISTRIES,X20,X,"4548 SUMMERDALE ST, LAKE CHARLES, LA, 70605-5335","(-93.244971, 30.17349)"
ALPINE COMMUNITY DEVELOPMENT CORP,P99,P,"1855 CHESTNUT ST, BATON ROUGE, LA, 70802-3449","(-91.170657, 30.464954)"
COMMON GROUND RELIEF,M20,M,"1800 DESLONDE ST, NEW ORLEANS, LA, 70117-4032","(-90.02191165299539, 29.970318550000002)"
INDEPENDENT NEWSPAPER,S41,S,"840 CHEVELLE DR, BATON ROUGE, LA, 70806-7801","(-91.0986120399232, 30.442110374940405)"
SAINT JAMES MINISTRIES CHURCH OF GOD IN CHRIST INC,T20,T,"3404 ANDOVER ST, JEFFERSON, LA, 70121-1910","(-90.15995611248965, 29.96615285)"
ROSIE MARIES ANIMAL HAVEN,D20,D,"2120 BAYOU RD, THIBODAUX, LA, 70301-5832","(-90.820296, 29.7999262)"
LENNOX BOULEVARD HOMEOWNERS ASSOCIATION,L50,L,"4761 LENNOX BLVD, NEW ORLEANS, LA, 70131-8354","(-90.0083177953291, 29.9041244)"
GLORYLAND EDUCATIONAL RESOURCE CENTER INC,O50,O,"2575 MICHELLI DR, BATON ROUGE, LA, 70805-7242","(-91.1273300726988, 30.471820899451913)"
ACACIA ALUMNI ASSOCIATION,N50,N,"3239 NASHVILLE AVE, NEW ORLEANS, LA, 70125-4723","(-90.11075350861319, 29.9454912)"
