NAME,NTEE_CD,Category,Location,lat_lon
MINISTERIO APOSTOLICO JESUCRISTO ES EL SENOR INC,X21,X,"454 ESSEX ST, LAWRENCE, MA, 01840-1242","(-71.164851, 42.706158)"
BETHANY PRESBYTERIAN CHURCH,X20,X,"32 HARVARD ST, BROOKLINE, MA, 02445-7994","(-71.119126, 42.334246)"
HERITAGE COURT INC,L22Z,L,"170 NEWBURY STREET, BOSTON, MA, 02116-2873","(-71.0788035, 42.3503166)"
SABATTUS HOUSING INC,L21,L,"170 NEWBURY STREET, BOSTON, MA, 02116-2873","(-71.0788035, 42.3503166)"
WILTON HOUSING INC,L22Z,L,"170 NEWBURY STREET, BOSTON, MA, 02116-2873","(-71.0788035, 42.3503166)"
NEW ENGLAND SOCIETY OF EEG TECHNOLOGISTS,E03,E,"120 GROVE ST, SCITUATE, MA, 02066-3625","(-70.7805726358582, 42.193071200000006)"
SPORTS AND MUSIC CAMP INC,N99,N,"55 LOWDEN ST, PITTSFIELD, MA, 01201-6411","(-73.24867711058326, 42.438177350000004)"
CHARLEYS STRAYS INC,D200,D,"23 HARRIS ST, WALTHAM, MA, 02452-6104","(-71.22858683551875, 42.37788729539716)"
NORTH AMERICAN MARINE ALLIANCE INC,C013,C,"222 MAIN ST, GLOUCESTER, MA, 01930-6021","(-70.65966877777778, 42.61389622222222)"
BOSTON CHURCH FOR MISSION KMC,X21,X,"30 GORDON ST, ALLSTON, MA, 02134-1924","(-71.14020096654521, 42.352977550000006)"
HAITAIN MOUNTAIN MINISTRY INC,X21,X,"35 FAIRVIEW AVE, ASHBURNHAM, MA, 01430-1416","(-71.90523084519609, 42.62883395)"
COOLIDGE CORNER COMMUNITY CHORUS,A68,A,"25 BEALS ST, BROOKLINE, MA, 02446-6010","(-71.12485765711337, 42.3453464)"
NEW ENGLAND CLUB BASEBALL ASSOCIATION,N63,N,"16 HOWE ST, HUDSON, MA, 01749-1529","(-71.57692837846926, 42.3963507)"
