NAME,NTEE_CD,Category,Location,lat_lon
HEALING AND DELIVERANCE MINISTRY INC,X20,X,"14103 BYRNE PARK DR, CLARKSBURG, MD, 20871-6337","(-77.2907104, 39.2229261)"
MAIN STREET MOBILE TREATMENT ASSOCIATES INC,F70,F,"817 STABLE MANOR RD, REISTERSTOWN, MD, 21136-6465","(-76.79770413061078, 39.4663118)"
THE PLAN MINISTRIES INC,X20,X,"5611 LANIER AVE, SUITLAND, MD, 20746-6216","(-76.90936173907778, 38.83156675)"
SOLID UNION MINISTRIES INC,X21,X,"3001 GOLD MINE RD, BROOKEVILLE, MD, 20833-2619","(-77.0662, 39.165908)"
C ELIZABETH RIEG PARENT TEACHER ORGANIZATION,B94,B,"15542 PEACH WALKER DR, BOWIE, MD, 20716-1412","(-76.73385298357609, 38.9203435)"
CATOCTIN LAND TRUST INC,C34,C,"365 WEST PATRICK STREET, FREDERICK, MD, 21701-4854","(-77.4199306058907, 39.41286933255413)"
FIRST VIETNAMESE BAPTIST CHURCH,X21,X,"6333 AUBURN AVE, RIVERDALE, MD, 20737-1612","(-76.89569601989436, 38.96562915)"
CONGREGATION YALKUT HA URIM INC,X30,X,"6214 BENHURST RD, BALTIMORE, MD, 21209-3807","(-76.69024825103027, 39.36630125)"
KAVOD VNICHUM,X99,X,"8112 SEA WATER PATH, COLUMBIA, MD, 21045-2882","(-76.7985952538936, 39.201146588376716)"
BRIDE OF CHRIST CHURCH MINISTRIES,X22,X,"3500 ENTERPRISE RD, BOWIE, MD, 20721-2560","(-76.80468439361752, 38.9376881)"
BRING IT TO LIFE MINISTRIES,X20,X,"4000 SINCLAIR LN, BALTIMORE, MD, 21213-2134","(-76.55808408636364, 39.316469)"
KEYS OF FAITH MINISTRIES,X20,X,"1329 SILVERTHORNE RD, BALTIMORE, MD, 21239-3436","(-76.59535644336457, 39.3515008)"
AGAPE CHRISTIAN CHURCH INC,X20,X,"100 E TIMONIUM RD, TIMONIUM, MD, 21093-3447","(-76.6208849, 39.4455912)"
THREE STEP MINISTRY OUTREACH,X20,X,"4916 FABLE ST, CAPITOL HGTS, MD, 20743-3931","(-76.92156884091548, 38.8773223)"
MERITUS HEALTHCARE FOUNDATION INC,E80,E,"11116 MEDICAL CAMPUS RD, HAGERSTOWN, MD, 21742-6710","(-77.68417601760198, 39.622344299999995)"
MARYLAND COMMUNITY HEALTH INITIATIVES,E60,E,"2410 PENNSYLVANIA AVE, BALTIMORE, MD, 21217-1722","(-76.6420593, 39.3094686)"
FOX HAVEN CENTER,C30,C,"3630 POFFENBERGER RD, JEFFERSON, MD, 21755-8719","(-77.54647937539109, 39.373140459516534)"
GOODWILL RETIREMENT COMMUNITY AUXILIARY INC,P118,P,"891 DORSEY HOTEL RD, GRANTSVILLE, MD, 21536-1369","(-79.15156829721181, 39.70901589568161)"
GREATER HIGHLAND CROSSROADS ASSOCIATION,S22,S,"12832 HIGHLAND RD, HIGHLAND, MD, 20777-9713","(-76.95830851281889, 39.17979483399023)"
EXCELLENCE GYM SPORTS PARENTS ASSOCIATION INC,N60,N,"4750 WINCHESTER BLVD, FREDERICK, MD, 21703-7468","(-77.504448, 39.3435095)"
BALTIMORE METROPOLITAN AREA CHAPTER OF THE AMERICAN PAYROLL ASSOC,S41,S,"205 TEAPOT CT, REISTERSTOWN, MD, 21136-1947","(-76.8333407, 39.459922)"
INSTITUTE FOR DYNAMIC EDUCATION ADVANCEMENT INC,B99,B,"7804 GARLAND AVE, TAKOMA PARK, MD, 20912-7712","(-76.99766812971875, 38.98756538338669)"
LESA-USA INC,Q33,Q,"11209 SNOWDEN POND RD, LAUREL, MD, 20708-3066","(-76.8311648405157, 39.04239675)"
GREATER DELIVERANCE MINISTRIES INTERNATIONAL INC,X21,X,"7910 SCOTT RD, LANDOVER, MD, 20785-2744","(-76.87051136734694, 38.92095320408163)"
BSG FAMILY FOUNDATION,T20,T,"100 MONTICELLO AVE, ANNAPOLIS, MD, 21401-3414","(-76.49977929787234, 38.9719594893617)"
NEW GOOD SAMARITAN BAPTIST CHURCH,X20,X,"5936 FALKIRK RD, BALTIMORE, MD, 21239-2211","(-76.58813628430232, 39.36419305)"
MLS LEARNING INC,P30,P,"5724 VIRGINIA LN, OXON HILL, MD, 20745-3574","(-76.9685351, 38.8108031)"
ALIVE AGAIN BAPTIST MINISTRIES,X21,X,"2122 E FAIRMOUNT AVE, BALTIMORE, MD, 21231-1641","(-76.58648555081078, 39.29309695)"
DUNAMIS REVIVAL MINISTRIES INC,X20,X,"16034 ELEGANT CT, BOWIE, MD, 20716-3371","(-76.7269042060982, 38.94354425)"
ANNAPOLIS NAVY JNR RESERVE OFFICER TRAIING CORPS BOOSTER CLUB,B90,B,"2700 RIVA RD, ANNAPOLIS, MD, 21401-7205","(-76.5654867379369, 38.97455195)"
LIONS CLUB OF OLNEY FOUNDATION INC,P99,P,"2705 GOLD MINE RD, BROOKEVILLE, MD, 20833-2236","(-77.0662, 39.165908)"
CHRISTIAN LIFE CENTER INC,X21,X,"5600 TAYLOR ROAD, RIVERDALE, MD, 20737-2000","(-76.93237407848432, 38.95597555)"
