NAME,NTEE_CD,Category,Location,lat_lon
CHRISTIAN CIVIC LEAGUE OF MAINE INC,X20Z,X,"70 SEWALL ST, AUGUSTA, ME, 04330-6333","(-69.78363892983512, 44.31032135)"
CUMBERLAND CLUB,N50,N,"116 HIGH ST, PORTLAND, ME, 04101-3815","(-70.26263515106527, 43.6532532)"
ISLAND COUNTRY CLUB,N50,N,"442 SUNSET RD, DEER ISLE, ME, 04627-3869","(-68.70585988621467, 44.20134967097752)"
MASONIC TRUSTEES OF PORTLAND,S47,S,"415 CONGRESS STREET, PORTLAND, ME, 04101-3500","(-70.257817, 43.6587121)"
BRIDGTON HOSPITAL,E220,E,"10 HOSPITAL DR, BRIDGTON, ME, 04009-1148","(-70.71458409451026, 44.046237649999995)"
AMERICAN LEGION,W30Z,W,"184 CONGRESS ST, RUMFORD, ME, 04276-2034","(-70.54547469681361, 44.54770825)"
SKOWHEGAN AREA CHAMBER OF COMMERCE,S41,S,"23 COMMERCIAL ST, SKOWHEGAN, ME, 04976-1714","(-69.71858555, 44.766027550000004)"
ROCKLAND CEMETERY ASSOCIATION,Y52Z,Y,"10 SCHOOL ST, ROCKLAND, ME, 04841-2841","(-69.10974341251534, 44.10401095)"
VETERANS OF FOREIGN WARS OF THE UNITED STATES DEPT OF MAINE,W30,W,"330 WALDO ST, RUMFORD, ME, 04276-1714","(-70.54890108870433, 44.5522584)"
THE PORTLAND PLAYERS INC,A650,A,"420 COTTAGE RD, S PORTLAND, ME, 04106-4921","(-70.23400914773899, 43.63562595)"
MARTIN-KLEIN AMERICAN LEGION POST 133,W99,W,"411 W MAIN ST, FORT KENT, ME, 04743-1016","(-68.6035733, 47.2476879)"
ANCIENT FREE & ACCEPTED MASONS OF MAINE,Y40Z,Y,"102 BISHOP ST, PORTLAND, ME, 04103-2616","(-70.2982635, 43.6868068)"
VICTORIA MANSION,A82Z,A,"109 DANFORTH ST, PORTLAND, ME, 04101-4504","(-70.26073821116643, 43.65153525)"
PHI GAMMA DELTA,P20,P,"79 COLLEGE AVE, ORONO, ME, 04473-4210","(-68.6728935, 44.892018)"
THE CHAPMAN HOUSE,P75Z,P,"41 PLEASANT ST, AUBURN, ME, 04210-5936","(-70.22809, 44.0986281)"
