NAME,NTEE_CD,Category,Location,lat_lon
MOUNT ST JOSEPH,E910,E,"20555 VICTOR PARKWAY, LIVONIA, MI, 48152-7031","(-83.42174624145787, 42.43912327107061)"
STRIKE PERCUSSION ENSEMBLE,B11,B,"901 GRAND RAPIDS ST, MIDDLEVILLE, MI, 49333-9498","(-85.461574, 42.72248)"
ALLIED MEDIA PROJECTS INC,A02,A,"4126 3RD ST, DETROIT, MI, 48201-1612","(-83.0674786, 42.3485425)"
MANRESA ALHAMBRA HOUSE INC,S47,S,"37895 ANN ARBOR RD, LIVONIA, MI, 48150-4511","(-83.41558432154778, 42.36224105921276)"
RADCLIFT INC,P82,P,"23530 RADCLIFT ST, OAK PARK, MI, 48237-2481","(-83.19651991919191, 42.46393260606061)"
FRIENDS OF THE GLADWIN COUNTY LIBRARIES,B11,B,"402 JAMES ROBERTSON DR, GLADWIN, MI, 48624-7010","(-84.47032232581454, 43.98629706766918)"
NEW LEVEL SPORTS,O50,O,"400 MICHIGAN AVE W, BATTLE CREEK, MI, 49037-2343","(-85.2266248, 42.3433724)"
NEW LEVEL CHURCH,X21,X,"400 MICHIGAN AVE W, BATTLE CREEK, MI, 49037-2343","(-85.2266248, 42.3433724)"
BANGLADESH HINDU CULTURAL ORGANIZATION,X70,X,"2376 GRAYLING ST, HAMTRAMCK, MI, 48212-3660","(-83.05599391304348, 42.386786615384615)"
SHORELINE COUNSELING SERVICES,F60,F,"1627 W LAKEWOOD BLVD, HOLLAND, MI, 49424-6241","(-86.1750833198835, 42.80542525)"
SALEM ROMANIAN APOSTOLIC CHURCH,X21,X,"30754 BARRINGTON ST, MADISON HTS, MI, 48071-1834","(-83.11110834228188, 42.51875640939597)"
INFORM YOURSELF INC,P20,P,"27610 ARLINGTON CT, SOUTHFIELD, MI, 48076-3103","(-83.249153330225, 42.491772359371645)"
REO TOWN COMMERCIAL ASSOCIATION,S20,S,"222 E ELM ST, LANSING, MI, 48910-1608","(-84.55043806122448, 42.721821)"
STUDENT GREENHOUSE PROJECT,B19,B,"505 N FRANCIS AVE, LANSING, MI, 48912-4212","(-84.51645606060606, 42.738625404040405)"
SECOND CHANCE 2000,L20,L,"16190 LITTLEFIELD ST, DETROIT, MI, 48235-4224","(-83.17613906532662, 42.41003990452261)"
FRIENDS OF THE NOVI PUBLIC LIBRARY,B11,B,"22674 HEATHERBRAE WAY, NOVI, MI, 48375-4322","(-83.45073979969602, 42.45543432406911)"
SECOND HOLY TEMPLE CHURCH OF GOD IN CHRIST,X21,X,"7427 E 7 MILE RD, DETROIT, MI, 48234-3177","(-83.02801575, 42.43397458333334)"
WINGS AS EAGLES DELIVERANCE MINISTRY,X21,X,"8315 MARCUS ST, DETROIT, MI, 48213-2112","(-83.0402173, 42.3959676)"
CHRISTIAN FAITH MINISTRIES,X21,X,"21241 FENKELL ST, DETROIT, MI, 48223-1646","(-83.24977185714286, 42.40037206122449)"
ANOINTED PRAISE MINISTRIES INC,X20,X,"714 OAKDALE ST SE, GRAND RAPIDS, MI, 49507-1804","(-85.65090057142856, 42.93721442857142)"
DELTA COMMUNITY CHURCH,X21,X,"6016 BRADFORD LN, LANSING, MI, 48917-1207","(-84.63553537721073, 42.754194850000005)"
MT TRANSFIGURATION MISSIONARY BAPTIST CHURCH,X20,X,"16171 GLASTONBURY RD, DETROIT, MI, 48219-4106","(-83.22269213567839, 42.40863720603015)"
DETROIT GRADUATE CHAPTER OF GROOVE PHI GROOVE SFI,B84,B,"7504 DEXTER AVE, DETROIT, MI, 48206-2516","(-83.110012, 42.3590627755102)"
COMMUNITY REVITALIZATION AND ECONOMIC DEVELOPMENT CENTER,P20,P,"101 DELAWARE ST SE, GRAND RAPIDS, MI, 49507-1125","(-85.665538, 42.946093)"
FOUNDATION IN SUPPORT OF THE INGHAM COUNTY MEDICAL CARE FACILITY,E11,E,"3860 DOBIE RD, OKEMOS, MI, 48864-3704","(-84.4103969, 42.7097959)"
BOY SCOUTS OF AMERICA NTL COUNCIL,O40,O,"3551 CHERISHED VIEW DR, TROY, MI, 48084-1733","(-83.15240454539504, 42.569892006565105)"
HOUSE OF REFUGE-DELIVERANCE MINISTRIES,X21,X,"14010 TOEPFER RD, WARREN, MI, 48089-3362","(-82.97893804237287, 42.45676910169491)"
WESTLAND ROTARY CHARITABLE FOUNDATION,S80,S,"38512 LORUSS AVE, WESTLAND, MI, 48186-3878","(-83.41731736987525, 42.305351232947345)"
RIVER CITIES CONCERT ASSOCIATION INC,A68,A,"717 14TH AVE, MENOMINEE, MI, 49858-2942","(-87.61100724322633, 45.11135250336507)"
SECOND IMPRESSIONS,P29,P,"3750 S WESTNEDGE AVE, KALAMAZOO, MI, 49008-2978","(-85.59037666278255, 42.2539828)"
WATER ACCESS VOLUNTEER EFFORT FUND,P60,P,"8045 2ND AVE, DETROIT, MI, 48202-2403","(-83.07974895259228, 42.37363925)"
JDS COMPUTER DONATIONS INC,T70,T,"6989 WOODVIEW CT, W BLOOMFIELD, MI, 48324-2678","(-83.42124, 42.582278)"
HOPE VILLAGE REVITALIZATION,S20,S,"14030 LA SALLE BLVD, DETROIT, MI, 48238-2948","(-83.121652, 42.39802146938776)"
HAPPILY EVER AFTER EDUCATIONAL PROGRAMS INC,P46,P,"3532 BLAIR CT, W BLOOMFIELD, MI, 48323-1702","(-83.35265793877551, 42.58098712244898)"
MICHIGAN STATE UNIVERSITY,O52,O,"1800 IMLAY CITY RD, LAPEER, MI, 48446-3208","(-83.067131, 43.030149)"
ORION AREA PARADE GROUP,N52,N,"3321 GROVE LN, AUBURN HILLS, MI, 48326-3979","(-83.22765526197723, 42.69116586389389)"
HEARING LOSS ASSOCIATION OF AMERICA INC,P87,P,"711 E BELLE AVE, SAINT CHARLES, MI, 48655-1507","(-84.13407066666666, 43.2991755483871)"
ISLAMIC ORGANIZATION OF NORTH AMERICA,X20,X,"28630 RYAN RD, WARREN, MI, 48092-4125","(-83.0672943253012, 42.503254662650605)"
GRAND LEDGE CROSS COUNTRY AND TRACK BOOSTERS INC,N60,N,"105 W HILLSDALE ST, LANSING, MI, 48933-2309","(-84.55252020408163, 42.72730336734694)"
FRESH START MINISTRIES,X212,X,"4818 COURVILLE ST, DETROIT, MI, 48224-2714","(-82.93791827272727, 42.401320272727276)"
IGLESIA EVANGELICA CRISTIANA ESPIRITUAL,X21,X,"1522 PLASTICO AVE SW, WYOMING, MI, 49509-1157","(-85.69081720205271, 42.93631669764453)"
