NAME,NTEE_CD,Category,Location,lat_lon
ST LOUIS PARK FOOTBALL ASSOCIATION,N65,N,"3700 MONTEREY DR, ST LOUIS PARK, MN, 55416-4902","(-93.34113022965116, 44.9350656)"
LIVING HOPE,X21,X,"24550 TERRITORIAL RD, ROGERS, MN, 55374-9592","(-93.59243421028567, 45.18733895)"
COLUMBIA HEIGHTS PUBLIC LIBRARY FOUNDATION,B11,B,"3939 CENTRAL AVE NE, COLUMBIA HTS, MN, 55421-3932","(-93.24686549261435, 45.039187999999996)"
LATTER RAIN MISSION INTERNATIONAL,X21,X,"9348 75TH ST N, STILLWATER, MN, 55082-9288","(-92.8339279, 45.0570173)"
MINNESOTA VIEWERS ASSOCIATION,B60,B,"402 VALLEY VIEW DR, REDWOOD FALLS, MN, 56283-3016","(-95.0830606026168, 44.55944599523755)"
MAHTOMEDI EDUCATIONAL SUPPORT PROFESSIONALS,J40,J,"8100 75TH ST N, MAHTOMEDI, MN, 55115-1717","(-92.9424515277899, 45.06024645)"
SHOLOM COMMUNITY ALLIANCE HOME HEALTH CARE,E60,E,"3620 PHILLIPS PKWY, ST LOUIS PARK, MN, 55426-3700","(-93.39422178841286, 44.938461700000005)"
ANDOVER HUSKIES YOUTH HOCKEY ASSOCIATION,N68,N,"15200 HANSON BLVD NW, ANDOVER, MN, 55304-2763","(-93.30642652965038, 45.24595493895039)"
FRIENDS OF THE LANESBORO MINNESOTA PUBLIC LIBRARY,B117,B,"202 PARKWAY AVE N, LANESBORO, MN, 55949-9795","(-91.9770258, 43.7219768)"
AGATE HOUSING AND SERVICES INC,X112,X,"2309 NICOLLET AVE, MINNEAPOLIS, MN, 55404-3315","(-93.27772172727272, 44.95998545454545)"
RHYTHM & SWING,A20,A,"2261 LEXINGTON AVE N, ROSEVILLE, MN, 55113-4340","(-93.14661, 45.009516)"
BOUNDARY WATERS ADVISORY COMMITTEE,C27,C,"309 CEDAR AVE S, MINNEAPOLIS, MN, 55454-1030","(-93.2469122, 44.9707301)"
O S H SOFTBALL BOOSTER CLUB,B11,B,"317 2ND AVE NW, OSSEO, MN, 55369-1005","(-93.40943240690294, 45.120681899999994)"
NORTHWEST SINGING SENIORS,A6B,A,"7201 CARTISIAN AVE, BROOKLYN PARK, MN, 55428-2331","(-93.37178749282779, 45.07050758177396)"
ANDOVER CENTER ICE CLUB,N12,N,"15200 HANSON BLVD NW, ANDOVER, MN, 55304-2763","(-93.30642652965038, 45.24595493895039)"
MINNESOTA URBAN MINISTRY INSTITUTE,B50,B,"1315 PORTLAND AVE, MINNEAPOLIS, MN, 55404-1454","(-93.26751996252773, 44.969164082191035)"
WESTBY HOUSING ASSOCIATES INC,L20,L,"412 S 3RD ST, LA CRESCENT, MN, 55947-1329","(-91.3064092244898, 43.826275183673474)"
MINNESOTA 1 DISASTER MEDICAL ASSISTANCE TEAM,M20,M,"6250 TRACY AVE, EDINA, MN, 55436-2554","(-93.36924348032812, 44.889348049999995)"
DISCOVER WASECA TOURISM,S41,S,"104 10TH AVE SE, WASECA, MN, 56093-3122","(-93.50799765306122, 44.06996732653061)"
WINDUSTRY,B99,B,"201 RIDGEWOOD AVE, MINNEAPOLIS, MN, 55403-3508","(-93.28118021611897, 44.963517949999996)"
WORTHINGTON OKABENA WINDSURFERS INC,T20,T,"700 2ND AVE, WORTHINGTON, MN, 56187-2300","(-95.599421, 43.616153)"
ECHO PARK ELEMENTARY SCHOOL BOOSTERS PTO,B122,B,"14100 COUNTY ROAD 11, BURNSVILLE, MN, 55337-4763","(-93.26152028253969, 44.7494823)"
CHAMPLIN PARK HS DUGOUT CLUB,N63,N,"6025 109TH AVE N, CHAMPLIN, MN, 55316-3475","(-93.35632195723281, 45.15177440413789)"
HORMEL FOODS CORPORATION CHARTIBLE TR,T20,T,"1 HORMEL PL, AUSTIN, MN, 55912-3673","(-92.967988, 43.681662)"
UMUAHIA FAMILY UNION OF MINNESOTA,P20,P,"4065 CLOVER AVE, VADNAIS HTS, MN, 55127-7039","(-93.07269996079677, 45.06401070501382)"
GREAT RIVER SHAKESPEARE FESTIVAL,A65,A,"121 E 3RD ST, WINONA, MN, 55987-3417","(-91.634623327948, 44.05176679850868)"
GOOD IN THE HOOD,P20,P,"2101 CHICAGO AVE, MINNEAPOLIS, MN, 55404-2815","(-93.2623157445885, 44.961668)"
FOLEY AREA CHAMBER OF COMMERCE,S41,S,"183 CEDAR DR, FOLEY, MN, 56329-4401","(-93.91764877518881, 45.658649)"
THEATRE PRO RATA,N65,N,"8717 COLFAX AVE S, BLOOMINGTON, MN, 55420-2617","(-93.292207, 44.84580867114094)"
BECKER INTERNATIONAL HOUSE OF PRAYER,X20,X,"12264 PLEASANT AVE, BECKER, MN, 55308-8508","(-93.87199, 45.39225885211201)"
NGATHA-INTERNATIONAL,P85,P,"6986 COUNTY ROAD 8 NE, KANDIYOHI, MN, 56251-9792","(-94.9410301, 45.1302348)"
