NAME,NTEE_CD,Category,Location,lat_lon
HEARTLAND BAPTIST FELLOWSHIP OF CASS COUNTY,X200,X,"21203 E 283RD ST, HARRISONVILLE, MO, 64701-6338","(-94.35532038843277, 38.60314670463422)"
THE UNIVERSAL BUDDHIST CONGREGATION QUANG PHAP RELIGIOUS MONASTIC INST,X50,X,"5232 BULWER AVE, SAINT LOUIS, MO, 63147-3110","(-90.2073451533216, 38.678983813045114)"
HERITAGE ACADEMY,B20,B,"2900 BARBERRY AVE, COLUMBIA, MO, 65202-3264","(-92.38047634904161, 38.9752753)"
FO GUANG SHAN SAINT LOUIS BUDDHIST CENTER,X50,X,"3109 SMILEY RD, BRIDGETON, MO, 63044-3043","(-90.4289782, 38.7332772)"
BAPTIST GENERAL CONVENTION OF MISSOURI,X112,X,"301 E CAPITOL AVE, JEFFERSON CTY, MO, 65101-3003","(-92.168489, 38.576154)"
TRINITY OUTREACH MINISTRIES INC,X21,X,"565 N WEST BYP, SPRINGFIELD, MO, 65802-5349","(-93.3485727633333, 37.21412797227332)"
WELLSTON LOOP COMMUNITY DEVELOPMENT CORPORATION,P01,P,"1514 HODIAMONT AVE, SAINT LOUIS, MO, 63112-3619","(-90.28499757142858, 38.67533528571429)"
PANEURHYTHMY CIRCLE OF JOY,A62,A,"3965 WESTMINSTER PL, SAINT LOUIS, MO, 63108-3907","(-90.24180327876525, 38.6414746)"
FRIENDS OF CARONDELET PARK INC,N32,N,"3910 BOWEN ST, SAINT LOUIS, MO, 63116-3126","(-90.26394645610485, 38.56743287132674)"
MAKING A DIFFERENCE FOUNDATION,X84,X,"802 CALHOUN ST, CHILLICOTHE, MO, 64601-2205","(-93.55384706122449, 39.795047897959186)"
DANIEL BOONE FLYING CLUB INC,N50,N,"604 S GREENWOOD AVE, COLUMBIA, MO, 65203-2769","(-92.350505, 38.94619656258229)"
ROCK SOLID URBAN IMPACT INC,O50,O,"934 NORTON AVE, KANSAS CITY, MO, 64127-1629","(-94.5352963, 39.1008685)"
ST JOSEPH RETIRED TEACHERS SCHOLARSHIP FOUNDATION,B82,B,"2509 SHIRLEY DR, SAINT JOSEPH, MO, 64503-1154","(-94.82741660423711, 39.74207979947036)"
FIVE ACRES ANIMAL SHELTER,D20,D,"1099 PRALLE LN, SAINT CHARLES, MO, 63303-5735","(-90.527309, 38.757424)"
KINGDOM YOUTH ALLIANCE INC,X20,X,"5301 COUNTY ROAD 220, KINGDOM CITY, MO, 65262-2014","(-91.941975, 38.930847)"
ALL FAITH CHURCH INC,X20,X,"2823 MARCUS AVE, ST LOUIS, MO, 63115-1902","(-90.2487508367347, 38.666984142857146)"
GIFTS OF LOVE INTERNATIONAL,Q33,Q,"14382 WOODLAKE DR, CHESTERFIELD, MO, 63017-5714","(-90.4952047, 38.6782927)"
FRIENDS OF THE MORGAN COUNTY LIBRARY,B90,B,"600 N HUNTER ST, VERSAILLES, MO, 65084-1830","(-92.84478280857678, 38.43777523404356)"
OUR LADY OF REFUGE INC,X20,X,"2110 E BRIAR ST, SPRINGFIELD, MO, 65804-7524","(-93.257621, 37.122972)"
INTERNATIONAL SOCIETY FOR AUTISM,H20,H,"400 ADMIRAL BLVD, KANSAS CITY, MO, 64106-1508","(-94.57858974332584, 39.10561265)"
CHRISTIAN FRIENDS OF NEW AMERICANS,X90,X,"4019 S GRAND BLVD, SAINT LOUIS, MO, 63118-3407","(-90.244901625, 38.584155625)"
