NAME,NTEE_CD,Category,Location,lat_lon
TRI-CITY BOXING CLUB,A99,A,"3911 SNOOK AVE, PASCAGOULA, MS, 39581-3439","(-88.5229712304593, 30.36327119698434)"
LUCIAN A & JERRI JETER HARVEY FOUNDATION,T22,T,"2222 EASTOVER DR, JACKSON, MS, 39211-6721","(-90.1365403910698, 32.33918287759114)"
GOOD SHEPARD OUTREACH MINISTRIES INTERNATIONAL,X21,X,"574 HARDIN CIR, PONTOTOC, MS, 38863-7257","(-89.04862947544994, 34.25669737054679)"
POTTERS HOUSE FELLOWSHIP WORSHIP CENTER,X21,X,"1110 GRAND AVE, JACKSON, MS, 39203-2505","(-90.20345807204914, 32.306670073002756)"
VFW AUXILIARY DEPARTMENT OF MISSISSIPPI,W30,W,"625 DONNA DR, MCCOMB, MS, 39648-5601","(-90.4669098292683, 31.22240363414634)"
WOMENS ON THE MOVE OUTREACH MINISTRIES,X20,X,"1046 GARDEN PARK DR, JACKSON, MS, 39204-5337","(-90.23594340205644, 32.27757140106855)"
HOUSE OF YISRAEL OF MISSISSIPPI,X21,X,"1080 PECAN PARK CIR, JACKSON, MS, 39209-6913","(-90.22888046128162, 32.30464363495403)"
COALITION OF AFRICAN AMERICAN COMMUNITIES,O50,O,"3280 39TH AVE, GULFPORT, MS, 39501-5833","(-89.10807502494916, 30.3896185)"
P U R E & A C E P,N30,N,"908 CROSS ST, CLEVELAND, MS, 38732-4030","(-90.70908825389614, 33.7373504)"
VFW AUXILIARY TO GEORGE ROBERT MITCHELL POST 4877,W30,W,"100 W LOVELESS RD, BOONEVILLE, MS, 38829-9714","(-88.548948, 34.685999)"
LIVING FOR LEGACIES,P60,P,"2302 IDAHO ST, JACKSON, MS, 39213-5426","(-90.21262166534069, 32.35085543068711)"
CARBO FOUNDATION,S80,S,"106 MALLARD WAY, CLINTON, MS, 39056-6268","(-90.3722845182197, 32.34401500308622)"
WORD OF GOD MINISTRIES,X20,X,"647 NORRIS ST, GREENVILLE, MS, 38703-6043","(-91.03271750913865, 33.39907189870744)"
TIPPAH COUNTY HISTORICAL MUSEUM INC,A54,A,"106 N SIDDALL ST, RIPLEY, MS, 38663-2036","(-88.94736702080702, 34.73114978814036)"
FAMILY EMPOWERMENT ZONE INC,P40,P,"1201 GROVE ST, VICKSBURG, MS, 39183-3029","(-90.87572, 32.351391)"
MISSISSIPPI LEADERSHIP FORUM,B30,B,"1817 CRANE RIDGE DRIVE, JACKSON, MS, 39216-4979","(-90.14110519410718, 32.33092313967427)"
