NAME,NTEE_CD,Category,Location,lat_lon
GARDEN CITY NEIGHBORS INC,L21,L,"1235 34TH STREET, MISSOULA, MT, 59801-8516","(-114.01643039114299, 46.83718295)"
WHITTIER PARENT ORGANIZATION,B80,B,"511 N 5TH AVE, BOZEMAN, MT, 59715-3419","(-111.04406831019284, 45.68469050402196)"
BUTTE HIGH SILVER BS,N50,N,"270 E PARK STREET, BUTTE, MT, 59701-1808","(-112.53087786224721, 46.013157125054725)"
THE TAIMEN FUND,Q30,Q,"110 E COTTONWOOD ST, BOZEMAN, MT, 59715-2909","(-111.03568104081633, 45.686497714285714)"
BILLINGS WRESTLING CLUB INC,N60,N,"523 S 29TH ST, BILLINGS, MT, 59101-4038","(-108.50075067593556, 45.775334934556966)"
THE CMS FUND,A68Z,A,"312 E PINE ST, MISSOULA, MT, 59802-4624","(-113.99011195918366, 46.87223536734694)"
TRUTH IN THE WORD MINISTRIES,X20Z,X,"1963 GREATVIEW DR, KALISPELL, MT, 59901-8954","(-114.3198306581878, 48.17616236517521)"
KALEIDOSCOPE A THEATER AND ARTS COOPERATIVE,A65,A,"409 N 15TH AVE, BOZEMAN, MT, 59715-3241","(-111.05700372593262, 45.68346359012578)"
MONTANA SOUTHERN BAPTIST CONVENTION INC,X21,X,"301 INDIAN ST, WOLF POINT, MT, 59201-1807","(-105.641017, 48.099307)"
FAMILY PROMISE OF GALLATIN VALLEY INC,P60,P,"1603 TSCHACHE LN, BOZEMAN, MT, 59718-2142","(-111.0799229, 45.6979442)"
BOONE & CROCKETT CLUB,D300,D,"250 STATION DRIVE, MISSOULA, MT, 59801-2761","(-113.99830644716458, 46.867256829909415)"
MONTANA COUNCIL ON DEVELOPMENTAL DISABILITIES,P82,P,"2714 BILLINGS AVE, HELENA, MT, 59601-9767","(-111.99212793288591, 46.594419986577186)"
UNITED STATES BOWLING CONGRESS INC,N70,N,"906 7TH AVE N, GLASGOW, MT, 59230-1631","(-106.63837022574067, 48.203385)"
ANACONDA CITY HIGH SCHOOL HIGHER EDUCATION FOUNDATION INC,B82,B,"270 E PARK STREET, BUTTE, MT, 59701-1808","(-112.53087786224721, 46.013157125054725)"
GLACIER ASSISTANCE INC,L20,L,"39 WINDWARD LOOP, KALISPELL, MT, 59901-2682","(-114.32390000683412, 48.219410211844476)"
MONTANA LEARNING CENTER AT CANYON FERRY LAKE INC,B90,B,"7653 CANYON FERRY RD, HELENA, MT, 59602-8517","(-111.7174390058081, 46.65467085)"
MONTANA 4-H FOUNDATION INC,O52,O,"903 BLACK AVE, BOZEMAN, MT, 59715-0000","(-111.03544485, 45.69000615)"
THREE SUNS,B60,B,"1338 4TH ST, WHITEFISH, MT, 59937-2630","(-114.32410944028983, 48.408736250853)"
CONSERVATION CONGRESS,C36,C,"1604 1ST AVE S, GREAT FALLS, MT, 59401-3846","(-111.27967979591837, 47.50401067346939)"
FAMILY PROMISE OF YELLOWSTONE VALLEY,F31,F,"10 S 26TH ST, BILLINGS, MT, 59101-4236","(-108.50157747967052, 45.78140202345965)"
AUDITOR FOUNDATION,S20,S,"3015 OTTAWA ST, BUTTE, MT, 59701-6535","(-112.49236457089334, 45.98969003295641)"
WHITEFISH AREA LAND TRUST,L20,L,"100 4TH ST, WHITEFISH, MT, 59937-3508","(-114.34692875013054, 48.408751253165875)"
UNITED IN LIGHT INC,D20,D,"101 BILLMAN LN, LIVINGSTON, MT, 59047-4102","(-110.577608, 45.6399469)"
FOUR CORNERS COMMUNITY FOUNDATION,C32,C,"330 N WALLACE AVE, BOZEMAN, MT, 59715-3754","(-111.02837320408163, 45.682933081632655)"
INTERMOUNTAIN DEVELOPMENT COMPANY INC,L20,L,"1235 34TH STREET, MISSOULA, MT, 59801-8516","(-114.01643039114299, 46.83718295)"
SPARKETTES OF MONTANA,N60,N,"421 6TH AVE S, GREAT FALLS, MT, 59405-2024","(-111.30038620534101, 47.49877545343583)"
SECRET ALMS CHARITABLE FUND,T20,T,"2414 FAIRWAY DR, BOZEMAN, MT, 59715-5846","(-111.0353573, 45.6564742)"
SOUTHWEST MONTANA CLIMBERS COALITION,C99,C,"11 ENTERPRISE BLVD, BOZEMAN, MT, 59718-6912","(-111.06985155647195, 45.656417994336934)"
JAMES AND CHLOE GILMAN CHARITABLE FOUNDATION INC,T22,T,"3940 SADDLE ROCK RD, BUTTE, MT, 59701-6631","(-112.47639862761342, 45.976481961380586)"
BACKCOUNTRY HUNTERS AND ANGLERS,C60,C,"725 W ALDER ST, MISSOULA, MT, 59802-4036","(-114.00173151169248, 46.87778186521518)"
ROCKY MOUNTAIN EDUCATION INC,B20,B,"105 BLUE CREST DR, KALISPELL, MT, 59901-3043","(-114.35487463676483, 48.21190398552546)"
CJMS PARENT ADVISORY COUNCIL,B112,B,"4255 KIMBERWICKE ST, BOZEMAN, MT, 59718-5700","(-111.0924616, 45.7048786)"
MAPS MEDIA INSTITUTE INC,A30,A,"515 MADISON ST, HAMILTON, MT, 59840-2706","(-114.1615182857143, 46.243514714285716)"
MONTANA 4-H FOUNDATION INC,O52,O,"903 BLACK AVE, BOZEMAN, MT, 59715-0000","(-111.03544485, 45.69000615)"
PARENTS FOR SMITH SCHOOL,B11,B,"2320 5TH AVE, HELENA, MT, 59601-4959","(-111.99951381632653, 46.58608459183673)"
ALLEGIANCE BENEFIT FOUNDATION INC,B82,B,"2806 S GARFIELD ST, MISSOULA, MT, 59801-7705","(-114.0243201, 46.8506504)"
SAINT MICHAEL RADIO INC,X84,X,"608 BETH DR, GREAT FALLS, MT, 59405-3710","(-111.23430776996989, 47.497512326891886)"
GRACE DISCIPLESHIP CHURCH,X20,X,"112 STAR LN, BUTTE, MT, 59701-3949","(-112.49315678947761, 45.965021313517155)"
FOX HOLLOW ANIMAL PROJECT,D20,D,"155 FOX HOLLOW DR, HAMILTON, MT, 59840-9529","(-84.337038, 39.087656)"
ANGORA RIDGE FOUNDATION INC,T21,T,"1524 W LAKESHORE DR, WHITEFISH, MT, 59937-2261","(-114.36820157829709, 48.42194002939861)"
EVERGREEN COMMUNITY PARTNERS,M40,M,"32 WILLOW DR, KALISPELL, MT, 59901-2834","(-114.28808841527812, 48.20097134067669)"
ECHOZ,P20,P,"1323 9TH AVE S, GREAT FALLS, MT, 59405-2607","(-111.28472598151802, 47.49540759307025)"
RUTH AND VERNON TAYLOR FOUNDATION MONTANA,T20,T,"1045 REEVES ROAD EAST, BOZEMAN, MT, 59718-7700","(-111.06088182957393, 45.7173240075188)"
HERB WALTERMIRE COMMUNITY ENHANCEMENT FOUNDATION INC,T30,T,"1018 36TH AVE NE, GREAT FALLS, MT, 59404-1263","(-111.28968566668658, 47.53857732141563)"
JOES TOY MUSEUM,A52,A,"126 N MONTANA ST, DILLON, MT, 59725-3308","(-112.63645705674988, 45.218452494736425)"
BRIDGER BOWL FOUNDATION,O50,O,"15795 BRIDGER CANYON RD, BOZEMAN, MT, 59715-8282","(-110.8962665, 45.8180331)"
MONTANA POLICE PROTECTIVE ASSOCIATION FOUNDATION INC,I122,I,"2206 MASSACHUSETTS AVE, BUTTE, MT, 59701-6043","(-112.50803082884023, 45.99101867553325)"
BILLINGS SENIOR HIGH SCHOOL BRONC BOOSTER CLUB INC,B112,B,"425 GRAND AVE, BILLINGS, MT, 59101-5924","(-108.52543594939881, 45.785266699999994)"
FRIENDS OF BILLINGS PUBLIC LIBRARY,B11,B,"510 NORTH BROADWAY, BILLINGS, MT, 59101-1156","(-108.5106577, 45.7857533)"
AMERICAN COUNCIL ON CRIMINAL JUSTICE TRAINING,I20,I,"4349 RIO RD, HELENA, MT, 59602-6078","(-111.88706864323947, 46.661678)"
WALL FAMILY POWER TOWNSEND FOUNDATION INC,T20,T,"1387 CUSTER AVE, HELENA, MT, 59601-0000","(-112.01515976143945, 46.61645252820653)"
FILAM MONTANA,P20,P,"2589 PRICKLEY PEAR AVE, EAST HELENA, MT, 59635-3210","(-111.911005, 46.587003)"
GATEWAY ECONOMIC DEVELOPMENT DISTRICT,S30,S,"225 CRUSE AVE, HELENA, MT, 59601-5087","(-112.043411, 46.5830498)"
NATUROPATHIC EDUCATION AND RESOUCRE CONSORTIUM INC,E60,E,"720 N 30TH ST, BILLINGS, MT, 59101-0913","(-108.51360614414199, 45.78626391500723)"
CENTRAL PLUMBING & HEATING INC VEBA TR,Y43,Y,"3701 RIVER DR N, GREAT FALLS, MT, 59405-0903","(-111.222913, 47.520254)"
KILKENNY CORP,L22,L,"3900 GALWAY, MISSOULA, MT, 59808-1940","(-114.046772, 46.891754)"
DOMESTIC AND SEXUAL VIOLENCE SERVICES OF CARBON COUNTY,P43,P,"1119 S BROADWAY AVE, RED LODGE, MT, 59068-9517","(-109.2496161, 45.1754187)"
MONFORTON SCHOOL FOUNDATION,B11,B,"6001 MONFORTON SCHOOL RD, BOZEMAN, MT, 59718-8136","(-111.17040836021164, 45.6757389)"
MONTANA BUSINESS LEADERSHIP COUNCIL,S41,S,"318 E 6TH AVE, HELENA, MT, 59601-4027","(-112.03449402040816, 46.587456591836734)"
MONTANA MUSEUM OF RAILROAD HISTORY,A80,A,"400 3RD ST NW, GREAT FALLS, MT, 59404-4131","(-111.316632, 47.5077465)"
COTTONWOOD PARK CHARITABLE SUPPORTING CORPORATION,N113,N,"3521 TOMMY ARMOUR CIR, BILLINGS, MT, 59106-1048","(-108.66030099617575, 45.809306022820806)"
COMMUNITY OUTDOOR RECREATION ASSOCIATION,N70,N,"304 S 9TH AVE, BOZEMAN, MT, 59715-4308","(-111.04921144897959, 45.67612751020408)"
ANACONDA COALITION FOR TOLERANCE EDUCATION,R20,R,"407 BALSAM ST, ANACONDA, MT, 59711-1778","(-112.98131221152794, 46.13528534685006)"
CLARK FORK COMMONS INC,L80,L,"1500 BURNS ST, MISSOULA, MT, 59802-1988","(-114.01524234343434, 46.885507232323235)"
ISLAMIC CENTER OF BOZEMAN INCORPORATED,X40,X,"301 N 15TH AVE, BOZEMAN, MT, 59715-3239","(-111.057055, 45.682265)"
UNITED STATES BOWLING CONGRESS INC,N70,N,"1812 E RIVER RD, LIVINGSTON, MT, 59047-8746","(-77.9759005, 42.6159419)"
COMMUNITY CRISIS CENTER LLC,E20,E,"704 N 30TH ST, BILLINGS, MT, 59101-0913","(-108.51349710650021, 45.786156106500215)"
MONTANA AMATUER SPEED SKATING ASSOCIATION,N68,N,"17 WELLS ST, BUTTE, MT, 59701-8448","(-112.53442536224658, 46.02461346789442)"
BETHANY CHRISTIAN FELLOWSHIP,X20,X,"8885 DANFORD AVE, BILLINGS, MT, 59101-6142","(-108.6399337, 45.7121667)"
UNITED STATES BOWLING CONGRESS INC,N70,N,"1299 WICKS LN, BILLINGS, MT, 59105-4417","(-108.45245293815984, 45.82750070861462)"
COMMUNITY CLOSET INC,J32,J,"416 E PARK ST, LIVINGSTON, MT, 59047-2755","(-110.55733560511345, 45.664336260540594)"
RAF AUXILIARY FOUNDATION,N11,N,"1711 W COLLEGE ST, BOZEMAN, MT, 59715-4913","(-111.06085462502428, 45.67141875)"
MEADOWS MONTESSORI SCHOOL,B20,B,"11787 GOPHER DR, MISSOULA, MT, 59808-8576","(-114.1092735888592, 46.98420899961027)"
LIVINGSTON FOOD PANTRY OF PARK COUNTY,K31,K,"202 S 2ND ST, LIVINGSTON, MT, 59047-3002","(-110.56001891732144, 45.65961518628135)"
UNITED STATES BOWLING CONGRESS INC,N70,N,"102 OAK ST, GLENDIVE, MT, 59330-2833","(-104.69492881461908, 47.11265065556213)"
SUMMIT MEDICAL FITNESS CENTER,E70,E,"310 SUNNYVIEW LN, KALISPELL, MT, 59901-3129","(-114.32354388291623, 48.21449665)"
DRUMLUMMON INSTITUTE,A20,A,"514 CLARKE ST, HELENA, MT, 59601-6228","(-112.04576199566634, 46.589771698379224)"
THE BOOJUM CHARITABLE FUND INC,E30,E,"1178 YELLOWSTONE AVE, BOZEMAN, MT, 59718-6122","(-111.08828808163265, 45.69208455102041)"
REPRESENTATIVE PAYEE SERVICES,P51,P,"5745 GLASS DR, HELENA, MT, 59602-9561","(-111.99953687096775, 46.71316248387097)"
MONTANA 4-H FOUNDATION INC,O52,O,"903 BLACK AVE, BOZEMAN, MT, 59715-0000","(-111.03544485, 45.69000615)"
THE PRBB FOUNDATION,T22,T,"9443 COTTONWOOD RD, BOZEMAN, MT, 59718-8966","(-111.1041312, 45.6679791)"
MISSOULA YOUTH TRACK CLUB,N60,N,"3309 BROOKS ST, MISSOULA, MT, 59801-8249","(-114.02990459090908, 46.840430409090914)"
UNIFIED BOATERS OF CANYON FERRY INC,C27,C,"1431 FLOWERREE ST, HELENA, MT, 59601-6025","(-112.05992302040816, 46.59796755102041)"
ANACONDA RAILROAD AND MINING MUSEUMINC,A54,A,"518 HICKORY ST, ANACONDA, MT, 59711-2919","(-112.95565926999298, 46.12633938345925)"
RICHLAND COUNTY PUBLIC LIBRARIESFOUNDATION INC,T11,T,"121 3RD AVE NW, SIDNEY, MT, 59270-4025","(-104.15947644486961, 47.71678452831635)"
UNITED STATES BOWLING CONGRESS INC,N70,N,"1206 W 12TH STREET CIR, LAUREL, MT, 59044-9649","(-108.78129688265393, 45.682953203990216)"
ROCKY MOUNTAIN ELK FOUNATION INC,D300,D,"5705 GRANT CREEK RD, MISSOULA, MT, 59808-9394","(-114.032002, 46.917483)"
NORTHWEST MONTANA WEDDING & EVENTPROFESSIONALS,S40,S,"118 MAIN ST, KALISPELL, MT, 59901-4452","(-114.3149406770394, 48.20139123228717)"
UNITED STATES BOWLING CONGRESS INC,N70,N,"3024 ELDORA LN, MISSOULA, MT, 59803-2809","(-114.05644255102041, 46.813787530612245)"
TOASTMASTERS INTERNATIONAL,N500,N,"218 PARK DR, KALISPELL, MT, 59901-2922","(-114.29835, 48.202552)"
ANNE K TAYLOR FUND,D30,D,"2724 ARVIN RD, BILLINGS, MT, 59102-1508","(-108.5762731217605, 45.7968746851721)"
ANIMEALS,D20,D,"1700 RANKIN ST, MISSOULA, MT, 59808-1630","(-114.029613, 46.888162)"
NORTHEAST MONTANA STAT AIR AMBULANCE COOPERATIVE,T990,T,"81 AIRPORT RD, GLASGOW, MT, 59230-2842","(-106.61399600141283, 48.20466922039142)"
YELLOWSTONE NATURE CONNECTION,M20,M,"10 YELLOWSTONE AVE, W YELLOWSTONE, MT, 59758-9510","(-111.09771975, 44.6586035)"
UNITED STATES BOWLING CONGRESS INC,N70,N,"314 N FEE ST, HELENA, MT, 59601-4879","(-112.00544685714286, 46.587140857142856)"
UNITED STATES BOWLING CONGRESS INC,N70,N,"1006 8TH AVE S, GREAT FALLS, MT, 59405-2132","(-111.29016018410472, 47.49637449202488)"
YSC FOUNDATION INC,S30,S,"239 FIREHOLE AVE, WEST YELLOWSTONE, MT, 59758-0000","(-111.10375314285714, 44.6623441632653)"
US FUND FOR DAISY,P128,P,"1203 PINEVIEW DR, MISSOULA, MT, 59802-3240","(-113.96719487755102, 46.89119308163266)"
UNITED STATES BOWLING CONGRESS INC,N70,N,"202 SANDERS AVE, BOZEMAN, MT, 59718-6275","(-111.09157161616162, 45.68169526262626)"
BELGIAN SHEEPDOG RESCUE TRUST,D20,D,"911 3RD ST W, BILLINGS, MT, 59101-1708","(-108.52279901903361, 45.779318797940796)"
MORNINGSTAR LEARNING CENTER INC,B21,B,"659 SPRUCE CONE DRIVE, BIG SKY, MT, 59716-0000","(-111.32243247417448, 45.25280875336499)"
HARLEY OWNERS GROUP - BIG SKYCHAPTER INC,N50,N,"4258 10TH AVE S, GREAT FALLS, MT, 59405-5622","(-111.2385610201005, 47.49380420603015)"
ENVISION BUTTE INC,A56,A,"1000 GEORGE ST, BUTTE, MT, 59701-7901","(-112.521707, 45.996714)"
DESIGN COMMUNICATION ASSOCIATIONINC,U41,U,"702 S 14TH AVE, BOZEMAN, MT, 59715-4230","(-111.05583144897959, 45.67218316326531)"
FRONTIER CONFERENCE,N99,N,"966 COLORADO AVE, WHITEFISH, MT, 59937-3413","(-114.33702958470491, 48.42647474087935)"
