NAME,NTEE_CD,Category,Location,lat_lon
EDUCATIONAL PARTNERS INTERNATIONAL,B99,B,"151 PRESTWOOD LN, MOORESVILLE, NC, 28117-7516","(-80.8779491, 35.5209616)"
PENINSULA COMMUNITY FOUNDATION,T31,T,"19101 PENINSULA CLUB DR, CORNELIUS, NC, 28031-5123","(-80.91599020374943, 35.4692856)"
GREATER METROPOLITAN RESTORATION CENTER,X20,X,"900 16TH ST, GREENSBORO, NC, 27405-4810","(-79.778262, 36.109089)"
ALAMANCE CHURCH OF CHRIST,X20,X,"342 MAPLE AVE, BURLINGTON, NC, 27215-5851","(-79.43626859489197, 36.090466856967836)"
TEES CHAPEL FWB CHURCH,X21,X,"6434 BROGDEN RD, SMITHFIELD, NC, 27577-7755","(-78.3511999, 35.5004317)"
RADIOTHERAPY SERVICE ENGINEERS ASSOCIATION,J03,J,"713 DOROTHEA DR, RALEIGH, NC, 27603-2103","(-78.65072600632456, 35.7713218014259)"
CAMDEN FOOD PANTRY,K31,K,"124 PINE ST, CAMDEN, NC, 27921-6922","(-76.17037047614373, 36.31432796862192)"
AMERICAN INDIAN MOTHERS INC,P20,P,"120 S MAIN ST, RED SPRINGS, NC, 28377-1512","(-79.1844806, 34.8094839)"
ANOINTED HANDS MINISTRIES INC,X20,X,"1927 MURRAYHILL RD, GREENSBORO, NC, 27403-3726","(-79.81886653160866, 36.04295705629897)"
SPIRIT FILLED FAMILY WORSHIP CENTER,X21,X,"109 W ASH ST, GOLDSBORO, NC, 27530-3614","(-77.99650429778157, 35.385947942223304)"
IGLESIA ROCA DE SALVACION,X20,X,"511 N SELLARS MILL RD, BURLINGTON, NC, 27217-3137","(-79.3940708836302, 36.101434352261975)"
MACEDONIA FAMILY RESOURCE CENTER INC,P28,P,"1225 CHESTNUT DR, HIGH POINT, NC, 27262-4666","(-80.03017320669345, 35.95534234418845)"
DEEP RIVER CHURCH OF CHRIST,X212,X,"2067 DEEP RIVER RD, HIGH POINT, NC, 27265-9670","(-79.97456684375, 36.011555718749996)"
SOCIETY FOR PRESERVATION & ENCOURMT OF BARBERSHOP QUARTET SINGING AMER,A6BO,A,"304 LINWOOD DR, JACKSONVILLE, NC, 28546-4724","(-77.42167421852366, 34.79373872937105)"
GIARLA AND MICHELSON CHARITABLE FOUNDATION,T90,T,"4324 TRENTON RD, CHAPEL HILL, NC, 27517-7833","(-78.9778493, 35.9284649)"
FREEDOM S WAY MINISTRIES INC,X21,X,"1952 DAWSON ST, WILMINGTON, NC, 28403-2331","(-77.92088392594424, 34.22622578763059)"
REUNITE CULTURES FUND,A68,A,"7920 LAGENARIA DR, ANGIER, NC, 27501-5503","(-78.7555945, 35.542133)"
COLUMBUS COUNTY HOSPITAL FOUNDATION INC,E11,E,"500 JEFFERSON ST, WHITEVILLE, NC, 28472-3634","(-78.69448854681553, 34.33749125)"
I BELIEVE GOD OUTREACH CHURCH,X20,X,"90 THOMAS RD, HENDERSON, NC, 27537-8566","(-82.505108, 35.2627294)"
NCCU REAL ESTATE FOUNDATION INC,B114,B,"1801 FAYETTEVILLE ST, DURHAM, NC, 27707-3129","(-78.8975702, 35.9858379)"
METROPOLITAN INTERDENOMINATIONAL CHURCH OF GOD,X21,X,"118 W MAIN ST, AULANDER, NC, 27805-9742","(-77.1144140554575, 36.22936530329822)"
YE BON PRESBYTERIAN CHURCH INC,X21,X,"5008 PINEVILLE MATTHEWS RD, CHARLOTTE, NC, 28226-3289","(-80.80551541579733, 35.09016791541263)"
ROSENWALD CENTER FOR CULTURAL ENRICHMENT,A80,A,"712, SNOW HILL, NC, 28580-0000","(-77.6810859, 35.4515504)"
EDUCATIONAL RESEARCH GROUP,I20,I,"6417 FILLIAN LN, CHARLOTTE, NC, 28269-7165","(-80.75123847706568, 35.37358630893073)"
RS AND TC JERVAY FOUNDATION INC,A20,A,"412 S 7TH ST, WILMINGTON, NC, 28401-5214","(-77.94015069387756, 34.23071534693877)"
EDWARD M ARMFIELD SR CIVIC AND RECREATION INC,N31,N,"873 W 52 BYP, PILOT MTN, NC, 27041-7396","(-80.473355, 36.393526)"
AFRICAN AMERICAN CULTURAL CENTER IN HICKORY NORTH CAROLINA,A20,A,"2047 36TH AVE NE, HICKORY, NC, 28601-8265","(-81.313644, 35.778423)"
