NAME,NTEE_CD,Category,Location,lat_lon
STATE RISK AND INSURANCE MANAGEMENT ASSOCIATION,W03,W,"547 S 7TH ST SUITE 184, BISMARCK, ND, 58504-5859","(-100.783739, 46.808327)"
BLUE KNIGHTS,Y42,Y,"PO BOX 12462, GRAND FORKS, ND, 58208-2462","(-97.0592028, 47.9078244)"
SAINT GIANNAS HOME INC,P40,P,"15605 COUNTY ROAD 15, MINTO, ND, 58261-9476","(-97.3714652, 48.2916547)"
MINOT COMMUNITY FOUNDATION,S20,S,"606 BURDICK EXPRESSWAY W STE A, MINOT, ND, 58701-4218","(-101.296273, 48.23251)"
NATIONAL FEDERATION OF MUSIC CLUBS,A68,A,"8651 48TH ST NE, DEVILS LAKE, ND, 58301-9558","(-98.86512, 48.112779)"
FOUNDATION FOR LIFE ENRICHMENT INC,B99,B,"PO BOX 628, STANLEY, ND, 58784-0628","(-102.390452, 48.317241)"
LITCHVILLE COMMUNITY CENTER INC,P28,P,"5739 110TH AVE SE, LITCHVILLE, ND, 58461-9628","(-98.194262, 46.65359)"
GRAND FORKS DOG TRAINING CLUB INC,D61,D,"707 22ND AVE S, GRAND FORKS, ND, 58201-6943","(-97.03607067346938, 47.898677816326526)"
FIRE AND IRON MOTORCYCLE CLUB,B12,B,"906 6TH ST NE, DEVILS LAKE, ND, 58301-6202","(-98.85270603657833, 48.113680741465934)"
NORTHWEST LANDOWNERS ASSOCIATION,S41,S,"6050 OLD HIGHWAY 2, BERTHOLD, ND, 58718-9007","(-101.737108, 48.313069)"
GLENBURN SENIOR CITIZENS INC,S21,S,"PO BOX 124, GLENBURN, ND, 58740-0124","(-101.220714, 48.513074)"
INDO-AMERICAN ASSOCIATION OF GREAT PLAINS,A20,A,"3120Z 25TH STREET S 211, FARGO, ND, 58103-5054","(-96.789821, 46.877229)"
FRIENDS OF THE KINDRED PUBLIC LIBRARY,B11,B,"PO BOX 63, KINDRED, ND, 58051-0063","(-97.017032, 46.648578)"
CANDO AREA FOOD PANTRY,K31,K,"304 5TH AVE, CANDO, ND, 58324-7712","(-99.20378216326532, 48.49173526530612)"
BERTHOLD SPORTSMEN CLUB INC,C30,C,"PO BOX 65, BERTHOLD, ND, 58718-0065","(-101.737108, 48.313069)"
UNITED STATES BOWLING CONGRESS INC,N70,N,"204 1ST AVE S, NEW ROCKFORD, ND, 58356-1808","(-99.12750889886443, 47.679188)"
MARION FIRE DEPARTMENT,M24,M,"PO BOX 9, MARION, ND, 58466-0009","(-98.332316, 46.607201)"
FRIENDS OF THE DAKOTA PRAIRIE TRAIL,N32,N,"PO BOX 70, ELLENDALE, ND, 58436-0070","(-98.527046, 46.00275)"
SPIRIT ROOM,A99,A,"111 BROADWAY N, FARGO, ND, 58102-4925","(-96.78756610204081, 46.87714430612245)"
GREATER FAITH MINISTRIES INC,X20,X,"2204 LANDMARK CIR NW, MINOT, ND, 58703-1895","(-101.296273, 48.23251)"
ASSOCIATION FOR PROFESSIONALS IN INFECTION CTRL & EPIDEMIOLOGY INC,E72C,E,"701 3RD ST NW, JAMESTOWN, ND, 58401-2963","(-98.7166085, 46.9104)"
COMMUNITY CHRISTIAN COUNSELING CENTER INC,X20,X,"202 10TH ST NW, HAZEN, ND, 58545-4852","(-101.62714150483751, 47.3027801285536)"
ROUGH RIDER SNOWMOBILE ASSN INC,N68,N,"PO BOX 4162, BISMARCK, ND, 58502-4162","(-100.783739, 46.808327)"
BIRDING DRIVES DAKOTA,P20,P,"871 MAIN ST, CARRINGTON, ND, 58421-1257","(-99.12433871428571, 47.449622285714284)"
EVANGELICAL BIBLE CHURCH,X20,X,"2891 5TH AVE W, DICKINSON, ND, 58601-2629","(-102.791715, 46.91198271428571)"
UNITED STATES BOWLING CONGRESS INC,N70,N,"PO BOX 1436, JAMESTOWN, ND, 58402-1436","(-98.708436, 46.910544)"
ACTION AGILITY DOG TRAINING CLUB,D61,D,"5300 19TH AVE NW, MINOT, ND, 58703-8726","(-101.3231025, 48.2559447)"
MATT AND JOANN BUTLER FOUNDATION,T22,T,"7606 40TH AVE N, FARGO, ND, 58102-6604","(-96.8469891, 46.9341061)"
SUSTAINABLE DEVELOPMENT FOR THE UNDER PRIVILEGED INC,E70,E,"116 OAK RIDGE PL, PARK RIVER, ND, 58270-5101","(-97.7411999, 48.3986043)"
SAINT ANTHONY CEMETARY PERPETUAL CARE FUND,Y50,Y,"7549 60TH AVE NW, DONNYBROOK, ND, 58734-9501","(-101.8851618, 48.509465)"
DAKOTA STAR GYMNASTICS,N60,N,"2600 48TH AVE SE, MANDAN, ND, 58554-0000","(-100.889704, 46.826415)"
RE ARENA INC,B99,B,"ONE RALPH ENGELSTAD DRIVE, GRAND FORKS, ND, 58203-0000","(-97.0592028, 47.9078244)"
CROSBY COUNTRY CLUB,N50,N,"PO BOX 628, CROSBY, ND, 58730-0628","(-103.29491, 48.9142)"
COAL COUNTRY COMMUNITY HEALTH CENTER,E20,E,"1312 HIGHWAY 49 N, BEULAH, ND, 58523-6038","(-101.784842, 47.283021)"
NORTH DAKOTA FARMERS UNION EDUCATIONAL FOUNDATION,K11,K,"1415 12TH AVE SE, JAMESTOWN, ND, 58401-5956","(-98.69141402174115, 46.8964364992849)"
TRUE LIGHT BROADCASTING INC,X84,X,"PO BOX 1346, MINOT, ND, 58702-1346","(-101.296273, 48.23251)"
PRAIRIE PAWS RESCUE,D20,D,"PO BOX 1114, JAMESTOWN, ND, 58402-1114","(-98.708436, 46.910544)"
ARDOCH CEMETERY ASSOCIATION,Y50,Y,"524 NORTH 17TH STREET 6, GRAND FORKS, ND, 58203-3085","(-97.0592028, 47.9078244)"
JOSHUAS TREE HOUSE,L41,L,"6 W BROADWAY, WILLISTON, ND, 58801-6015","(-103.62206074330584, 48.14660839489323)"
LINTON HOSPITAL FOUNDATION,E112,E,"502 BROADWAY ST N, LINTON, ND, 58552-7307","(-100.232892, 46.266657)"
UND ARENA SERVICES INC,B99,B,"1 RALPH ENGELSTAD ARENA DR, GRAND FORKS, ND, 58203-2205","(-97.0592028, 47.9078244)"
NORTH STARS YOUTH HOCKEY ASSOCIATION INC,N68,N,"PO BOX 54, GRAFTON, ND, 58237-0054","(-97.410634, 48.4122108)"
CHRISTINE COMMUNITY CENTER,S20,S,"PO BOX 1271, CHRISTINE, ND, 58015-1271","(-96.8063238, 46.57381)"
UNITED STATES BOWLING CONGRESS INC,N70,N,"100 4TH ST N, ELLENDALE, ND, 58436-7502","(-98.527125, 46.005477)"
ICE COLD RYDERS MC,T12,T,"1816 2ND AVE NW, MINOT, ND, 58703-2904","(-101.32139765116278, 48.238338)"
MOTT VOLUNTEER FIRE BRIGADE,M24,M,"301 E 5TH ST, MOTT, ND, 58646-7287","(-102.32344687438498, 46.3756438)"
CHINESE CHRISTIAN MINISTRY,P20,P,"1011 12TH AVE N, FARGO, ND, 58102-3527","(-96.79438454310517, 46.89065745)"
MINOT OPERATION WARMHEART,W30,W,"PO BOX 8030, MINOT AFB, ND, 58704-0000","(-101.33720953659139, 48.420010950000005)"
SOUTHEAST BAPTIST CHURCH,X20,X,"8363 HIGHWAY 1, OAKES, ND, 58474-9722","(-98.0905519, 46.1474565)"
BCTGM LOCAL UNION 167G,S46,S,"100 N 3RD ST, GRAND FORKS, ND, 58203-3740","(-97.031763, 47.926066)"
UNDERWOOD ND SCHOOL FOUNDATION,B11,B,"PO BOX 373, UNDERWOOD, ND, 58576-0373","(-101.137096, 47.456386)"
NORTH DAKOTA FRIENDS OF DEAF CHILDREN FOUNDATION INC,G42,G,"1401 COLLEGE DR N, DEVILS LAKE, ND, 58301-1509","(-98.86569641114433, 48.12376749863273)"
MUNICIPAL GOVERNMENT ACADEMY OF NORTH DAKOTA,B60,B,"410 E FRONT AVE, BISMARCK, ND, 58504-5641","(-100.78602987026939, 46.80425311190582)"
ASSOCIATED GENERAL CONTRACTORS OF NORTH DAKOTA EMPLOYEE BENEFIT TRUS,Y43,Y,"422 N 2ND ST, BISMARCK, ND, 58501-3826","(-100.78924395918368, 46.80889626530612)"
KEENE VOLUNTEER FIRE DEPARTMENT,M24,M,"223 MAIN ST, KEENE, ND, 58847-9403","(-102.94156404697642, 47.930080213244935)"
NISC FOUNDATION,T30,T,"3201 NYGREN DR NW, MANDAN, ND, 58554-1480","(-100.9244866, 46.8534256)"
INTERNATIONAL COMITY FOR CHANGE IN AFRICA ICCA,Q30,Q,"213 23RD AVE N, FARGO, ND, 58102-2028","(-96.78101706122449, 46.908301)"
IMPACT FOUNDATION,T50,T,"4141 28TH AVE S, FARGO, ND, 58104-8468","(-96.85000000000001, 46.83836491836735)"
FRIENDS OF THE GRAND FORKS PUBLIC LIBRARY,B127,B,"2110 LIBRARY CIR, GRAND FORKS, ND, 58201-6324","(-97.049641, 47.897144)"
HIGHER GROUNDS CHRISTIAN FELLOWSHIP,X20,X,"400 MAIN ST N, MINOT, ND, 58703-2422","(-101.292207, 48.240164)"
DAKOTA WOOD TURNERS,A20,A,"PO BOX 243, BISMARCK, ND, 58502-0243","(-100.783739, 46.808327)"
JAMESTOWN SERTOMA CLUB,T30,T,"PO BOX 1391, JAMESTOWN, ND, 58402-1391","(-98.708436, 46.910544)"
RED RIVER CHILDRENS ADVOCACY CENTER,O19,O,"100 4TH ST S STE 302, FARGO, ND, 58103-1937","(-96.789821, 46.877229)"
DOGTOOTH ANTIQUE TRACTOR CLUB,A99,A,"417 CHURCH ST, FLASHER, ND, 58535-7103","(-101.23348980646328, 46.45667750411905)"
FUTURE FARMERS OF AMERICA AND ITS STATE ASSOCIATES & LOCAL CHAPTER,O52Z,O,"7775 COUNTY ROAD 3, BARNEY, ND, 58008-9626","(-97.000401, 46.263049)"
PINNACLE FAMILY MEDICINE FOUNDATION,E60,E,"4141 28TH AVE S, FARGO, ND, 58104-8468","(-96.85000000000001, 46.83836491836735)"
NATHAN A COBB NEMATOLOGY FOUNDATION,U30,U,"1402 ALBRECHT BLVD WALSTER HALL 306, FARGO, ND, 58105-5713","(-96.789821, 46.877229)"
EDEN LUTHERAN CEMETERY,Y50,Y,"2895 57TH AVE NE, SHEYENNE, ND, 58374-9015","(-99.120122, 47.828054)"
ZAP SPORTSMAN CLUB,N50,N,"PO BOX 21, ZAP, ND, 58580-0021","(-101.92267, 47.286397)"
PARK RIVER VOLUNTEER FIRE DEPARTMENT,M24,M,"PO BOX 297, PARK RIVER, ND, 58270-0297","(-97.7411999, 48.3986043)"
CASSELTON HERITAGE CENTER INC,A80,A,"PO BOX 802, CASSELTON, ND, 58012-0802","(-97.2112, 46.900529)"
CALVARY CHAPEL FARGO,X21,X,"2796 5TH AVE S STE A, FARGO, ND, 58103-8737","(-96.789821, 46.877229)"
WESTEND TERZETTOS,L20,L,"1405 1ST AVE N, GRAND FORKS, ND, 58203-3484","(-97.04668357142857, 47.920049285714285)"
REAL LIFE CHURCH INTERNATIONAL,X20,X,"1106 S 17TH ST, GRAND FORKS, ND, 58201-5104","(-97.05123330612244, 47.9110811632653)"
NORTHERN PLAINS HERITAGE FOUNDATION,A80,A,"1700 RIVER RD, BISMARCK, ND, 58503-9012","(-100.828369, 46.823922)"
ACHIEVEMENT UNLIMITED FOUNDATION,S129,S,"4141 28TH AVE S, FARGO, ND, 58104-8468","(-96.85000000000001, 46.83836491836735)"
WILLIAM C PTACEK SCHOLARSHIP FOUNDATION,B82,B,"11340 81ST ST SE, OAKES, ND, 58474-9767","(-98.090379, 46.138579)"
SICK BASTARDS MOTORCYCLE CLUB INC,N50,N,"PO BOX 534, DICKINSON, ND, 58602-0534","(-102.7896242, 46.8791756)"
INTERNATIONAL ASSOCIATION OF LIONS CLUBS,S80,S,"9006 134TH AVE SW, SCRANTON, ND, 58653-9244","(-103.1429501, 46.1480618)"
LIFE FELLOWSHIP INC,X20,X,"1224 2ND ST E, WEST FARGO, ND, 58078-3048","(-96.898121, 46.8628335)"
FIRST NATIONS INNOVATIONS,P40,P,"PO BOX 1468, NEW TOWN, ND, 58763-1468","(-102.49018, 47.980848)"
NORTH DAKOTA TRAUMA FOUNDATION,E60,E,"1622 E INTERSTATE AVE STE A, BISMARCK, ND, 58503-0512","(-100.783739, 46.808327)"
EAST TIMOR EDUCATION FOUNDATION,B94,B,"PO BOX 96, STREETER, ND, 58483-0096","(-99.3561501, 46.65807)"
NORTH DAKOTA UKRAINIAN DANCE ASSOCIATION,N99,N,"PO BOX 25, DICKINSON, ND, 58602-0025","(-102.7896242, 46.8791756)"
OREOS ANIMAL RESCUE,P20,P,"93 21ST ST E, DICKINSON, ND, 58601-3252","(-102.78380430238488, 46.90494561610933)"
RENEWED MINISTRIES INCORPORATED,X20,X,"934 N 31ST ST, BISMARCK, ND, 58501-3209","(-100.74617478500446, 46.81408622341294)"
GRACE CORPORATION,X20,X,"3216 25TH ST NW, MAX, ND, 58759-9452","(-101.2755149, 47.7743304)"
NORTH DAKOTA FIREFIGHTERS MUSEUM,A50,A,"PO BOX 1000, GARRISON, ND, 58540-1000","(-101.415717, 47.652223)"
UNITED STATES BOWLING CONGRESS INC,N70,N,"11672 35M ST SE, VALLEY CITY, ND, 58072-9522","(-98.003155, 46.923313)"
NORTH DAKOTA ASSOCIATION FOR PLAY THERAPY,F03,F,"3022 WALNUT ST, GRAND FORKS, ND, 58201-7484","(-97.032377, 47.891126852349)"
SONSHINE CENTER,P33,P,"PO BOX 27, CASSELTON, ND, 58012-0027","(-97.2112, 46.900529)"
MYSTIC ATHLETIC CLUB,B12,B,"BSC 1500 EDWARDS AVE, BISMARCK, ND, 58506-0000","(-100.783739, 46.808327)"
DAKOTA MARKSMANSHIP FOUNDATION INC,N60,N,"4931 81ST AVE NE, DEVILS LAKE, ND, 58301-9634","(-98.87609785898194, 48.126526001181276)"
TIN ROOF THEATRE COMPANY,A65,A,"4793 HARVEST DR S, FARGO, ND, 58104-4331","(-96.8755747271916, 46.80932452507322)"
FM ROTARY FOUNDATION,S20,S,"PO BOX 684, FARGO, ND, 58107-0684","(-96.789821, 46.877229)"
TNT KIDS FITNESS,N60,N,"2800 MAIN AVE, FARGO, ND, 58103-6818","(-96.82391120714286, 46.87614114285714)"
RED RIVER REGIONAL MARKSMANSHIP CENTER INC,N61,N,"640 16TH ST NE, WEST FARGO, ND, 58078-7212","(-96.900362, 46.874967)"
