NAME,NTEE_CD,Category,Location,lat_lon
OMAHA HOCKEY HALL OF FAME,T20,T,"3515 N 205TH ST, ELKHORN, NE, 68022-4715","(-96.23541263636363, 41.290177252525254)"
GREAT PLAINS CHAPTER OF ASSOCIATION OF CLINICAL RESEARCH PROFESSIONALS,B03,B,"15666 LAMP CIR, OMAHA, NE, 68118-2038","(-96.16185262738254, 41.256409445407485)"
HEARTLAND LUTHERAN HIGH SCHOOL FOUNDATION,B82,B,"3900 W HUSKER HWY, GRAND ISLAND, NE, 68803-6001","(-98.39502016437908, 40.88793811487826)"
ASHLAND DOG POUND FOUNDATION,D20,D,"305 N 16TH ST, ASHLAND, NE, 68003-1720","(-96.37083489795918, 41.041219857142856)"
GRETNA BOOSTER CLUB,B11,B,"920 VILLAGE SQ, GRETNA, NE, 68028-7854","(-96.23958061408477, 41.14641028726449)"
GRETNA POST PROM COMMITTEE,B94,B,"920 VILLAGE SQ, GRETNA, NE, 68028-7854","(-96.23958061408477, 41.14641028726449)"
PRAISE CHAPEL LINCOLN NEBRASKA,X20,X,"3500 N 11TH ST, LINCOLN, NE, 68521-2517","(-96.705831, 40.84668)"
NORFOLK ARTS CENTER,A200,A,"305 N 5TH ST, NORFOLK, NE, 68701-4092","(-97.41389261224491, 42.034526224489795)"
LINCOLN CHINESE CULTURAL ASSOCIATION,A23,A,"9305 RAVENWOOD LN, LINCOLN, NE, 68526-6003","(-96.59414997809019, 40.75658)"
BRUCE E AND DEBRA K GREWCOCK FOUNDATION,T22,T,"13421 HAMILTON ST, OMAHA, NE, 68154-5150","(-96.1187801, 41.2723372)"
PONCA ECONOMIC DEVELOPMENT CORPORATION,S30,S,"2756 O ST, LINCOLN, NE, 68510-1341","(-96.68125024610895, 40.8138108)"
DODGE CARES INC,P30,P,"501 N 148TH ST, OMAHA, NE, 68154-1909","(-96.14522, 41.266598)"
PAC2 CENTER,P33,P,"711 N COLORADO AVE, HASTINGS, NE, 68901-4462","(-98.38489338118298, 40.59002746074069)"
GERMAN AMERICAN HERITAGE MUSEUM OF OMAHA INC,A01,A,"3717 S 120TH ST, OMAHA, NE, 68144-4223","(-96.10062392307692, 41.22224076923077)"
