NAME,NTEE_CD,Category,Location,lat_lon
COE-BROWN NORTHWOOD ACADEMY,B84,B,"907 FIRST NH TURNPIKE, NORTHWOOD, NH, 03261-3201","(-71.208339250895, 43.219663600000004)"
GULF OF MAINE MARINE EDUCATION ASSOCIATION,B01,B,"8 JAMES FARM RD, LEE, NH, 03861-6528","(-70.9924820592998, 43.13323122461703)"
PORTER LAKE ASSOCIATION,C32,C,"5 COLLINS CT, PLAISTOW, NH, 03865-2555","(-71.0707470854026, 42.8299196066597)"
NEW ENGLAND ALPACA OWNERS & BREEDERS ASSOC,K26,K,"294 WALNUT ST, ROCHESTER, NH, 03867-4270","(-71.02702, 43.300025)"
GRANATE STATE SHETLAND SHEEPDOG CLUB OF SOUTHEAST NH INC,N50,N,"53 WADLEIGH POINT RD, KINGSTON, NH, 03848-3244","(-71.06659540214633, 42.9150205279022)"
THE SEACOAST DIVISION OF THE NMRA,T50,T,"1 ANNES LN, GREENLAND, NH, 03840-2201","(-70.824235, 43.044938)"
LYNCH FAM CHARITABLE FOUNDATION,T20,T,"2 WATCHTOWER RD, HOPKINTON, NH, 03229-2819","(-71.689123, 43.217054)"
COVERED BRIDGE AFFORDABLE HOUSING CORPORATION,L20,L,"62 WHITTIER ST, DOVER, NH, 03820-2946","(-70.89650032725434, 43.202092302329184)"
WHITE MOUNTAIN GATEWAY ECONOMIC DEVELOPMENT CORPORATION,S30,S,"579 TENNEY MTN HWY, PLYMOUTH, NH, 03264-3147","(-71.73717756841333, 43.77122090383111)"
DOVER HIGH SCHOOL BOYS BASKETBALL BOOSTERS,B19,B,"25 ALUMNI DR, DOVER, NH, 03820-4367","(-70.88658244642592, 43.17703899999999)"
FRIENDS OF THE MINOT SLEEPER LIBRARY,B11,B,"35 PLEASANT ST, BRISTOL, NH, 03222-3002","(-71.73788828252992, 43.590858850000004)"
MEDICAL MISSION EXCHANGE,E02,E,"24 COURTYARD, HANOVER, NH, 03755-1551","(-72.28828227976467, 43.7021371)"
NH THEATRE FACTORY,A65,A,"661 PINE STREET, MANCHESTER, NH, 03104-3994","(-71.46092262750273, 43.003001074928505)"
SEYMOUR OSMAN COMMUNITY CENTER AND YOUTH SAFE HAVEN,P30,P,"62 WHITTIER ST, DOVER, NH, 03820-2994","(-70.89650032725434, 43.202092302329184)"
MANCHESTER COMMUNITY RESOURCE CENTER INC,P20,P,"434 LAKE AVE, MANCHESTER, NH, 03103-4271","(-71.44605350692281, 42.9873822169855)"
