NAME,NTEE_CD,Category,Location,lat_lon
JANET H AND C HARRY KNOWLES FOUNDATION INC,P99,P,"1000 N CHURCH ST, MOORESTOWN, NJ, 08057-1764","(-74.96648754640346, 39.96981551203914)"
AMERICAN FRIENDS OF YESHIVAT HESDDER SDEROT INC,T30,T,"49 DAKOTA ST, PASSAIC, NJ, 07055-3331","(-74.13641956253134, 40.845224772097744)"
MOUNT EPHRAIM SENIOR HOUSING INITIATIVE INC,L22,L,"587 HADDON AVE, COLLINGSWOOD, NJ, 08108-1445","(-75.0665378, 39.9155599)"
HOLY RENAISSANCE MINISTRIES,X20,X,"39 KLINE RD, HILLSBOROUGH, NJ, 08844-4572","(-74.61335680853699, 40.52686653327617)"
LAND CONSERVANCY INC,C340,C,"27-41 HORSENECK ROAD, FAIRFIELD, NJ, 07004-2487","(-74.2967073, 40.8770702)"
CHRISTOPHER DINCUFF MEMORIAL FUND INC,B82,B,"36 NEW ST, SOUTH RIVER, NJ, 08882-2449","(-74.3807438, 40.434470999999995)"
BEERS ST SCHOOL PTO,B94,B,"610 BEERS ST, HAZLET, NJ, 07730-1405","(-74.1991995, 40.4153433)"
MOORESTOWN GARDEN CLUB,C42,C,"16 E MAIN ST, MOORESTOWN, NJ, 08057-3310","(-74.9460263005572, 39.96403361857443)"
TURNING POINT COMMUNITY SERVICES,L41,L,"1011 GROVE STREET, IRVINGTON, NJ, 07111-4221","(-74.22319034374999, 40.72427115625)"
LIGGETT BOULVARD INC,L121,L,"600 FIRST AVE, RARITAN, NJ, 08869-1346","(-74.638685, 40.574893)"
SPECIAL IMPROVEMENT DISTRICT OF NETCONG BOROUGH INC,S20,S,"23 MAPLE AVE, NETCONG, NJ, 07857-1105","(-74.70512458333333, 40.89882883333333)"
WILLIAMSTOWN HIGH SCHOOL PROJECT GRADUATION INC,B11,B,"700 N TUCKAHOE RD, WILLIAMSTOWN, NJ, 08094-3512","(-75.01045200850747, 39.6824881)"
MIDDLETOWN TOWNSHIP CULTURAL AND AR TS COUNCIL,A26,A,"36 CHURCH ST, MIDDLETOWN, NJ, 07748-2511","(-74.1170101, 40.3915737)"
PENNSVILLE WRESTLING ASSOCIATION,N60,N,"234 N BROADWAY, PENNSVILLE, NJ, 08070-1216","(-75.5070282, 39.6670933)"
UNITED STATES WAR DOGS ASSOCIATION INC,W30,W,"1313 MOUNT HOLLY RD, BURLINGTON, NJ, 08016-3733","(-74.8501219409833, 40.06037317591551)"
ASSEMBLEIA DE DEUS VIDA INC,X21,X,"167 CEDAR AVE, LONG BRANCH, NJ, 07740-5057","(-73.98983718604651, 40.2811431744186)"
MUSLIM AMERICAN COMMUNITY ASSOCIATION INC,X40,X,"15 WOODSTONE DR, VOORHEES, NJ, 08043-4735","(-74.94249880211211, 39.8320104)"
CLASSIC CORVETTE CLUB,N50,N,"31 BROOKWOOD DR, VOORHEES, NJ, 08043-4709","(-74.9377887, 39.8355354)"
ORPHAN SPONSORSHIP INTERNATIONAL,P30,P,"2 DEVON CT, ROBBINSVILLE, NJ, 08691-3101","(-74.636159, 40.230491)"
WEST PATERSON MEMORIAL HOME & SCHOOL ASSOCIATION INC,B94,B,"15 MEMORIAL DR, WOODLAND PARK, NJ, 07424-2514","(-74.20896395783723, 40.89161505)"
MILDRED HELMS PARK RESURRECTION COMMITTEE INC,C99,C,"13 MULFORD PL, NEWARK, NJ, 07112-1903","(-74.2144667, 40.7068383)"
BNOS RIVKA INC,X30,X,"1115 CROSS ST, LAKEWOOD, NJ, 08701-4008","(-74.224985, 40.057218)"
CENTRAL JERSEY LACROSSE INC,N64,N,"106 COACHMAN DR N, FREEHOLD, NJ, 07728-3153","(-74.2711149133489, 40.22351206447691)"
RIVERSIDE SCHOOL PARENT TEACHER ORGANIZATION INC,B94,B,"58 RIVERSIDE DR, PRINCETON, NJ, 08540-5425","(-74.631305, 40.3511)"
GGWANGA MUJJE NY-NJ INC,A23,A,"1006 PARK AVENUE, PLAINFIELD, NJ, 07060-3029","(-74.410665, 40.6109664)"
LAKEWOOD OUTREACH MINISTRY CHURCH,X21,X,"1331 VENTURA DR, LAKEWOOD, NJ, 08701-2262","(-74.16126701970364, 40.10663809718984)"
SANTISUKHA BUDDHIST MEDITATION CENTER INC,X50,X,"82 SEMEL AVE, GARFIELD, NJ, 07026-3741","(-74.118458, 40.88379905)"
TRI-ARC COMMUNITY DEVELOPMENT CORPORATION,S20,S,"218 PASSAIC ST, HACKENSACK, NJ, 07601-3525","(-74.04759994736843, 40.89430821052632)"
DDMBA NJ INC,X70,X,"56 VINEYARD RD, EDISON, NJ, 08817-4753","(-74.37723317699769, 40.519465249999996)"
COMBATT INC,N70,N,"1763 6TH ST, EWING, NJ, 08638-3005","(-74.75896545161291, 40.25014577419355)"
RESURRECTION COMMUNITY CHURCH,X21,X,"200 ATRIUM DR, SOMERSET, NJ, 08873-4103","(-74.519676, 40.535298)"
BRIDGEWATER JUNIOR PANTHERS INC,N68,N,"10 PRESIDENTS DR, BRIDGEWATER, NJ, 08807-6102","(-74.649897, 40.617323)"
