NAME,NTEE_CD,Category,Location,lat_lon
DESERT LIGHT CHRISTIAN CHURCH,X21,X,"541 UTAH ST NE, ALBUQUERQUE, NM, 87108-2491","(-106.5547753939394, 35.08253296969697)"
VOLUNTEER TASK FORCE INC,C34,C,"3100 ARIZONA AVE, LOS ALAMOS, NM, 87544-1516","(-106.31175852898639, 35.90417706073934)"
ENVIROLOGICAL SERVICES LLC,C32,C,"8109 WAVERLY DR NW, ALBUQUERQUE, NM, 87120-3811","(-106.69554490815413, 35.17508005201075)"
ROSWELL CHRISTIAN CENTER INC,X20,X,"109 E CHARLESTON RD, ROSWELL, NM, 88203-0803","(-104.52139530489195, 33.33636304870805)"
ELDORADO CHILDRENS THEATRE,A65,A,"13 MELADO DR, SANTA FE, NM, 87508-2255","(-105.9014413306067, 35.53764231308171)"
KNIGHTS OF COLUMBUS,Y42,Y,"1327 N MIRANDA ST, LAS CRUCES, NM, 88005-2055","(-106.79003797943162, 32.319838700000005)"
ART OF BIRTH AND WELLNESS AT LIVING TREE,E40,E,"1210 N MAIN ST, LAS CRUCES, NM, 88001-1102","(-106.78149123469387, 32.3194231122449)"
ORGYEN CHOLING,A23,A,"3212 22ND AVE SE, RIO RANCHO, NM, 87124-1683","(-106.67314488587473, 35.220164079324775)"
ALBUQUERQUE CITIZEN POLICE ACADEMY ALUMNI ASSOCIATION INC,B84,B,"5412 2ND ST NW, ALBUQUERQUE, NM, 87107-4012","(-106.6349371452495, 35.1365621)"
REAL WORLD ENLIGHTENMENT FOUNDATION,P50,P,"1505 LLANO STREET, SANTA FE, NM, 87505-2003","(-105.97567508558612, 35.66236720799442)"
DIAMOND LOTUS FOUNDATION INC,V35,V,"13 CALIMO CIR, SANTA FE, NM, 87505-8917","(-105.90370664105477, 35.59704817490292)"
CURT THOMAS SHECK FOUNDATION,T30,T,"3 GOLDEN FEATHER PL, SANTA FE, NM, 87508-1348","(-106.0132351, 35.595444549999996)"
DEPARTMENT OF NEW MEXICO VETERANS OF FOREIGN WARS OF THE US AUXILIAR,S81,S,"1411 E LINDA LN, HOBBS, NM, 88242-0563","(-103.11942071028037, 32.77557305607477)"
DEPARTMENT OF NEW MEXICO VETERANS OF FOREIGN WARS OF THE US AUXILIAR,S81,S,"1916 SAN JOSE BLVD, CARLSBAD, NM, 88220-5452","(-104.22852334999999, 32.400252550000005)"
LOS ALAMOS PUBLIC SCHOOLS FOUNDATION INC,B20,B,"1010 CENTRAL AVE, LOS ALAMOS, NM, 87544-3273","(-106.29593225242718, 35.881336475728155)"
TIBETAN ECOLOGY FOUNDATION,S31,S,"2129 CALLE TECOLOTE, SANTA FE, NM, 87505-5777","(-105.94270569297584, 35.64782875860591)"
SOUTH VALLEY FULL GOSPEL ANNOINTED CHURCH,X21,X,"433 GENERAL SOMERVELL ST NE, ALBUQUERQUE, NM, 87123-1149","(-106.54241324489796, 35.07873269387755)"
UNSER CHILDRENS DISCOVERY CENTER,A50,A,"7625 CENTRAL AVE NW, ALBUQUERQUE, NM, 87121-2115","(-106.7642988, 35.0678491)"
NEW MEXICO ALLIANCE FOR CHILDREN INC,B90,B,"3333 MARINO DR SE, RIO RANCHO, NM, 87124-2408","(-106.67074428753868, 35.247051051371486)"
21ST CENTURY PUBLIC ACADEMY FOUNDATION,B99,B,"4300 CUTLER AVE NE, ALBUQUERQUE, NM, 87110-3987","(-106.59917903348935, 35.105252750000005)"
CORKY CLARK JUNIOR GOLF FOUNDATION,N6A,N,"5815 TIERRA VIVA PL NW, ALBUQUERQUE, NM, 87107-5276","(-106.65474209949393, 35.144176333052584)"
LULLABY PROJECT INC,A68,A,"7 JESUS GONZALES RD, GLORIETA, NM, 87535-7014","(-105.79459751391245, 35.579539444693054)"
METAMORFOSIS DOCUMENTATION PROJECT INC,A31,A,"6 CAMINO DEL SOL, SANTA FE, NM, 87508-8146","(-105.92163036204276, 35.60781286214086)"
SANTA FE CANYON PRESERVATION,D30,D,"1714 CANYON RD, SANTA FE, NM, 87501-6140","(-105.89529572222222, 35.685991)"
HISPANIC-AMERICAN INSITUTE INC,P84,P,"1660 15TH AVE SE, RIO RANCHO, NM, 87124-6507","(-106.70430403899991, 35.231740221783)"
READYMADE DANCE THEATER COMPANY,A65,A,"4011 SILVER AVE SE, ALBUQUERQUE, NM, 87108-2643","(-106.59969324489796, 35.07837624489796)"
GUMBO FOUNDATION,T20,T,"347 E PALACE AVE, SANTA FE, NM, 87501-2275","(-105.9351665, 35.6869394)"
RAY OF HOPE FOUNDATION,T22,T,"1217 APACHE DR, SOCORRO, NM, 87801-4434","(-106.90818921721136, 34.06192830657844)"
