NAME,NTEE_CD,Category,Location,lat_lon
UNITED LOT OWNERS OF CAMBRIA,L50,L,"4217 JORY TRL, LAS VEGAS, NV, 89108-5210","(-115.2326268475937, 36.23607415555396)"
SECOND MISSIONARY BAPTIST CHURCH OF PAHRUMP,X21,X,"3651 HOMESTEAD RD, PAHRUMP, NV, 89048-6416","(-115.959330313253, 36.16529359036144)"
NEW DAY CHRISTIAN CHURCH INC,X20,X,"7948 CAPE BRETT ST, LAS VEGAS, NV, 89131-4602","(-115.27669067346939, 36.30543657142857)"
MISSIONARY CHURCH IN CHRIST,X990,X,"145 HUBBARD WAY, RENO, NV, 89502-3708","(-119.79731968687096, 39.499089227109614)"
MELLOWTONES BIG BAND INC,A99,A,"5205 CORAL GLOW CT, LAS VEGAS, NV, 89149-6415","(-115.26141472114722, 36.25590382938822)"
PRAYER CATHEDRAL INTERNATIONAL,X21,X,"4500 RED CIDER LN, LAS VEGAS, NV, 89130-5152","(-115.224671, 36.241661)"
AMATI FOUNDATION,A68,A,"8317 BROAD PEAK DR, LAS VEGAS, NV, 89131-4308","(-115.25932777169075, 36.311501322700245)"
THE LAS VEGAS CHAPTER OF THE SOCIETY INC,A23,A,"4104 CATHEDRAL FALLS AVE, N LAS VEGAS, NV, 89085-4470","(-115.19546411105475, 36.31281480879405)"
YOUTH CAMP EDUCATION,O50,O,"6782 HYLA ROMAN AVE, LAS VEGAS, NV, 89131-2247","(-115.24155256858349, 36.30202052472589)"
NORTHERN NEVADA REGIONAL ANIMAL CENTER,D20,D,"3624 COUNTY LINE RD, CARSON CITY, NV, 89703-9522","(-119.8057903391623, 39.20717735817408)"
CLARK COUNTY ARTISTS GUILD,A26,A,"3172 N RAINBOW BLVD, LAS VEGAS, NV, 89108-4534","(-115.24218466956279, 36.2178023740885)"
CLASSICAL MUSIC EDUCATION FOUNDATION,A99,A,"1003 PARADISE VIEW ST, HENDERSON, NV, 89052-3937","(-115.10379710223798, 35.991766264967815)"
MISSIONARY FAMILIES OF CHRIST NEVADA,X21,X,"7232 SILVER VALLEY ST, LAS VEGAS, NV, 89149-0100","(-115.30380126182556, 36.29287653898495)"
ST GEORGES ANGLICAN CHURCH,X20,X,"7676 W GILMORE AVE, LAS VEGAS, NV, 89129-2717","(-115.26227619347381, 36.2300822)"
CLIPPED WINGS UNITED AIRLINES STEWARDESS ALUMNAE INC,N117,N,"5512 JASPER BUTTE ST, LAS VEGAS, NV, 89130-3714","(-115.230129, 36.260457)"
GRACE TABERNACLE CHURCH OF GOD IN CHRIST,X21,X,"1286 COMMERCE ST, SPARKS, NV, 89431-0942","(-119.76319, 39.54495566666667)"
THE GIRLS GROUP,O19,O,"7731 GOLDEN FILLY ST, LAS VEGAS, NV, 89131-4683","(-115.27018371124151, 36.300831547662575)"
WOMEN IN FILM LAS VEGAS,A31,A,"9525 CHIANTI LN, LAS VEGAS, NV, 89117-3692","(-115.30360263567302, 36.14167789793044)"
NEW MERCY FAITH MINISTRY,X21,X,"5824 WHISPER BLUFF, NORTH LAS VEGAS, NV, 89031-0000","(-115.1668297, 36.2588001)"
VIRGIN VALLEY ARTISTS ASSOCIATION,A51,A,"15 W MESQUITE BLVD, MESQUITE, NV, 89027-4754","(-114.06837499708145, 36.80409483938673)"
PEACEMAKERS INC,I126,I,"3050 VAN LN, PAHRUMP, NV, 89048-5266","(-116.06847677510041, 36.200537096385546)"
SHEKINAH GLORY MINISTRIES,X21,X,"2451 EAGLE HARBOR DR, HENDERSON, NV, 89052-7135","(-115.09289426230919, 35.94978819325171)"
GREATER FAITH BAPTIST CHURCH,X21,X,"2736 CHAMBERLAIN LN, N LAS VEGAS, NV, 89032-3623","(-115.17483844497005, 36.209188420041535)"
TRIED STONE MISSIONARY BAPTIST CHURCH,X21,X,"621 W CAREY AVE, N LAS VEGAS, NV, 89030-3877","(-115.14949309461961, 36.20301351521631)"
APOSTOLATE FOR HOLY RELICS,A80,A,"1164 MOHAVE DR, MESQUITE, NV, 89027-2600","(-114.05047497508178, 36.828660098916274)"
THAI CHRISTIAN MISSIONARY CHURCH,X21,X,"3928 BUCHNER LN, N LAS VEGAS, NV, 89032-0413","(-115.18143554923167, 36.23036550827627)"
INTERNATIONAL REMOTE VIEWING ASSOCIATION,A03,A,"1805 N CARSON ST, CARSON CITY, NV, 89701-1216","(-119.76679741176471, 39.17510809803921)"
UNITED STATES BOWLING CONGRESS INC,N70,N,"94 TUCKER LN, YERINGTON, NV, 89447-2818","(-119.14448603613644, 39.013222428758915)"
WILENSKY FOUNDATION,T22,T,"100 E GLENDALE AVE, SPARKS, NV, 89431-5815","(-119.74108426580017, 39.527541876047316)"
IGLESIA EVANGELICA NUEVA JERUSALEN DE LAS ASAMBLEAS DE DIOS,X21,X,"2727 CIVIC CENTER DR, N LAS VEGAS, NV, 89030-5468","(-115.12117149772276, 36.2090122753703)"
NEW BEGINNINGS CHURCH,X20,X,"420 HARRISON AVE, LAS VEGAS, NV, 89106-3015","(-115.14754025479648, 36.18808871692898)"
ISRAEL AIR FORCE CENTER FOUNDATION INC,Q05,Q,"4089 GENOA DR, LAS VEGAS, NV, 89141-4233","(-115.194047, 35.995615)"
THE CARINE & JACQUES DUBOIS FAMILY FOUNDATION,T20,T,"55 QUINTESSA CIR, LAS VEGAS, NV, 89141-6054","(-115.19291851058986, 35.979131929548466)"
CHILDRENS HOPE FOR THE FUTURE INC,B80,B,"112 N CURRY ST, CARSON CITY, NV, 89703-4934","(-119.7678389, 39.1677928)"
