NAME,NTEE_CD,Category,Location,lat_lon
FAIRFIELD CHILD DEVELOPMENT CENTER,B21,B,"140 DONALD DR, FAIRFIELD, OH, 45014-3005","(-84.53375130136428, 39.343371978077386)"
FG FOUNDATION,T20,T,"1234 E BROAD ST, COLUMBUS, OH, 43205-1405","(-82.968404, 39.966035)"
FRIENDS OF LUCAS COUNTY CHILDREN SERVICES,P80,P,"441, MAUMEE, OH, 43537-0000","(-83.55008536734694, 41.63123120408164)"
COMMUNITY PARTNERS OF SHAWNEE MENTAL HEALTH CENTER INC,F01,F,"901 WASHINGTON ST, PORTSMOUTH, OH, 45662-3944","(-82.998587, 38.73752)"
SHEPHERDS CROOK MINISTRIES INC,P30,P,"6515 TAYLOR TRACE LN, FAIRFIELD TWP, OH, 45011-7175","(-84.48505643852198, 39.39317269953812)"
COLUMBUS FREE CLINIC,E32,E,"2231 N HIGH ST, COLUMBUS, OH, 43201-1101","(-83.00967208962871, 40.00771505505778)"
GREATER FAITH TEMPLE APOSTOLIC ORIGINAL HOLY CHURCH OF GOD INC,X20,X,"1186 OAK ST, COLUMBUS, OH, 43205-1416","(-82.96836071428571, 39.96270357142857)"
SCHIEFFELIN MISSION MINISTRIES,X99,X,"13706 OTHELLO AVE, CLEVELAND, OH, 44110-2054","(-81.5870327630522, 41.56595144176707)"
THE OHIO STATE UNIVERSITY,O52,O,"320 EAST SILVER STREET, LEBANON, OH, 45036-1887","(-84.20333648979592, 39.435268102040816)"
KIRTLAND KIWANIS FOUNDATION,T31,T,"10360 LORETO RIDGE DR, KIRTLAND, OH, 44094-9547","(-81.33005615963773, 41.588846849999996)"
PICKERINGTON ELEMENTARY PTO,B94,B,"775 LONG RD, PICKERINGTON, OH, 43147-1061","(-82.77606661942048, 39.888790799999995)"
COALITION OF CHILDREN IN NEED ASSOCIATION,Q33,Q,"2101 FRONT ST, CUYAHOGA FALLS, OH, 44221-3251","(-81.48303861839835, 41.134203730423216)"
NEIGHBORHOOD LEADERSHIP INSTITUTE,S20,S,"5246 BROADWAY AVE, CLEVELAND, OH, 44127-1505","(-81.65397633333333, 41.4694675)"
CUTMAR INC,P73,P,"706 INVERNESS RD, AKRON, OH, 44313-4581","(-81.59632071428572, 41.10761171428572)"
DEFIANCE COLLEGE PURPLE AND GOLD ATHLETIC CLUB INC,B114,B,"701 N CLINTON ST, DEFIANCE, OH, 43512-1610","(-84.360617, 41.295904)"
BRAIN INJURY RECOVERY NETWORK INC,G48,G,"840 CENTRAL AVE, CARLISLE, OH, 45005-3128","(-84.327592, 39.584734)"
AMERICAN LEGION POST 164 HONOR GUARD,W30,W,"3363 MCDOWELL RD, GROVE CITY, OH, 43123-2907","(-83.06113851396633, 39.8866924716057)"
PARENTS FOR BEES HOCKEY,N68,N,"8715 HOLLIS CT, BRECKSVILLE, OH, 44141-2030","(-81.61466396969696, 41.3256916969697)"
FAITH CENTER CHURCH OF GOD OF THE MOUNTAIN ASSEMBLY,X21,X,"217 W PLANE ST, BETHEL, OH, 45106-1307","(-84.0800966143485, 38.96342492835158)"
CAPITAL CITY JAGUARS YOUTH SPORTS,O20,O,"7694 CRITWELL CT, REYNOLDSBURG, OH, 43068-3106","(-82.79049561196898, 39.94576721187252)"
NEW VISION BAPTIST CHURCH,X200,X,"491 W INDIANOLA AVE, YOUNGSTOWN, OH, 44511-2453","(-80.66978290909091, 41.07254315151515)"
FIRST GREATER NEW ZION BAPTIST CHURCH,X21,X,"12501 ANGELUS AVE, CLEVELAND, OH, 44105-4427","(-81.5955034321608, 41.4539545678392)"
MEDIATION ASSOCIATION OF NORTHEAST OHIO,S41,S,"310 COBBLESTONE DR, MAYFIELD HTS, OH, 44143-3682","(-81.4375829, 41.5315482)"
GREATER AKRON AMENITIES INC,W40,W,"77 EAST MILL STREET, AKRON, OH, 44308-1459","(-81.51583868464674, 41.0826284)"
BEACHWOOD HISTORIC SOCIETY,A80,A,"23621 HALBURTON RD, BEACHWOOD, OH, 44122-4122","(-81.51318412063836, 41.466402994298754)"
INTERNATIONAL COLLEGIATE LICENSING ASSOCIATION,S41,S,"24651 DETROIT RD, WESTLAKE, OH, 44145-2524","(-81.930065, 41.465987)"
CAMILLE CATHERINE INC,A68,A,"1436 CHELMSFORD CT, COLUMBUS, OH, 43229-1914","(-82.97870267346939, 40.09480491836735)"
WEST CENTRAL LEARNING ACADEMY II INC,B28,B,"522 W NORTH ST, LIMA, OH, 45801-4215","(-84.11087316326531, 40.74281257142857)"
CHARLES AND RITA LAWRENCE FAMILY FUND,T22,T,"30850 FOX HOLLOW DR, PEPPER PIKE, OH, 44124-5429","(-81.46036770609564, 41.4707402566172)"
CLEARWATER HOMES INC,L20,L,"184 S BROADWAY, GENEVA, OH, 44041-1805","(-80.94774105951463, 41.80260813230417)"
GLORIOUS CHRISTIAN ASSEMBLY OF GOD,X20,X,"4550 NORTHGLEN CT, ENGLEWOOD, OH, 45322-2500","(-84.29806472129685, 39.84922598235976)"
WRIGHT FAMILY HOME,L21,L,"3326 E 140TH ST, CLEVELAND, OH, 44120-4003","(-81.58478304, 41.46919016)"
REACHING HIGHER HEIGHTS CARE CENTER 4 LIFE,T12,T,"996 OAKWOOD AVE, COLUMBUS, OH, 43206-1578","(-82.969059, 39.945021)"
OLMSTED COMMUNITY CENTER,O20,O,"8170 MAPLEWAY DR, OLMSTED FALLS, OH, 44138-1651","(-81.909605, 41.37330671186441)"
EMPOWERMENT TEMPLE MINISTRIES,X21,X,"1421 S COVE BLVD, TOLEDO, OH, 43606-4265","(-83.57752603863709, 41.67322302488589)"
TRAVELERS OUTREACH AND COMMUNITY DEVELOPMENT CORP,S30,S,"1533 CLEVELAND AVE, COLUMBUS, OH, 43211-2743","(-82.97891022606869, 39.99675325)"
BROOKSIDE BIBLE FELLOWSHIP,X21,X,"4012 BUCKLEIGH WAY, TROTWOOD, OH, 45426-2314","(-84.2799182302374, 39.806203002384564)"
HOUSE OF PRAYER FOR ALL PEOPLE INC,X21,X,"69 S BALCH ST, AKRON, OH, 44302-1514","(-81.53433427895858, 41.09044174477503)"
DEJACO FOUNDATION,T22,T,"6198 INVERURIE DR E, DUBLIN, OH, 43017-9472","(-83.15744408950667, 40.14987839278637)"
AVENUES TO ENRICHMENT AND YOUTH DEVELOPMENT CENTER,O50,O,"1726 CLARKSTONE RD, CLEVELAND, OH, 44112-1402","(-81.56361777551021, 41.55048644897959)"
ALLIANCE FOR THE VISUAL ARTS INC,A19,A,"188 N HIGHLAND AVE, AKRON, OH, 44303-1504","(-81.54396796511534, 41.10131639791348)"
SANCTUARY COVENANT CHRISTIAN FELLOW SHIP,X21,X,"117 PARK AVE, HAMILTON, OH, 45013-3120","(-84.5666828644311, 39.40363996418133)"
COLUMBUS MUSIC AND ART ACADEMY,A60,A,"7827 WINDY HILL CT, DUBLIN, OH, 43016-8660","(-83.1085674902303, 40.12837047911694)"
CUDDLES FOR OUR KIDS,O20,O,"1391 ANDRUS ST, AKRON, OH, 44301-1725","(-81.5216651111111, 41.04901655555555)"
RESTORATION RESOURCES MINISTRY INC,P46,P,"5600 KENTSHIRE DR, KETTERING, OH, 45440-2989","(-84.1313664, 39.6612559)"
HALVERSTADT FAMILY FOUNDATION,T20,T,"1460 MARTIN WAY, BEAVERCREEK, OH, 45434-6760","(-84.039511, 39.730505)"
ASHLAND COUNTY LIFEWORX INC,P20,P,"12 EVERGREEN CT, ASHLAND, OH, 44805-2019","(-82.32425010416667, 40.8704995625)"
BUCKEYE OLIVER COLLECTORS,N50,N,"55061 POPLAR AVE, LANSING, OH, 43934-0000","(-80.79216132653062, 40.07763775510204)"
NORTH RIDGEVILLE AMATEUR SOCCER LEAGUE,N64,N,"34685 HARDWOOD DR, N RIDGEVILLE, OH, 44039-2890","(-82.00088754901961, 41.36020541176471)"
ISAIAHS PLACE INC,P32,P,"61 S STANFIELD RD, TROY, OH, 45373-2992","(-84.2405276923077, 40.05458023076923)"
APPLE GROVE HOMES II INC,L20,L,"40722 STATE ROUTE 154, LISBON, OH, 44432-8500","(-80.732383545612, 40.76580231695827)"
ASIAN FESTIVAL CORPORATION,N52,N,"1881 BRANDYWINE DR, COLUMBUS, OH, 43220-4421","(-83.1075601, 40.0891879)"
MOHAWK EDUCATION ASSOCIATION,J40,J,"400 MILLER ST, SYCAMORE, OH, 44882-9426","(-83.173866, 40.958742)"
CONSTRUCTION CAREER DAYS COMMITTEE,P30,P,"3 KOVACH DR, LOCKLAND, OH, 45215-1000","(-84.45867884837402, 39.223899549087136)"
BRUSH BAND BOOSTERS,A6C,A,"4875 GLENLYN RD, LYNDHURST, OH, 44124-2312","(-81.50499411761152, 41.52139632736841)"
LITTLE LEAGUE BASEBELL INC,N630,N,"CHARLES STREET, PORTSMOUTH, OH, 45662-0000","(-82.977604, 38.731005)"
REACHING OUT FOR KIDS INC,O50,O,"237 BAXTER AVE, CINCINNATI, OH, 45220-1354","(-84.50409615384616, 39.150255615384616)"
KARAMA CONNECTION,Q32,Q,"3612 ZUMSTEIN AVE, CINCINNATI, OH, 45208-1312","(-84.44424871717172, 39.142530707070705)"
OHIO RIVER PRODUCERS,O52Z,O,"920 ELM ST, RACINE, OH, 45771-8902","(-81.90949808027848, 38.9712310199824)"
