NAME,NTEE_CD,Category,Location,lat_lon
ALSUM MISSIONARY BAPTISE CHURCH INC,X20,X,"2443 N PEORIA AVE, TULSA, OK, 74106-3944","(-95.97583086956521, 36.18884843478261)"
THELMA GAYLORD LYRIC THEATRE ENDOWMENT FUND INC,A11,A,"1727 NW 16TH ST, OKLAHOMA CITY, OK, 73106-2067","(-97.53982869043129, 35.48608237020534)"
VISION 21 LEARNING CENTER INC,P33,P,"8730 S LYNN LANE RD, BROKEN ARROW, OK, 74012-9614","(-95.7796094, 36.0132006)"
SHEPHERDS OF LOVE MINISTRIES INC,P20,P,"1620 WHISPERING CREEK CT, EDMOND, OK, 73013-2732","(-97.50577672410057, 35.63198664295938)"
CHRISTIAN MENTORING INC,F60,F,"6774 E 66TH PL, TULSA, OK, 74133-1701","(-95.90026626980547, 36.06675262970419)"
FAMILY HEALTH CENTER OF SOUTHERN OKLAHOMA INC,E30,E,"610 E 24TH ST, TISHOMINGO, OK, 73460-3245","(-96.67425432653062, 34.22322132653061)"
GNCTV,X82,X,"1814 W TACOMA ST, BROKEN ARROW, OK, 74012-1406","(-95.81168828191117, 36.07115403175308)"
RONALD E AND ELEANOR J HALL FOUNDATION,T20,T,"4506 S HARVARD AVE, TULSA, OK, 74135-2906","(-95.94030746938776, 36.09928644897959)"
GODS HOUSE MINISTRIES ASSOCIATION,X21,X,"624 W WARNER AVE, GUTHRIE, OK, 73044-2700","(-97.43195526570743, 35.88123059098221)"
LIGHTHOUSE TRANSITIONAL CENTER INC,F80,F,"10300 SE 23RD ST, MIDWEST CITY, OK, 73130-7621","(-97.34899, 35.442273)"
SERVANTS OF THE SAVIOR INTERNATIONAL MINISTRIES INC,Q33,Q,"701 E EUCLID AVE, WAUKOMIS, OK, 73773-1049","(-97.891933, 36.279995)"
MOUNT ZION EVANGELISTIC ASSEMBLY INC,X20,X,"6604 NW 134TH ST, OKLAHOMA CITY, OK, 73142-5909","(-97.63118286874895, 35.60567445553289)"
TEEN EMPOWER INC,P30,P,"4200 LEONHARDT DR, DEL CITY, OK, 73115-1972","(-97.452249, 35.423198)"
UNITED STATES BOWLING CONGRESS INC,N70,N,"1305 28TH ST, WOODWARD, OK, 73801-4126","(-99.41636265700338, 36.43332861336788)"
UNITED STATES BOWLING CONGRESS INC,N70,N,"400 S 2ND ST, TONKAWA, OK, 74653-5561","(-97.30299467327256, 36.67495407057808)"
EDMOND FFA PARENTS CLUB,B11,B,"300 N KELLY AVE, EDMOND, OK, 73003-4914","(-97.49592260602391, 35.65862514125142)"
ASPE OKLAHOMA CITY CHAPTER 80,S41,S,"2512 W I 44 SERVICE RD, OKLAHOMA CITY, OK, 73112-3751","(-97.5709527, 35.5111604)"
PIONEER LIBRARY SYSTEM FOUNDATION,B117,B,"300 NORMAN CENTER CT, NORMAN, OK, 73072-4867","(-97.49045406298174, 35.215636)"
CHURCH WOMEN UNITED IN OKLAHOMA,X20,X,"833 WILKINSON CT, MOORE, OK, 73160-6876","(-97.47553838775511, 35.34517581632653)"
UNA PEARL MCKEE CHARITABLE TR,G12,G,"105 N MAIN ST, BLACKWELL, OK, 74631-2226","(-97.283082, 36.8049425510204)"
GATEKEEPERS FELLOWSHIP CHURCH MINISTRIES INC,X20,X,"302 W GREENLEE ST, CUSHING, OK, 74023-2148","(-96.77533969387756, 35.98730418367347)"
CHILDRENS CENTER FOUNDATION,T112,T,"6800 NW 39TH EXPY, BETHANY, OK, 73008-2513","(-97.63371060540587, 35.5111844)"
DOVE MINISTRIES INC,X20,X,"3017 SE 56TH ST, OKLAHOMA CITY, OK, 73135-1619","(-97.45814532877283, 35.40873877480477)"
ABOUNDING GRACE BIBLICAL COUNSELING MINISTRY INC,X99,X,"622 N GRANT ST, ENID, OK, 73703-4138","(-97.9023147755102, 36.40220091836735)"
OKLAHOMA LIFE SKILLS ASSOCIATION,B21,B,"6311 E TECUMSEH ST, TULSA, OK, 74115-4335","(-95.9068975, 36.182106000000005)"
HARBOR OF MIAMI OK INC,L41,L,"509 EASTGATE BLVD, MIAMI, OK, 74354-7318","(-94.83802030875819, 36.8675433177758)"
GLOBAL DEVELOPMENT AND CONSULTING INC,Q30,Q,"1824 PARK LANE DR, EDMOND, OK, 73003-4611","(-97.50798664322059, 35.660613983353336)"
GLOBAL VISION INC,X20,X,"9020 S ERIE AVE, TULSA, OK, 74137-3550","(-95.91581532432433, 36.03302106756757)"
MUSTARD SEED FAITH CENTER INC,X21,X,"8448 S FLORENCE AVE, TULSA, OK, 74137-1435","(-95.94404238888889, 36.04110547222222)"
