NAME,NTEE_CD,Category,Location,lat_lon
BLAISDELL FAMILY NATIONAL ASSOCIATION,A80,A,"2343 SW BARBARA ST, MCMINNVILLE, OR, 97128-9585","(-123.2330181813371, 45.2080792009075)"
CANINE ACTION PACK,D60,D,"7375 SW LAKE BLUFF CT, WILSONVILLE, OR, 97070-8466","(-122.75285180942461, 45.2914176)"
LOWER COLUMBIA SECTION OF THE PNCWA,S80,S,"5001 N COLUMBIA BLVD, PORTLAND, OR, 97203-2098","(-122.71913876290051, 45.59532675)"
NORTH CLACKAMAS CHRISTIAN SCHOOL,B25,B,"19575 SEBASTIAN WAY, OREGON CITY, OR, 97045-8128","(-122.58042930622065, 45.32233245)"
COMMUNITY HOUSING III INC,L20,L,"4150 S MOODY AVE, PORTLAND, OR, 97239-4417","(-122.6718127, 45.4934128)"
W VERNE MCKINNEY PTO,B94,B,"535 NW DARNIELLE ST, HILLSBORO, OR, 97124-2214","(-122.99497067614504, 45.53102965)"
SUNSET APOLLO SOFTBALL CLUB,N63,N,"10960 NW ZERMATT CT, PORTLAND, OR, 97229-6175","(-122.78906760146195, 45.5215403)"
ENFOQUE IXCAN,Q33,Q,"5784 SE LEXINGTON DR, HILLSBORO, OR, 97123-8285","(-122.92297957140151, 45.50838985)"
PORTLAND TRIATHLON CLUB,N60,N,"8803 SE 12TH AVE, PORTLAND, OR, 97202-7097","(-122.65389504567541, 45.45918941107862)"
INSTITUTE FOR LANGUAGE AND EDUCATION POLICY INC,T20,T,"12303 SW 34TH AVE, PORTLAND, OR, 97219-8265","(-122.7126791907281, 45.4363214)"
KNIGHTS OF COLUMBUS,Y40,Y,"2310 SE 148TH AVE, PORTLAND, OR, 97233-2735","(-122.5094360786723, 45.505528999999996)"
CURRY FAIR FRIENDS,S11,S,"29392 ELLENSBURG AVE, GOLD BEACH, OR, 97444-7718","(-124.42118777027027, 42.405265662162165)"
SAVE A SURVIVORS SMILE INC,P50,P,"900 SW CHELTENHAM ST, PORTLAND, OR, 97239-2606","(-122.6880533, 45.480670599999996)"
BIBLE FELLOWSHIP OF MONUMENT,X21,X,"101 NE 1ST AVE, JOHN DAY, OR, 97845-1201","(-118.952495, 44.417754)"
