NAME,NTEE_CD,Category,Location,lat_lon
COVENANT MERCIES,P80,P,"1 FELLOWSHIP RD, GLEN MILLS, PA, 19342-2279","(-75.520013, 39.879545)"
SHERMANS DALE COMMUNITY FIRE CO,M24,M,"5450 SPRING RD, SHERMANS DALE, PA, 17090-8608","(-77.17531794868844, 40.32463895)"
TREASURE HOUSE,P29,P,"7607 MCKNIGHT RD, PITTSBURGH, PA, 15237-3517","(-80.01580475, 40.544402)"
PENNSYLVANIA CITIZENS FOR BETTER LIBRARIES,B11,B,"6 PHILADELPHIA AVE, SHILLINGTON, PA, 19607-2757","(-75.96789149675328, 40.30316995)"
YORK AREA MOUNTAIN BIKERS ASSOCIATION,N50,N,"155 CHATHAM LN, RED LION, PA, 17356-8296","(-76.598415, 39.9223232)"
NCC NEUMANN SENIOR HOUSING CORPORATION,L22,L,"236 S 7TH ST, PHILADELPHIA, PA, 19106-3521","(-75.153204, 39.945952)"
TRINITY NORTH PARENT CLUB,B94,B,"225 MIDLAND DR, WASHINGTON, PA, 15301-1461","(-80.2975251345297, 40.20076645)"
BRANDYWINE SCHOOL OF EARLY LEARNING INC,B20,B,"751 E LANCASTER AVE, DOWNINGTOWN, PA, 19335-3326","(-75.7052203, 40.0058561)"
CENTRAL YORK LACROSSE CLUB,N60,N,"1135 FUTURITY DR, YORK, PA, 17404-9030","(-76.77833, 39.9977088)"
TRINITY BIBLE BAPTIST CHURCH FELLOWSHIP,X21,X,"56 OUTLOOK LN, LEVITTOWN, PA, 19055-1516","(-74.84034713668224, 40.149312568925254)"
CHURCH OF THE LORD,X20,X,"1260 FORT WASHINGTON AVE, FT WASHINGTON, PA, 19034-1749","(-75.19533658707425, 40.15364695811132)"
JESUS IS THE ANSWER MINISTRIES OF WESTERN PENNSYLVANIA,X21,X,"258 COLUMBIA AVE, PENN HILLS, PA, 15235-1229","(-79.8891715506111, 40.46367019198292)"
FAMILY SERVICES FOUNDATION,P80,P,"5100 PEACH STREET, ERIE, PA, 16509-2482","(-80.09201064957863, 42.07944795)"
CENTER OF LIFE,P40,P,"161 HAZELWOOD AVE, PITTSBURGH, PA, 15207-1566","(-79.94251059881265, 40.411793539075425)"
KNOW PLACE LIKE HOME INC,D20,D,"296 LOW ST, SHINGLEHOUSE, PA, 16748-2014","(-78.20416900543236, 41.96857712208822)"
LEECHBURG VOLUNTEER FIRE COMPANY,M24,M,"268 CANAL ST, LEECHBURG, PA, 15656-1357","(-79.603976, 40.625611)"
TRI-VALLEY COMMUNITY SOCCER ASSOCIATION,N64,N,"11 DEEP CREEK RD, HEGINS, PA, 17938-9170","(-76.50296829965188, 40.66860169383569)"
PENNSYLVANIA STATE CORRECTIONS OFFICERS ASSOCIATION,J40,J,"232 CHESTNUT STREET, ROBINSON, PA, 15949-0000","(-79.14144493333333, 40.39992953333333)"
PENNSYLVANIA STATE CORRECTIONS OFFICERS ASSOCIATION,J40,J,"2232 W BAKERSVILLE EDIE RD, SOMERSET, PA, 15501-6009","(-79.21578633333334, 40.040337)"
WEST CHESTER DOWNTOWN FOUNDATION,T31,T,"137 N HIGH ST, WEST CHESTER, PA, 19380-3019","(-75.6058825510204, 39.96111101020408)"
EARL SHAFFER FOUNDATION INC,N01,N,"2596 CHURCH RD, YORK, PA, 17408-3970","(-76.8113985, 39.9747448)"
IGLESIA PENTECOSTAL PODER DESDE LO ALTO,X21,X,"180 W GORDON ST, ALLENTOWN, PA, 18102-3128","(-75.4738317, 40.607981)"
CAMPUS THEATRE LIMITED,A31,A,"413 MARKET ST, LEWISBURG, PA, 17837-1421","(-76.88613659183673, 40.963553591836735)"
PENNSYLVANIA STATE CORRECTIONS OFFICERS ASSOCIATION,J40,J,"259 BERKLEY AVE, LANSDOWNE, PA, 19050-1354","(-75.286910130737, 39.940326260317555)"
GOLDEN TRIANGLE PERFORMANCE ENSEMBLE,N60,N,"2014 DENNING WAY, N VERSAILLES, PA, 15137-2657","(-79.79392030472083, 40.36650563089708)"
GREATER LANCASTER HOTEL & MOTEL ASSOCIATION,S46,S,"2740 OLD PHILADELPHIA PIKE, BIRD IN HAND, PA, 17505-9706","(-76.1757959, 40.0378684)"
WARWICK ELEMENTARY PTO INC,B94,B,"1340 ALMSHOUSE RD, JAMISON, PA, 18929-1119","(-75.0822722, 40.2502867)"
CORIS PLACE,P82,P,"495 WYOMING ST, HANOVER TWP, PA, 18706-3342","(-75.9178041, 41.2293333)"
SUSQUEHANNA HEARTLAND WINE TRAIL,S41,S,"16140 PA 104, MIDDLEBURG, PA, 17842-0000","(-77.05124511853538, 40.824919949999995)"
MAP HOLISTIC COMMUNITY DEVELOPMENT INC,X20,X,"1510 W STILES ST, PHILADELPHIA, PA, 19121-5112","(-75.16123726530611, 39.972555224489795)"
CLINICAL LEGAL EDUCATION ASSOCIATION,B03,B,"3501 SANSOM ST, PHILADELPHIA, PA, 19104-3464","(-75.19400798989898, 39.953909555555555)"
PEOPLES COMMUNITY DEVELOPMENT CORPORATION INC,P28,P,"5039 BALTIMORE AVE, PHILADELPHIA, PA, 19143-1626","(-75.2241041548633, 39.947923075553895)"
CERTIFIED FUNCTIONAL SAFETY EXPERT GOVERNANCE BOARD INC,S41,S,"64 N MAIN ST, SELLERSVILLE, PA, 18960-2328","(-75.30903091610381, 40.358390324325946)"
HAINES STREET BAPTIST CHURCH FOR JEAN HAIRSTON,X21,X,"214 E HAINES ST, PHILADELPHIA, PA, 19144-5701","(-75.1739526, 40.041047)"
CHRISTIANS IN ACTION IN CRISIS INC,L80,L,"120 W MAIN ST, GROVE CITY, PA, 16127-1222","(-80.08780721969704, 41.15723094057089)"
