NAME,NTEE_CD,Category,Location,lat_lon
SPURWINK-RI,F33Z,F,"1 SPURWINK PL, CRANSTON, RI, 02910-2012","(-71.433793, 41.77866)"
CRITICAL CERAMICS,A25,A,"156 LANCASTER ST, PROVIDENCE, RI, 02906-2533","(-71.40000058536586, 41.84577153658537)"
JOE STRAUSS FOUNDATION INC,N64,N,"37 LANE F, COVENTRY, RI, 02816-6244","(-71.58074278119464, 41.676601850818045)"
PRESCHOOL PARENTS ASSOCIATION OF CUMBERLAND,B112,B,"130 SCOTT RD, CUMBERLAND, RI, 02864-2812","(-71.42779358790158, 41.94739585)"
FRIENDS OF DRESDEN MUSIC FOUNDATION,A12,A,"8 HALIDON AVE, NEWPORT, RI, 02840-3816","(-71.32485763339956, 41.473949407789505)"
BEECHWOOD FOUNDATION INC,A65,A,"50 DUDLEY AVE, NEWPORT, RI, 02840-1208","(-71.30568808347316, 41.507685332384966)"
CHABAD OF COLLEGE HILL INC,X30,X,"12 OLIVE ST, PROVIDENCE, RI, 02906-1310","(-71.40405299999999, 41.82831833333333)"
ACTS OF KINDNESS INC,P20,P,"243 KNIGHT ST, PROVIDENCE, RI, 02909-1116","(-71.51004512805696, 41.99137338931945)"
NORTHEAST VOLUNTEERS IN OPTOMETRIC SERVICE TO HUMANITY INC,Q33,Q,"191 AMERICA WAY, JAMESTOWN, RI, 02835-1806","(-71.37036775013922, 41.548177062140326)"
FILIPINO-AMERICAN ASSOCIATION OF NEWPORT COUNTY INC,A23,A,"69 HALL AVE, NEWPORT, RI, 02840-1621","(-71.31203694863143, 41.50105839138056)"
AIR FORCE ASSOCIATION,B034,B,"169 DOUGLAS HOOK RD, CHEPACHET, RI, 02814-1350","(-71.65904570444486, 41.91957099293508)"
HAZEN SCHOLARSHIP FUND 3035016112,B82,B,"1 CITIZENS BANK WAY, JOHNSTON, RI, 02919-1922","(-71.5169915563074, 41.85664225)"
ZION KOREAN UNITED METHODIST CHURCH,X22,X,"35 KILVERT ST, WARWICK, RI, 02886-1009","(-71.439348, 41.72894)"
WILLIAM C BOWLING SR MEMORIAL FUND,B122,B,"107 SQUANTUM DR, WARWICK, RI, 02888-5319","(-71.39773814589616, 41.743917018115525)"
WATLAO THAMMAJADI BUDDHIST TEMPLE,X50,X,"458 RIVER ST, WOONSOCKET, RI, 02895-2935","(-71.52154847008588, 42.0038457)"
GREAT ISLAND ASSOCIATION INC,S20,S,"3191 PAWTUCKET AVE, RIVERSIDE, RI, 02915-5148","(-71.362289, 41.774212)"
SOLSTICE TRUST,T20,T,"136 CARROLL AVE, NEWPORT, RI, 02840-4328","(-71.3161178, 41.4654264)"
ALTUS REALTY INC,S47,S,"10 CHARLES STREET, PROVIDENCE, RI, 02904-2249","(-71.41153858476355, 41.83336228254519)"
KAYLA JEAN RICCI MEMORIAL FOUNDATION,T30,T,"412 CHIMNEY ROCK DR, N KINGSTOWN, RI, 02852-1684","(-71.43430816552592, 41.6279984263165)"
RHODE ISLAND HERITAGE HALL OF FAME,A54,A,"1445 WAMPANOAG TRAIL, EAST PROVIDENCE, RI, 02915-1000","(-71.32710377826348, 41.77470569047455)"
NORTH KINGSTOWN CHAMBER OF COMMERCE CHARITABL FOUNDATION INC,B80,B,"40 OAKLAND AVE, N KINGSTOWN, RI, 02852-5818","(-71.45059096774195, 41.56888070967742)"
INSTITUTE FOR 21ST CENTURY AGORAS,B99,B,"46 WASHINGTON ST, WARREN, RI, 02885-3313","(-71.28420294117647, 41.72855429411765)"
NEW ENGLAND LABORERS APPRENTICESHIP ADVANCEMENT FUND,J22,J,"226 SOUTH MAIN STREET, PROVIDENCE, RI, 02903-7105","(-71.405607, 41.823063)"
MALM MANOR INC,L21,L,"18 PARKIS AVENUE, PROVIDENCE, RI, 02907-1497","(-71.42156517492448, 41.80906409433128)"
FRIENDS OF THE PEACE DALE LIBRARY,B11,B,"1057 KINGSTOWN RD, WAKEFIELD, RI, 02879-2434","(-71.487454, 41.4400347)"
MINIS MAKING A DIFFERENCE,E118,E,"30 ROCK RIDGE RD, WESTERLY, RI, 02891-3703","(-71.78583967958697, 41.34037421127251)"
CHILDS PLAY INC,B210,B,"296 ANGELL ST, PROVIDENCE, RI, 02906-2107","(-71.3955877, 41.8287519)"
INTERNATIONAL ASSOCIATION OF SHEET METAL AIR RAIL & TRANSPORTATION,J40,J,"537 MENDON RD, N SMITHFIELD, RI, 02896-6959","(-71.54438491032107, 41.99893577770941)"
CATBOAT ASSOCIATION INC,N67Z,N,"11 HIGHVIEW DR, BRISTOL, RI, 02809-5154","(-71.26173559053981, 41.68318065988079)"
BRITISH MOTORCARS FTR LTD,N50,N,"30 HIGH RIDGE DR, CUMBERLAND, RI, 02864-3908","(-71.43789671645354, 41.96017707305394)"
NATIONAL CONFERENCE OF VIETNAM VETERAN MINISTERS,W300,W,"16 SHARON PKWY, N SMITHFIELD, RI, 02896-6930","(-71.5420808599604, 42.007305035243064)"
DE-MARLAS GROUP,O50,O,"356 MANTON AVE, PROVIDENCE, RI, 02909-3626","(-71.45208, 41.82395)"
SEARCH DOGS NORTHEAST INC,M99Z,M,"69A MOOSUP VALLEY RD, FOSTER, RI, 02825-1240","(-71.7552052, 41.7368191)"
LIFESPAN OF MASSACHUSETTS INC,T11,T,"45 BAKER ST, PROVIDENCE, RI, 02905-4416","(-71.3990128319718, 41.79362155903273)"
COASTAL AMERICA FOUNDATION INC,C600,C,"41 NELSON DR, EXETER, RI, 02822-2724","(-71.594367, 41.594151)"
MAYNARD MASONIC CORPORATION,S47,S,"217 SLATER AVE, PROVIDENCE, RI, 02906-3441","(-71.386949, 41.840917)"
F FELIX FOUNDATION,T22,T,"137 CLEMATIS ST, PROVIDENCE, RI, 02908-4005","(-71.44599083066677, 41.83501202260458)"
PATRIOT PAPILLON CLUB,D61,D,"58 PHEASANT DR, CRANSTON, RI, 02920-1223","(-71.49522247173589, 41.78658505456923)"
JANCI FOUNDATION,T22,T,"8 WHITNEY DR, LINCOLN, RI, 02865-4640","(-71.47702545496558, 41.90478677654508)"
HARMONY INC,A6B,A,"314 STATION ST, COVENTRY, RI, 02816-8456","(-71.57307634650793, 41.70647541442269)"
REHOBOTH COUNTRY DANCE SOCIETY INC,A62,A,"102 FOSTER CENTER RD, FOSTER, RI, 02825-1390","(-71.712769, 41.782104)"
DE RADA ITALIAN INSTITUTE INC,B99,B,"37 KINGSTON HILL CT, KINGSTON, RI, 02881-1217","(-71.5208767772792, 41.48643928427736)"
RHODE ISLAND PUBLIC SERVICE EMPLOYEES TRAINING FUND TR,J40,J,"410 SOUTH MAIN ST, PROVIDENCE, RI, 02903-2982","(-71.69331558480691, 41.94822039833478)"
CLASSICAL HIGH SCHOOL ALUMNI ASSOCIATION INC,B11,B,"341 MOUNT PLEASANT AVE, PROVIDENCE, RI, 02908-3846","(-71.4505095, 41.83594016666667)"
SAUGATUCKET SPRINGS INC,L22,L,"861A BROAD ST, PROVIDENCE, RI, 02907-1768","(-71.4171487, 41.800213)"
C A C OF AMERICA INC,X20,X,"311 PRAIRIE AVE, PROVIDENCE, RI, 02905-2332","(-71.41483965625, 41.805900468749996)"
ANTHONY E VALAIKA SCHOLARSHIP FUND,B82,B,"45 FRYBROOK DR, E GREENWICH, RI, 02818-1819","(-71.496668877275, 41.647394059156916)"
ACE BAILEY CHILDRENS FOUNDATION,E122,E,"19 COOMBS ST, RUMFORD, RI, 02916-1403","(-71.34812063034875, 41.83617281761513)"
ASSOCIATION OF RETIRED COMBAT COMMUNICATORS,W30,W,"166 PRINCETON AVE, COVENTRY, RI, 02816-4239","(-71.54711723152772, 41.6897805)"
ASSOCIATION OF CERTIFIED MARINE SURVEYORS,S03,S,"19 NOOSENECK HILL RD, W GREENWICH, RI, 02817-1524","(-71.61510847876887, 41.64437921015661)"
PONIES AS PARTNERS-THERAPEUTIC RIDING,F60,F,"97 LOCUST AVE, PORTSMOUTH, RI, 02871-1122","(-71.27120237717163, 41.5720319228912)"
PAUL C RICHARDS & GLADYS RICHARDS CHARITABLE FOUNDATION,T22Z,T,"22 MALBONE RD, NEWPORT, RI, 02840-1717","(-71.308479, 41.500326)"
NAVIGANT CREDIT UNION,W61,W,"1005 DOUGLAS PIKE, SMITHFIELD, RI, 02917-1206","(-71.52221374074074, 41.91896225925926)"
KNIGHTS OF COLUMBUS,S82Z,S,"7 VALLEY RD, MIDDLETOWN, RI, 02842-6306","(-71.29574267783127, 41.523030069188785)"
OPERATIVE PLASTERERS & CEMENT MASONS INTERNATIONAL ASSOCIATION,J40Z,J,"22 AMFLEX DR, CRANSTON, RI, 02921-2027","(-71.51498640589209, 41.785311951243905)"
PORTUGUESE AMERICAN ATHLETIC CLUB,N50,N,"40 FENWOOD AVE, SMITHFIELD, RI, 02917-3936","(-71.50197569209578, 41.884877652062485)"
RIVER BEND CEMETERY COMPANY,Y50,Y,"117 BEACH ST, WESTERLY, RI, 02891-2753","(-71.828489, 41.355279)"
ST MARYS HOME FOR CHILDREN,P730,P,"420 FRUIT HILL AVE, N PROVIDENCE, RI, 02911-2626","(-71.46483412304062, 41.84982738142593)"
