NAME,NTEE_CD,Category,Location,lat_lon
SIGMA DELTA PI,O20,O,"3 BAINBRIDGE DR, CHARLESTON, SC, 29407-4213","(-79.99132600395616, 32.80921063132853)"
HOLY TEMPLE BUILDING & TR FUND,X02,X,"5722 MAIN ST, COLUMBIA, SC, 29203-6223","(-81.0421985, 34.0245918)"
RHEMA WORD FULL GOSPEL MINISTRIES,X21,X,"801 ROBBINS ST, CHERAW, SC, 29520-2832","(-79.896638, 34.689196)"
CHINESE CULTURE CENTER,A70,A,"1708 GREENE ST, COLUMBIA, SC, 29201-4015","(-81.037776, 33.9937224)"
VIRGINIA GREYHOUND ADOPTION,D20,D,"311 69TH AVE N, MYRTLE BEACH, SC, 29572-3602","(-78.8217775, 33.7388597)"
NICHOLTOWN MISSIONARY BAPTIST CHURCH,X21,X,"327 ACKLEY RD, GREENVILLE, SC, 29607-2085","(-82.37764112423602, 34.84320275)"
GREG MATHIS CHARTER HIGH SCHOOL,B29,B,"2872 AZALEA DR, N CHARLESTON, SC, 29405-8216","(-79.97226366972492, 32.84382407317741)"
FAITH COVENANT CHRISTIAN CENTER,X20,X,"6943 DORCHESTER RD, N CHARLESTON, SC, 29418-3432","(-80.06960660717279, 32.88972133099826)"
ERNEST EVERETT JUST FOUNDATION INC,P20,P,"1633 PAT KELLY LN, MT PLEASANT, SC, 29464-3594","(-79.84038647042253, 32.82135318234843)"
KINGDOM REAPERS MINISTRY,X20,X,"1840 BLUFF RD, COLUMBIA, SC, 29201-4918","(-81.0247866, 33.9758541)"
CORNERSTONE CHRISTIAN FELLOWSHIP,X21,X,"901 CLIFTON DR, HAMPTON, SC, 29924-0000","(-81.147907, 32.798411)"
CAYCE-WEST COLUMBIA ROTARY EDUCATION FOUNDATION,B82,B,"921 12TH ST, CAYCE, SC, 29033-3301","(-81.07032837328705, 33.9823507279415)"
REAL LIFE CHURCH GREENVILLE INC,X20,X,"2425 RACING RD, GREER, SC, 29651-6137","(-82.213498075875, 34.961714150000006)"
C F GIBBS REVIVAL MINISTRIES INC,X99,X,"52 GLAZE DR, BEAUFORT, SC, 29906-8935","(-80.73214755496987, 32.432800366814654)"
LAKE BOWEN CHURCH CHILD DEVELOPMENT CENTER,P33,P,"404 SUGAR RIDGE RD, INMAN, SC, 29349-8115","(-82.02979512481909, 35.077436500000005)"
LOWER RICHLAND HIGH SCHOOL BAND BOOSTER CLUB,A11,A,"2615 LOWER RICHLAND BLVD, HOPKINS, SC, 29061-8641","(-80.8755192, 33.9229368)"
THE EXCHANGE MINISTRY INC,P60,P,"120 MCPHAIL FARMS CIR, ANDERSON, SC, 29621-2578","(-82.64510327997313, 34.56473189623369)"
HOPE FELLOWSHIP CHURCH,X21,X,"213 BROWN RD, ANDERSON, SC, 29621-1215","(-82.681218526896, 34.556743499999996)"
MARINE CORPS LEAGUE,W30,W,"1701 BELLEVILLE RD, ORANGEBURG, SC, 29115-3808","(-80.83240067149045, 33.50647845648721)"
THE SWORD OF TRUTH OUTREACH MINISTRIES,X21,X,"105 CHERAW ST, BENNETTSVILLE, SC, 29512-3001","(-79.68719547188441, 34.616636190890205)"
WOODLAKE HOME & GARDEN CLUB,S20,S,"216 N WOODLAKE DR, COLUMBIA, SC, 29229-8918","(-80.9584464, 34.0075472)"
GENESIS HEALTHCARE INC,E30,E,"8906 TWO NOTCH RD, COLUMBIA, SC, 29223-6366","(-80.92928269799484, 34.08812065)"
DOERS OF THE WORD MINISTRIES,X20,X,"30 TRAILSTREAM DR, MAULDIN, SC, 29662-3323","(-82.31864157292516, 34.75310871989274)"
SILVER BLUFF ATHLETIC BOOSTER CLUB,N12,N,"311 HENDRIX ST, JACKSON, SC, 29831-3411","(-81.783606, 33.335361)"
AMERICAN TRADITIONAL JUJUTSU ASSOCIATION INC,N70,N,"372 A RIVERCHASE WAY, LEXINGTON, SC, 29072-8010","(-81.1323044, 34.0243002)"
KEYS TO THE KINGDOM MUSIC CENTER LLC,A68,A,"5453 NORTH RD, ORANGEBURG, SC, 29118-9215","(-80.95838983513663, 33.566270159999256)"
CHOPPEE TEMPLE CHURCH OF DELIVERANCE INC,X99,X,"6732 CHOPPEE RD, GEORGETOWN, SC, 29440-6428","(-79.31703550724637, 33.53107960869565)"
HEARTS FOR THE ARTS FOUNDATION,B122,B,"145 SUGAR MAGNOLIA WAY, CHARLESTON, SC, 29414-9001","(-80.08994162567416, 32.832074861541145)"
MCLEIGH FOUNDATION,T22,T,"1510 LAUREN DEY WAY, MT PLEASANT, SC, 29464-4895","(-79.84634904839831, 32.79361292137576)"
RC EDWARDS MIDDLE SCHOOL PARENT TEACHER STUDENT ORGANIZATION,B11,B,"1157 MADDEN BRIDGE RD, CENTRAL, SC, 29630-9090","(-82.798065, 34.723137)"
BEAUFORT COMMUNITY SAILING AND BOATING,N67,N,"30 YACHT CLUB DR, BEAUFORT, SC, 29907-1701","(-80.6647345136535, 32.4061372336786)"
MASTER GARDENER ASSOCIATION OF THE PIEDMONT,C42,C,"612 CHESNEE HWY, SPARTANBURG, SC, 29303-2301","(-81.9332729, 34.9763833)"
ROSEWOOD CENTER FOR WHOLENESS,E60,E,"419 ETIWAN AVE, COLUMBIA, SC, 29205-3732","(-81.00887346887431, 33.98587784872481)"
FAIRFIELD FAMILY LIFE COALITION,E70,E,"1604 CAROUSEL CIR, COLUMBIA, SC, 29203-6367","(-81.0074467961719, 34.05741242315225)"
WHALEY STREET NEIGHBORHOOD ORGANIZATION,S20,S,"207 GADSDEN ST, COLUMBIA, SC, 29201-4213","(-81.0342302912271, 33.98590257097068)"
INTERNATIONAL HARVEST CHURCH,X21,X,"30 EGRET DR, BEAUFORT, SC, 29907-1903","(-80.64167844632274, 32.463689454490755)"
SAFETY COMPONENTS FIRST RESPONDER 911 FOUNDATION,T20,T,"40 EMERY ST, GREENVILLE, SC, 29605-4572","(-82.42191144199286, 34.82585875730709)"
GEORGETOWN HOSPITAL SYSTEM,E210,E,"606 BLACK RIVER RD, GEORGETOWN, SC, 29440-3304","(-79.28398423606853, 33.379346)"
CAROLINA HISTORICAL SITE PERSERVATION FOUNDATION,A80,A,"4962 STEEPLECHASE LN, HOLLYWOOD, SC, 29449-5857","(-80.14358520225925, 32.75271333709874)"
CCES ENDOWMENT CORPORATION,G12,G,"245 CAVALIER DR, GREENVILLE, SC, 29607-4265","(-82.35041774642293, 34.79636445)"
INTERNATIONAL CENTER OF YORK COUNTY,P84,P,"150 JOHNSTON ST, ROCK HILL, SC, 29730-4506","(-81.029882, 34.923558)"
REDUX CONTEMPORARY ART CENTER,A40,A,"1056 KING ST, CHARLESTON, SC, 29403-3728","(-79.95076804943166, 32.80490227813372)"
ANGELS ALL AROUND MINISTRIES INC,X21,X,"1922 N IRBY ST, FLORENCE, SC, 29501-1502","(-79.755024, 34.229465)"
