NAME,NTEE_CD,Category,Location,lat_lon
LIVING WATER CHRISTIAN FELLOWSHIP,X21,X,"413 W 15TH ST, YANKTON, SD, 57078-2806","(-97.39710775757575, 42.88330454545455)"
BELLS OF THE HILLS INC,A6C,A,"4071 VALLEY WEST DR, RAPID CITY, SD, 57702-3158","(-103.28605321332564, 44.07068788009623)"
MAIN STREET LIVING INC,X20,X,"1400 S DULUTH AVE, SIOUX FALLS, SD, 57105-1711","(-96.733673, 43.53292)"
GREAT PLAINS CHAPTER MOAA,W30,W,"1600 W RUSSELL ST, SIOUX FALLS, SD, 57104-1330","(-96.74818426623428, 43.56432925)"
THE BLAST MINISTRIES INC,X84,X,"700 E 1ST ST, BRIDGEWATER, SD, 57319-2300","(-97.499355, 43.548822)"
SIOUX FALLS BEAUTIFUL,S22,S,"1207 S 2ND AVE, SIOUX FALLS, SD, 57105-0848","(-96.72391642857143, 43.53440875510204)"
BROWNSVILLE VOLUNTEER FIRE DEPARTMENT,M24,M,"21555 US HIGHWAY 385, DEADWOOD, SD, 57732-7328","(-103.7400925, 44.3571228)"
FAITH IN THE FUTURE FOUNDATION,X83,X,"401 E 18TH ST, YANKTON, SD, 57078-2209","(-97.38816, 42.886072)"
HAPPY THE DOG MINISTRY INC,X20,X,"27051 S SOUTHEASTERN AVE, SIOUX FALLS, SD, 57108-8304","(-96.6878008, 43.5040513)"
LEAD LIBRARY ENDOWMENT INC,B90,B,"315 W MAIN ST, LEAD, SD, 57754-1604","(-103.76654985714286, 44.351914571428566)"
THERAPEAUTIC HEALING INSTITUTE,E60,E,"1031 S PHILLIPS AVE, SIOUX FALLS, SD, 57105-0744","(-96.72661849798624, 43.5359646)"
CANYON GATE VILLAGE HOMEOWNERS ASSOCIATION INC,L50,L,"1408 GATEWAY CT, SPEARFISH, SD, 57783-9530","(-103.83649776891201, 44.47997675)"
LIGHTS UP MINISTRIES INC,X99,X,"6700 W GRESFORD PL, SIOUX FALLS, SD, 57106-2662","(-96.8099625, 43.4895249)"
SIOUX EMPIRE WHEELS TO WORK INC,J19,J,"5400 W 57TH ST, SIOUX FALLS, SD, 57106-2087","(-96.79219055614908, 43.50036233834523)"
TIGER NATION,B94,B,"200 WILLOW STREET, HARRISBURG, SD, 57032-0000","(-96.705092, 43.431632)"
PLANKINTON PRESERVATION SOCIETY INC,A54,A,"208 E 2ND ST, PLANKINTON, SD, 57368-2239","(-98.4823669, 43.715234)"
DELL RAPIDS BASEBALL ASSOCIATION,N63,N,"24437 474TH AVE, DELL RAPIDS, SD, 57022-5306","(-96.729872, 43.804262)"
MINISTERIO EVANGELICO PENTECOSTES INC,X21,X,"1733 S SHERMAN AVE, SIOUX FALLS, SD, 57105-2226","(-96.71015036734694, 43.53051855102041)"
T R E A T Y TOTAL IMMERSION EDUCATIONAL ENDOWMENT FUND INC,B99,B,"830 E IOWA ST, RAPID CITY, SD, 57701-5777","(-103.2041141, 44.0626749)"
NEW LIFE CHURCH,X20,X,"500 S 1ST AVE, SIOUX FALLS, SD, 57104-6902","(-96.725182, 43.542337)"
LEAD-DEADWOOD PTO,B11,B,"716 MAIN ST, DEADWOOD, SD, 57732-1003","(-103.7165967, 44.3869158)"
UNITED STATES BOWLING CONGRESS INC,N70,N,"406 3RD AVE W, LEMMON, SD, 57638-1425","(-102.16363419558166, 45.94079014815516)"
ELEVATE FOUNDATION INC,S30,S,"18 E MAIN ST, RAPID CITY, SD, 57701-2949","(-103.2106857, 44.0781113)"
UPS OF DOWNS FAMILY SUPPORT GROUP,P80,P,"3213 W MAIN ST, RAPID CITY, SD, 57702-2314","(-103.272842, 44.0818429)"
SUDANESE CONGREGATION AT ST MARK LUTHERAN CHURCH INC,X20,X,"2001 S ELMWOOD AVE, SIOUX FALLS, SD, 57105-2321","(-96.756315, 43.527394)"
WEST RIVER HISTORY CONFERENCE,A80,A,"1327 STATE ST, RAPID CITY, SD, 57702-3425","(-103.25773707390935, 44.07286065639846)"
GEIS FAMILY MEMORIAL,T30,T,"1218 UNION ST, BELLE FOURCHE, SD, 57717-2223","(-103.84274515732757, 44.65529600413102)"
UNITED RETIREMENT CENTER FOUNDATION,P117,P,"405 1ST AVE, BROOKINGS, SD, 57006-1835","(-96.80377280808081, 44.30970024242424)"
TIMOTHY STUEN MINISTRIES,X20,X,"660 EARLEEN ST, RAPID CITY, SD, 57701-3207","(-103.22446351930438, 44.12653591938638)"
ABERDEEN JAZZ SOCIETY,A68,A,"104 S MAIN ST, ABERDEEN, SD, 57401-4137","(-98.4883509, 45.4638772)"
HUISKEN FAMILY CHARITABLE TRUST,X12,X,"1068 W DUNBAR TRAIL, SIOUX FALLS, SD, 57108-0000","(-96.7457608, 43.4909159)"
WESTERN BAT WORKING GROUP,D30,D,"12346 2 HOUR RD, CUSTER, SD, 57730-5203","(-103.59278447617984, 43.77996520506165)"
WEBSTER 20 20 INCORPORATED,S30,S,"513 MAIN ST, WEBSTER, SD, 57274-1718","(-97.520244, 45.330398775510204)"
NEW FREEDOM IN CHRIST CHURCH,X20,X,"220 3RD ST E, MOBRIDGE, SD, 57601-2622","(-100.43206075421989, 45.5354481223357)"
MONUMENT HEALTH INC,E21,E,"353 FAIRMONT BLVD, RAPID CITY, SD, 57701-7375","(-103.22523956525582, 44.056453149999996)"
BETHANY LUTHERAN FOUNDATION INC,L112,L,"1901 S HOLLY AVE, SIOUX FALLS, SD, 57105-2407","(-96.75435308333334, 43.528469333333334)"
