NAME,NTEE_CD,Category,Location,lat_lon
SUNNY MEADOWS FOUNDATION,D20,D,"4066 NEW GETWELL RD, MEMPHIS, TN, 38118-6017","(-89.93715112088702, 35.03871331129388)"
BUDDHIST COMMUNITY OF MEMPHIS & VICINITY INC,X21,X,"3500 S GOODLETT ST, MEMPHIS, TN, 38118-5014","(-89.92177736451413, 35.053706199587346)"
TENNESEE AQUADIC PROJECT AND DEVELOPEMENT GROUP INC,N20,N,"1309 JACKSON ST, NASHVILLE, TN, 37208-3000","(-86.79886551944408, 36.16835851041923)"
JOSEPH E PEEBLES JR FOUNDATION,T20,T,"926 SCEPTER DR, MURFREESBORO, TN, 37129-5280","(-86.39884668806091, 35.9026507848048)"
TN VOL MANUFACTERING SERVICES INC,J20,J,"758 W MORRIS BLVD, MORRISTOWN, TN, 37813-2136","(-83.29914433935039, 36.20779426321755)"
NEW ZION COMMUNITY AND FAMILY DEVELOPMENT INC,X21,X,"793 W PEEBLES RD, MEMPHIS, TN, 38109-2637","(-90.08874781928743, 35.066803396298084)"
WE ARE ONE MINISTRIES INC,X200,X,"970 AUDUBON DR, MEMPHIS, TN, 38117-4602","(-89.9197178159848, 35.1049252)"
MONTEREY SENIOR CITIZENS CENTER,P81,P,"105 N ELMORE ST, MONTEREY, TN, 38574-1255","(-85.2601754, 36.1461255)"
PAKISTAN ASSOCIATION OF MEMPHIS,A23,A,"533 GREYWOOD LN, CORDOVA, TN, 38018-7006","(-89.747678, 35.139639)"
PORTERS CALL,P46,P,"228 2ND AVE S, FRANKLIN, TN, 37064-2650","(-86.8662243691091, 35.9237790636867)"
CENTRAL HIGH SCHOOL NJROTC BOOSTER CLUB,B11,B,"114 LINDY DR, KNOXVILLE, TN, 37920-5248","(-83.873673, 35.92216)"
CHAPMANS RETREAT ELEMENTARY PTO,B90,B,"1000 SECLUDED LN, SPRING HILL, TN, 37174-6120","(-86.87341793875552, 35.74809325)"
ST LUKE HOUSING MINISTRY INC,L22,L,"2020 28TH AVENUE NORTH, NASHVILLE, TN, 37208-1263","(-86.82290026948871, 36.18626230823154)"
ANIMAL CARE TR,D20,D,"4500 N ACCESS RD, CHATTANOOGA, TN, 37415-3819","(-85.233404, 35.106523)"
THE BRIDGE MINISTRY INC,X21,X,"533 BRICK CHURCH PARK DR, NASHVILLE, TN, 37207-3219","(-86.7844325, 36.2244453)"
TENNESSEE ORDER OF THE EASTERN STAR,Y40,Y,"895 HEARN ST, HENDERSON, TN, 38340-2503","(-88.66255926998956, 35.430411474845904)"
DAVIS COMMUNITY COALITION INC,S990,S,"1743 SAN BERNARDO AVE, MEMPHIS, TN, 38116-9215","(-90.00543533696492, 34.999182846101185)"
CONSCIOUSFLOWZ,P99,P,"202 EVENTIDE DR, MURFREESBORO, TN, 37130-2125","(-86.385945, 35.865417)"
HAYNES PARKS NEIGHBORHOOD WATCH ASSOCIATION,S22,S,"317 KINGVIEW DR, NASHVILLE, TN, 37218-1932","(-86.835315, 36.216376)"
RALPH ASKINS PARENT TEACHER ORGANIZATION,B11,B,"901 SHADY LN, FAYETTEVILLE, TN, 37334-2149","(-86.58106, 35.163771)"
AGAPE ORPHAN MINISTRIES INC,Q33,Q,"241 MARSHALL DR, CLARKSVILLE, TN, 37042-5908","(-87.38885962711055, 36.57338345)"
SMYRNA CITIZENS POLICE ACADEMY ALUMNI ASSOCIATION,M99,M,"5621 ROCKY FORK RD, SMYRNA, TN, 37167-6130","(-86.5925184, 35.9306995)"
GRANDDOGS,D20,D,"620 LINDSAY ST, CHATTANOOGA, TN, 37403-3461","(-85.30449384240829, 35.04916736814703)"
ST MINA COPTIC ORTHODOX CHURCH OF TENNESSEE,X21,X,"476 MCMURRAY DR, NASHVILLE, TN, 37211-5363","(-86.72248261706186, 36.06007430960099)"
MARKS MONEY,G25,G,"2407 8TH AVE S, NASHVILLE, TN, 37204-2451","(-86.777132, 36.126051)"
BREATH OF LIFE MINISTRIES,X21,X,"4185 E ANDREW JOHNSON HWY, MORRISTOWN, TN, 37814-6240","(-83.24071688754248, 36.23519009186164)"
SOUL OF SOMANYA INC,Q30,Q,"3406B TAFT HWY, SIGNAL MTN, TN, 37377-2758","(-85.3352253, 35.1281989)"
ROMANIAN BAPTIST CHURCH,X21,X,"2520 LEBANON PIKE, NASHVILLE, TN, 37214-2415","(-86.67900982696531, 36.16955345754606)"
ENPLAY,N60,N,"3540 HARPETH SPRINGS DR, NASHVILLE, TN, 37221-2427","(-86.97866543138798, 36.06951196551212)"
LADY PATRIOT BASKETBALL BOOSTER CLUB,N62,N,"2112 LOVELACE LN, MURFREESBORO, TN, 37130-1161","(-86.35754638764097, 35.87972300069615)"
NATIONAL LIGHTING BUREAU,B03,B,"1726C GENERAL GEORGE PATTON DR, BRENTWOOD, TN, 37027-7901","(-86.818736, 35.967386)"
CHOSEN VESSEL MINISTRIES,F20,F,"2977 SHELBY ST, BARTLETT, TN, 38134-4513","(-89.87387109038177, 35.206716190270434)"
THE RESCUE MINISTRIES INC,Q33,Q,"528 FORGETY RD, JEFFERSON CTY, TN, 37760-4000","(-83.47018518715892, 36.07991984385232)"
MY FATHERS HOUSE,X99,X,"1861 RICHMOND LN, CHATTANOOGA, TN, 37421-2772","(-85.14296608474763, 35.02120033267729)"
TENNESSEE CHAPTER OF THE NATIONAL ASSOCIATION OF FRATERNAL INSURANCE,Y20,Y,"670 LAKESIDE DR, SPRINGFIELD, TN, 37172-5115","(-86.85211341996155, 36.50390768869231)"
NASHVILLE MUSICIANS ASSOCIATION CRISIS ASSISTANCE FUND,M99,M,"11 MUSIC CIR N, NASHVILLE, TN, 37203-4310","(-86.78988904225183, 36.15063297754074)"
MCGAVOCK ELEMENTARY PARENT TEACHERS ORGANIZATIONS,B11,B,"275 MCGAVOCK PIKE, NASHVILLE, TN, 37214-2730","(-86.68143176635948, 36.16040544774557)"
SOLID ROCK CHRISTIAN CHURCH INC,X21,X,"6720 E RAINES RD, MEMPHIS, TN, 38115-6641","(-89.83945551370378, 35.03508326205425)"
QUALITY LIFESTYLE SERVICE INC,F33,F,"113 N MOORE RD, CHATTANOOGA, TN, 37411-3919","(-85.22733751339429, 35.01485086117424)"
VICTORY RANCH,X20,X,"8604 WOODLANE DR, GERMANTOWN, TN, 38138-7741","(-89.77600087673206, 35.06461653146476)"
UNITED EMMAUS COMMUNITY INC,X99,X,"801B SUNSET DR, JOHNSON CITY, TN, 37604-3033","(-82.3862137, 36.3355045)"
J E W MINISTRIES,P20,P,"378 E TRIGG AVE, MEMPHIS, TN, 38106-4216","(-90.04971096894336, 35.112358936420755)"
WORKERS INTERFAITH NETWORK,P20,P,"1870 MADISON AVE, MEMPHIS, TN, 38104-2620","(-89.99889689924967, 35.13768772400248)"
DISCIPLING MEN INC,X99,X,"8726 PEPPER BUSH LN, GERMANTOWN, TN, 38139-4427","(-89.77190320082028, 35.096205521510136)"
NASHVILLE INTERNATIONAL CENTER FOR EMPOWERMENT,A23,A,"417 WELSHWOOD DR, NASHVILLE, TN, 37211-4209","(-86.72880913591128, 36.082422040656105)"
TRANSFORMATION CHURCH OF TENNESSEE,X20,X,"315 CORPORATE DR, KNOXVILLE, TN, 37923-4610","(-84.0831937, 35.9224806)"
