NAME,NTEE_CD,Category,Location,lat_lon
BLANDING COMMUNITY LEGACY TRUST,T31,T,"50 W 100 S, BLANDING, UT, 84511-3743","(-109.47889000318449, 37.62403061487772)"
WORLD CONGRESS OF HERPETOLOGY,B03,B,"1054 SUMAC DR, LOGAN, UT, 84321-4814","(-111.8105848, 41.7338965)"
UTAH COUNTY SHERIFFS COMMUNICATION AUXILLARY TEAM,M23,M,"3075 N MAIN ST, SPANISH FORK, UT, 84660-9506","(-111.65690646650974, 40.14825555111571)"
MILTON CEMETARY ASSOCIATION,Y50,Y,"1410 N MORGAN VALLEY DR, MORGAN, UT, 84050-9636","(-111.73354167735813, 41.06282384332621)"
MOAB TRAILS ALLIANCE,S21,S,"240 E 300 S, MOAB, UT, 84532-2622","(-109.54616075760471, 38.5685835549767)"
UTAH STATE ASSEMBLY OF AST,S46,S,"986, WEST JORDAN, UT, 84084-0000","(-111.9395211, 40.6061337)"
UNITED STATES BOWLING CONGRESS INC,N70,N,"705 W 700 N, AMERICAN FORK, UT, 84003-1138","(-111.8169126923077, 40.39045284615385)"
ETHIOPIAN DEVELOPMENT NETWORK INC,Q33,Q,"3421 N 180 E, PROVO, UT, 84604-4711","(-111.6552512458768, 40.27942749175357)"
INTERNATIONAL SOCIETY DAUGHTERS OF UTAH PIONEERS,A80,A,"546 E 2875 N, PROVO, UT, 84604-4253","(-111.64954773154362, 40.2717521409396)"
NURTURE THE CREATIVE MIND,B92,B,"2501 WALL AVE, OGDEN, UT, 84401-1359","(-111.97970670471045, 41.22116475)"
BLUE KNIGHTS SOCCER CLUB,N64,N,"9902 S COUNTRYWOOD DR, SANDY, UT, 84092-3752","(-111.84300013671407, 40.57141988073006)"
LEHI CITY CHAMBER OF COMMERCE INC,S41,S,"225 E STATE ST, LEHI, UT, 84043-1627","(-111.84593010526316, 40.396466536842105)"
SAMUEL H SMITH FOUNDATION,P05,P,"2854 E OVERLOOK DR, ST GEORGE, UT, 84790-6417","(-113.524453, 37.1133528)"
SALT LAKE FIGURE SKATING,N67,N,"645 S GUARDSMAN WAY, SALT LAKE CTY, UT, 84108-1373","(-111.8453734, 40.7534056)"
UTAH BUSINESS LICENSING ASSOCIATION,S41,S,"374 E MAIN ST, VERNAL, UT, 84078-2620","(-109.52147906681111, 40.455720021338024)"
MOUNTAINVILLE ACADEMY,B29,B,"195 S MAIN ST, ALPINE, UT, 84004-1630","(-111.77773495918368, 40.45110144897959)"
PARK CITY HS PARENT TEACHER STUDENT ORGANIZATION,B94,B,"1750 KEARNS BLVD, PARK CITY, UT, 84060-7302","(-111.4957376801666, 40.666716465249)"
STRIKERS SOCCER CLUB,N64,N,"2468 E 8300 S, SOUTH WEBER, UT, 84405-9243","(-111.91686944167617, 41.11626919017959)"
BOUNTIFUL VINEYARD CHRISTIAN FELLOWSHIP INC,X21,X,"3190 S 4140 W, W VALLEY CITY, UT, 84120-2024","(-111.9899941, 40.7009733)"
R I T E S INC,J20,J,"2465 N MAIN ST, SUNSET, UT, 84015-2450","(-112.02614485858587, 41.14950488888889)"
SUAZO BUSINESS CENTER,P842,P,"960 W 1700 S, SALT LAKE CTY, UT, 84104-2200","(-111.9337176, 40.7332047)"
PARK CITY SCHOOL DISTRICT PTO,B11,B,"2270 KEARNS BLVD, PARK CITY, UT, 84060-7467","(-111.5048901, 40.6614315)"
TOOELE ATC FOUNDATION,B11,B,"88 TOOELE BLVD, TOOELE, UT, 84074-2093","(-112.32462587908466, 40.52756110904979)"
CIRQUE LODGE FOUNDATION,B82,B,"777 N PALISADES DR, OREM, UT, 84097-4341","(-111.66481142500001, 40.311606925)"
SUMMIT ACADEMY INCORPORATED,B29,B,"1225 E 13200 S, DRAPER, UT, 84020-9000","(-111.882247, 40.513424)"
INTERNATIONAL AID SERVING KIDS,P30,P,"1135 N 650 E, OREM, UT, 84097-3492","(-111.68018312244898, 40.317760224489795)"
FELLOWSHIP BIBLE CHURCH,X20,X,"375 N STATE ST, LINDON, UT, 84042-1831","(-111.7314319, 40.3516553)"
UTAH VALLEY HOME BUILDERS FOUNDATION INC,B12,B,"707 EAST MILL ROAD, VINEYARD, UT, 84059-5729","(-111.73652848899206, 40.297381349999995)"
BAMBI CHUGG THOMAS HEALING HEARTS FOUNDATION,G123,G,"5321 S 3100 W, ROY, UT, 84067-9411","(-112.05489181632653, 41.166379020408165)"
DYNAMO FC,O50,O,"478 LUPINE DR, ALPINE, UT, 84004-1379","(-111.78726860520851, 40.459664272058)"
GLOBAL VILLAGE GIFTS INC,P20,P,"69 E 100 N, LOGAN, UT, 84321-4624","(-111.8428753, 41.7334247)"
SPRINGVILLE SENIOR CITIZENS ORGANIZATION,P81,P,"65 E 200 S, SPRINGVILLE, UT, 84663-1914","(-111.5899246, 40.1638885)"
COMMUNITY DEVELOPMENT NETWORK,B99,B,"577 MILLCREEK WAY, BOUNTIFUL, UT, 84010-3920","(-111.86947741536618, 40.8780809930194)"
QUICK RELEASE RACING,N800,N,"1012 E HARVARD AVE, SALT LAKE CTY, UT, 84105-1802","(-111.8633638, 40.7449083)"
SYRACUSE ARTS ACADEMY INC,B29,B,"2893 W 1700 S, SYRACUSE, UT, 84075-9838","(-112.0959942, 41.0892337)"
WASATCH PEAK ACADEMY INC,B29,B,"414 CUTLER DR, N SALT LAKE, UT, 84054-2951","(-111.93177291482083, 40.848872997778656)"
BENJAMIN AND SOPHIE CHARITABLE FOUNDATION,T22Z,T,"LOCAL, SALT LAKE CITY, UT, 84124-0000","(-111.86868364341413, 40.7516691)"
JACQUELYN AND GREGORY ZEHNER FOUNDATION,T20Z,T,"21 MARILYN CT, PARK CITY, UT, 84060-6899","(-111.50780787234578, 40.68488146293735)"
SCHOOL OF LIFE FOUNDATION,O50,O,"3169 CANYON VIEW DR, SANTA CLARA, UT, 84765-5150","(-113.658313, 37.139398)"
IGLESIA UNIDA MISIONERA PENTECOSTAL INC,X21,X,"1756 E SEABISCUIT CT, EAGLE MTN, UT, 84005-6364","(-112.0105753, 40.3591892)"
INTERMOUNTAIN DERMATOLOGY SOCIETY,S41,S,"50 N MEDICAL DR, SALT LAKE CTY, UT, 84132-0001","(-111.83727257446809, 40.77303195744681)"
THE FREEDOM ACADEMY FOUNDATION,B29,B,"1190 W 900 N, PROVO, UT, 84604-3171","(-111.67891843925234, 40.2462541682243)"
NORTH STAR ACADEMY,B29,B,"2920 W 14000 S, BLUFFDALE, UT, 84065-5331","(-111.938527, 40.4973392)"
SOCIETY FOR ETHICS ACROSS THE CURRICULUM,B28,B,"800 W UNIVERSITY PKWY, OREM, UT, 84058-6703","(-111.71788683218048, 40.27941055)"
WEST PORTERVILLE PIPELINE COMPANY,W80,W,"2880 S MORGAN VALLEY DR, MORGAN, UT, 84050-9847","(-111.68697240217472, 40.98453801862323)"
AMERICAN FINANCE ASSOCIATION,W22C,W,"1655 E CAMPUS CENTER DR, SALT LAKE CTY, UT, 84112-8939","(-111.8426118, 40.7601857)"
CLAN MACLEOD SOCIETY OF USA INC,A23,A,"279 S 50 W, OREM, UT, 84058-5453","(-111.69612215384616, 40.29199015384615)"
JARVIS AND CONSTANCE DOCTOROW FAMILY FOUNDATION,T20,T,"1238 LAKE STREET, SALT LAKE CITY, UT, 84105-1222","(-111.8699242686118, 40.7419733)"
CONNECTIONS - AN ADVENTURE LEARNING CENTER,P40,P,"1332 W 14550 S, BLUFFDALE, UT, 84065-4838","(-111.93040640826526, 40.48720861184574)"
SHARE WITH LOVE INC,X12,X,"5361 W DOLOMITE DR, HIGHLAND, UT, 84003-9177","(-111.787159, 40.4294593)"
LCPD,P80,P,"1168 W MARCO POLO LN, SOUTH JORDAN, UT, 84095-7820","(-111.9267363, 40.543239)"
