NAME,NTEE_CD,Category,Location,lat_lon
GRANDIN THEATRE FOUNDATION INC,A80,A,"1310 GRANDIN RD SW, ROANOKE, VA, 24015-2316","(-79.97669844605646, 37.26542815)"
KIDS SOAR,P30,P,"305 MOUNTAIN AVE SW, ROANOKE, VA, 24016-4003","(-79.94514185193722, 37.26583155223364)"
OBSCURE ORGANIZATION,B99,B,"300 S JACKSON ST, ARLINGTON, VA, 22204-1737","(-77.09419750270678, 38.8683477)"
GILEAD COMMUNITY DEVELOPMENT CORPORATION INC,B90,B,"8660 POCAHONTAS TRL, WILLIAMSBURG, VA, 23185-6037","(-76.6799942, 37.265366)"
RICHMOND KANNADA SANGHA INC,T30,T,"8627 ALDERSHOT DR, HENRICO, VA, 23294-5114","(-77.5585882, 37.6292033)"
CANI CENTER FOR WISDOM & WHOLENESS,X20,X,"1401 GORT CT, PORTSMOUTH, VA, 23701-3606","(-76.3742073536416, 36.7883508)"
FIRST AME CHURCH OF ALEXANDRIA,X21,X,"8653 RICHMOND HWY, ALEXANDRIA, VA, 22309-4206","(-77.0544274, 38.7936895)"
FINGER PRINTS OF HIS GRACE,X20,X,"400 FLORIDA AVE, PORTSMOUTH, VA, 23707-1902","(-76.33817170204682, 36.8480411)"
SONS OF CONFEDERATE VETERANS INC,W30,W,"5304 DUNLEIGH CT, BURKE, VA, 22015-1616","(-77.26007359782609, 38.806611000000004)"
ETERNITY CHURCH RICHMOND VA,X20,X,"1200 WILMINGTON AVE, RICHMOND, VA, 23227-4426","(-77.45178110099295, 37.5834469)"
DIVINE DESTINY INC,P80,P,"2442 ANNIE CIR, CHESAPEAKE, VA, 23323-3943","(-76.32629196126989, 36.732779)"
ENGRAFTED WORD MINISTRY,P50,P,"505 NORMANDY ST, PORTSMOUTH, VA, 23701-4311","(-76.34620502509182, 36.80338285)"
HIDDEN VALLEY LAKE ASSOCIATES INC,C27,C,"25526 OLD SALTWORKS RD, ABINGDON, VA, 24210-7676","(-81.92966, 36.740788)"
CANNONRIDGE THERAPEUTIC RIDING CENTER,P20,P,"1001 LAND OF PROMISE RD, CHESAPEAKE, VA, 23322-1829","(-76.18543836406454, 36.67444925)"
PAKISTAN AMERICAN SOCIETY OF CENTRAL VIRGINIA,Q33,Q,"3631 TANBY RD, RICHMOND, VA, 23235-1933","(-77.55823567458886, 37.5463446)"
VIRGINIA CARIBBEAN EDUCATION EXCHANGE FOUNDATION,O50,O,"1631 WESTBROOK AVE, RICHMOND, VA, 23227-3313","(-77.46549609829546, 37.595799400000004)"
KIDS HARBOR A MINISTRY OF HARRISONBURG FIRST CHURCH OF THE,P33,P,"1871 BOYERS RD, ROCKINGHAM, VA, 22801-9328","(-78.8559453, 38.3945927)"
HAMPTON ROADS CHAMBER PLAYERS INC,A6E,A,"1420 W PRINCESS ANNE RD, NORFOLK, VA, 23507-1041","(-76.30663053214806, 36.8718292)"
FOUNDATION FOR HOPE,T22,T,"1426 FOUNDING WAY RD, BEDFORD, VA, 24523-4231","(-79.4507371973845, 37.35435036736295)"
CONCERNED CHRISTIANS INC,T30,T,"8963 MERIT CT, MANASSAS, VA, 20110-4304","(-77.49063037841961, 38.7607125)"
