NAME,NTEE_CD,Category,Location,lat_lon
REGULATORY ASSISTANCE PROJECT,C40Z,C,"50 STATE ST, MONTPELIER, VT, 05602-2957","(-72.5769107, 44.2603283)"
TIMMYS KIDS INC,P30,P,"108 MOUNTAIN VIEW DRIVE, SWANTON, VT, 05488-0000","(-73.09701448500645, 44.853414482525835)"
AMERICAN EMU ASSOCIATION,K26,K,"179 SCOTT ROAD, NEWBURY, VT, 05051-9801","(-72.07695539134221, 44.04706366105783)"
ESTEY ORGAN MUSEUM INC,A54,A,"108 BIRGE ST, BRATTLEBORO, VT, 05301-6460","(-72.5662940308225, 42.84742383256253)"
NORTHEAST WILDERNESS TRUST,C30,C,"17 STATE STREET, MONTPELIER, VT, 05602-3172","(-72.57584031646219, 44.26029629893566)"
CRYSTAL LAKE PRESERVATION ASSOCIATION INC,C32,C,"34 MAIN ST, BARTON, VT, 05822-9703","(-72.1747087, 44.7462807)"
VERMONT SUZUKI VIOLINS INC,A62,A,"199 PIETTE RD, HINESBURG, VT, 05461-7107","(-73.08497903749188, 44.342584381295715)"
KPAS INC,O20,O,"293 SCHOOL RD, WARREN, VT, 05674-9559","(-72.85097071740962, 44.11607695668474)"
KINGDOM ANIMAL SHELTER INC,D20,D,"1161 PORTLAND ST, ST JOHNSBURY, VT, 05819-2064","(-71.99251332105999, 44.42186595)"
ASSOCIATION OF CIVILIAN TECHNICIANS INC,J40,J,"112 NCO DR, S BURLINGTON, VT, 05403-8801","(-73.15196818181819, 44.47893181818182)"
MILES FOR MIGRAINE,E12,E,"16 CILLEY HILL RD, JERICHO, VT, 05465-8901","(-72.9860144569391, 44.51063180904791)"
HEARTSFIRE FOUNDATION INC,T20,T,"207 N JEFFERSON RD, S BURLINGTON, VT, 05403-7956","(-73.19094526242466, 44.4217812547384)"
VERMONT HANDBELL ASSOCIATION,A68,A,"1044 SUGAR HILL RD, WALLINGFORD, VT, 05773-9631","(-72.9250895804203, 43.451931018235385)"
POORE FAMILY FOUNDATION FOR NORTH COUNTRY CONSERVANCY,A540,A,"201 ROLLIN IRISH RD, WESTFORD, VT, 05494-9799","(-73.083581, 44.578289)"
SPECIAL NEEDS SUPPORT CENTER OF THE UPPER VALLEY,P41Z,P,"129 SOUTH MAIN STREET, WHITE RIVER JUNCTION, VT, 05001-7400","(-72.3190211, 43.6467153)"
SWEET ADELINES INTERNATIONAL,A6BZ,A,"308 BROOK RD, STRAFFORD, VT, 05072-9802","(-72.41571297902459, 43.8469885)"
NEW ENGLAND TRAFFIC AND SAFETY EDUCATION ASSOCIATION INC,M40,M,"449 QUECHEE RD, HARTLAND, VT, 05048-9561","(-72.406233, 43.571254)"
CHILDRENS LITERACY FOUNDATION,B92,B,"1536 LOOMIS HILL RD, WATERBURY CTR, VT, 05677-8259","(-72.69194755459885, 44.38415247011108)"
