NAME,NTEE_CD,Category,Location,lat_lon
OROMO CULTURAL CENTER,A23,A,"8817 RENTON AVE S, SEATTLE, WA, 98118-4918","(-122.2767405, 47.5236571)"
SW WASHINGTON HIGH TECHNOLOGY COUNCIL,S41,S,"4917 NE 51ST ST, VANCOUVER, WA, 98661-2727","(-122.62083474287503, 45.65879295)"
OLYMPIC PENINSULA COMMUNITY CLINIC,E30,E,"819 GEORGIANA ST, PORT ANGELES, WA, 98362-3511","(-123.4250795, 48.1173339)"
SPIRITVISION,B99,B,"2824 S 357TH CT, FEDERAL WAY, WA, 98003-8626","(-122.29706462928657, 47.28118285)"
INTERNATIONAL ASSOCIATION OF LIONS CLUB,S99,S,"44114 161ST AVE E, EATONVILLE, WA, 98328-7435","(-122.2227284016965, 46.855802)"
WASHINGTON MUSEUM OF MILITARY TECHNOLOGY,A50,A,"10807 159TH AVE SE, SNOHOMISH, WA, 98290-7706","(-122.01811013980927, 47.89936881083816)"
TRI-CITIES PREP FOUNDATION,B12,B,"9612 SAINT THOMAS DR, PASCO, WA, 99301-9172","(-119.20999070263488, 46.272588242380216)"
VIKING TRACK BOOSTERS,T20,T,"15500 SIMONDS RD NE, KENMORE, WA, 98028-4430","(-122.22260063252287, 47.741450549999996)"
COLBERT ELEMENTRY PTO,B94,B,"4526 E GREENBLUFF RD, COLBERT, WA, 99005-9654","(-117.3454228517287, 47.80900317438921)"
LITERACY FOR HAITI INC,Q33,Q,"2610 13TH ST, CLARKSTON, WA, 99403-3206","(-117.0586383, 46.4097572)"
ASSOCIATION OF ERITREAN CHURCHES IN NORTH AMERICA,X03,X,"5710 22ND AVE NW, SEATTLE, WA, 98107-3144","(-122.38450659245996, 47.67072805)"
JET CITY JUMPERS INC,N50,N,"12520 206TH PL SE, ISSAQUAH, WA, 98027-8543","(-122.06245395628522, 47.490084100000004)"
WOLVERTON MOUNTAIN PEACEKEEPERS INC,N61,N,"8005 NE 102ND CIR, VANCOUVER, WA, 98662-1363","(-122.5911057390428, 45.69526535)"
GLOBAL AID AGAINST POVERTY INC,Q30,Q,"8410 S 117TH PL, SEATTLE, WA, 98178-4008","(-122.22703717499999, 47.49777245)"
CLAN BAILEY SOCIETY INTERNATIONAL,A23,A,"13101 42ND AVE W, MUKILTEO, WA, 98275-5801","(-122.29031162869762, 47.8787733380425)"
PREVENT HOMELESS PETS,D20,D,"1000 IRMA LN, BENTON CITY, WA, 99320-7895","(-119.489171, 46.274903)"
HERO HOUSE,P82,P,"12838 SE 40TH PL, BELLEVUE, WA, 98006-1212","(-122.16803083899164, 47.57337096358391)"
EASTSIDE FIREFIGHTERS PIPES AND DRUMS,W99,W,"7522 122ND AVE NE, KIRKLAND, WA, 98033-8225","(-122.17709298965175, 47.672553199999996)"
OLYMPIA ART LEAGUE,A20,A,"4315 CHAMBERS LAKE DR SE, LACEY, WA, 98503-3132","(-122.829725, 47.024292)"
SOUNDVIEW MUSIC EDUCATORS ASSOCIATION,A68,A,"22450 19TH AVE S, DES MOINES, WA, 98198-7623","(-122.30766251720902, 47.3997285)"
MEDICAL SAFETY NET OF NORTH WHIDBEY,P60,P,"1517 POLNELL RD, OAK HARBOR, WA, 98277-8603","(-122.5522419, 48.2858488)"
WA KOREAN WOMEN REALTORS ASSOCIATION,B60,B,"1270 BELLEVUE WAY NE, BELLEVUE, WA, 98004-3675","(-122.20155389655172, 47.62204906896552)"
HOME FOR HOME INC,Q33,Q,"530 E LAKE STEVENS RD, LAKE STEVENS, WA, 98258-8667","(-122.0751284, 48.0000769)"
FRIENDS OF THE TUMWATER TIMBERLAND LIBRARY,B70,B,"7023 NEW MARKET ST SW, TUMWATER, WA, 98501-6563","(-122.9131005, 46.9793616)"
PRAISE A LUJAH DISCIPLESHIP,X20,X,"19825 DES MOINES MEMORIAL DR S, DES MOINES, WA, 98148-2274","(-122.32013116543229, 47.424324999999996)"
NORTHWEST PERI OPERATIVE CONSORTIUM,E03,E,"1550 N 115TH ST, SEATTLE, WA, 98133-8401","(-122.3373243, 47.7151277)"
IGLESIA PENTECOSTAL FUEGO DE DIOS,X21,X,"6403 E MILL PLAIN BLVD, VANCOUVER, WA, 98661-7474","(-122.60664197818289, 45.62764020264015)"
LEAGUE OF WOMEN VOTERS OF MASON COUNTY,R40,R,"130 W PINE ST, SHELTON, WA, 98584-3449","(-123.10007522614733, 47.215305329494115)"
TRI CITY FUZION,N99,N,"1320 ROAD 56, PASCO, WA, 99301-2399","(-119.16465617171717, 46.240713484848484)"
SMT BOOSTERS,B112,B,"1300 NW 139TH ST, VANCOUVER, WA, 98685-1858","(-122.68480915305847, 45.7235545)"
THE STOREHOUSE,K31,K,"26201 180TH AVE SE, COVINGTON, WA, 98042-4917","(-122.1029596844217, 47.3666345)"
WASHINGTON INFORMATION NETWORK 2-1-1,E99,E,"304 W LINCOLN AVE, YAKIMA, WA, 98902-2656","(-120.51460960406605, 46.604377098305484)"
SLOW FOOD USA INC,K40,K,"217 1ST AVE, SEATTLE, WA, 98194-4544","(-122.3416918, 47.6105357)"
A CONTEMPORARY THEATRE FOUNDATION,A11,A,"700 UNION ST, SEATTLE, WA, 98101-2330","(-122.3323262, 47.6108495)"
TUMWATER DOWNTOWN ASSOCIATION,S41,S,"1950 BLACK LAKE BLVD SW, OLYMPIA, WA, 98512-5651","(-122.94307245454546, 47.03043363636364)"
RENTON AREA ATHLETIC ASSOCIATION,N65,N,"8431 S 115TH ST, SEATTLE, WA, 98178-3926","(-122.22605635, 47.500167149999996)"
CHIEF UMTUCH PTO,B94,B,"900 NW 9TH ST, BATTLE GROUND, WA, 98604-0000","(-122.5403208, 45.7874888)"
VIETNAMESE COMMUNITY FOR MUTUAL SUPPORT OF SEATTLE CITY,Y50,Y,"5124 NE 4TH CT, RENTON, WA, 98059-4566","(-122.15019542426256, 47.489692649999995)"
BEGINNING CHRISTIAN CHURCH,X20,X,"120 COTA ST, SHELTON, WA, 98584-0000","(-123.10059259633499, 47.21215084673544)"
BURIEN MONTESSORI SCHOOL INC,B24,B,"220 SW 160TH ST, BURIEN, WA, 98166-3026","(-122.3368395008186, 47.4601733)"
WASHINGTON STATE UNIVERSITY,O52,O,"560 NACHES AVE SW, RENTON, WA, 98057-2219","(-122.23331062925391, 47.475199)"
A PHILIP RANDOLPH INSTITUTE TACOMA CHAPTER,B01,B,"3049 S 36TH STREET, TACOMA, WA, 98409-5729","(-122.47565704081633, 47.226349)"
FRENCH BILINGUAL ASSOCIATION,B94,B,"17215 NE 8TH ST, BELLEVUE, WA, 98008-4121","(-122.11059228571429, 47.616706)"
FAITH IN ACTION WEST SOUND,P80,P,"111 NE OLD BELFAIR HWY, BELFAIR, WA, 98528-9634","(-122.82837765273335, 47.4556929)"
HEART TO HEART FOUNDATION,P20,P,"3039 NW LACAMAS DR, CAMAS, WA, 98607-9145","(-122.44093771497111, 45.62537161708246)"
GEE HOW OAK TIN ASSOCIATION,Y42,Y,"519 7TH AVE SOUTH, SEATTLE, WA, 98104-2971","(-122.3239182, 47.59774)"
FORESTS ARE FOREVER,C30,C,"9270 PROVOST RD NW, SILVERDALE, WA, 98383-6852","(-122.70701804668512, 47.65091515774773)"
RAISING RESILIENCE,P40,P,"2620 E 11TH ST, BREMERTON, WA, 98310-4904","(-122.61031961363636, 47.57030461363637)"
AWAKENING ENLIGHTENMENT BUDDHIST MONASTERY,X50,X,"1405 21ST AVE, LONGVIEW, WA, 98632-2820","(-122.94500450214305, 46.14000592737588)"
TU-LUONG MEDICAL MISSION FOUNDATION,P20,P,"13037 4TH AVE S, BURIEN, WA, 98168-2651","(-122.32899092258413, 47.485590650000006)"
AFRICA CONSULTANTS INTERNATIONAL INC,B60,B,"2502 25TH AVE W, SEATTLE, WA, 98199-3412","(-122.38861920677677, 47.64132995)"
SPARTAN CHORAL ASSOCIATION,A99,A,"1707 MAIN ST, SUMNER, WA, 98390-1815","(-122.2332457, 47.2039918)"
REJOICE JOHN FOUNDATION,L99,L,"10615 CORNELL AVE S, SEATTLE, WA, 98178-2633","(-122.2452926, 47.507657800000004)"
BOB & EILEEN GILMAN FAMILY FOUNDATION,T22,T,"1000 SECOND AVENUE, SEATTLE, WA, 98104-1022","(-122.33511435, 47.605674300000004)"
