NAME,NTEE_CD,Category,Location,lat_lon
US NAVAL SEA CADET CORPS,O51,O,"175 S BARKER RD, BROOKFIELD, WI, 53045-3556","(-88.166955, 43.0336924)"
JARED C BRUCE ACADEMY,B20,B,"6090 N 35TH ST, MILWAUKEE, WI, 53209-3602","(-87.95556699004189, 43.1284608)"
BLOOMER WRESTLING CLUB,N60,N,"13727 110TH ST, BLOOMER, WI, 54724-9347","(-91.4617631, 45.1228351)"
TONY DAVIS MEMORIAL ENDOWMENT FUND INC,N126,N,"10643 N BAY SHORE LN, MILTON, WI, 53563-8939","(-89.00311945894937, 42.827665230193325)"
OVERTURE CENTER FOUNDATION INC,A11,A,"201 STATE ST, MADISON, WI, 53703-2214","(-89.38855121674261, 43.074369649999994)"
WAUSAU EAST JUNIOR JACKS WRESTLING CLUB INC,N50,N,"219 STURGEON EDDY RD, WAUSAU, WI, 54403-6626","(-89.62228353061224, 44.942606469387755)"
JEFFERSON YOUTH TACKLE FOOTBALL INC,N65,N,"1306 JAMES CT, JEFFERSON, WI, 53549-2036","(-88.80484257770621, 42.991808338337)"
SD PROPERTIES INC,S470,S,"1730 W NORTH AVE, MILWAUKEE, WI, 53205-1254","(-87.93434414457977, 43.0605411320063)"
WAUNAKEE COMMUNITY BAND INC,A6C,A,"1414 SPAHN DR, WAUNAKEE, WI, 53597-3010","(-89.475121, 43.181411)"
CHESAPEAKE RETRIEVER RESCUE OF WISCONSIN,D20,D,"1318 S KERNAN AVE, APPLETON, WI, 54915-3758","(-88.3834810340904, 44.250425295207975)"
FOX CITIES BAPTIST CHURCH INC,X21,X,"1127 W PACKARD ST, APPLETON, WI, 54914-3871","(-88.42306190166957, 44.26568037301428)"
FRIENDS OF ST LAWRENCE STANGELVILLE,X11,X,"645 DANISH WAY, DENMARK, WI, 54208-8946","(-87.8283934259398, 44.356090919868095)"
CALEDONIA HISTORICAL SOCIETY INC,A80,A,"5043 CHESTER LN, RACINE, WI, 53402-2414","(-87.8050373526012, 42.78715785)"
BETHEL PENTECOSTAL CHURCH OF LONG LAKE INC,X21,X,"30 SETTLEMENT RD, LONG LAKE, WI, 54542-9728","(-88.6665393, 45.8676868)"
LEAST OF THESE INTERNATIONAL MINISTRIES INC,Q30,Q,"1036 W ATKINSON AVE, MILWAUKEE, WI, 53206-3062","(-87.9245345, 43.084711)"
BOARD OF REGENTS OF THE UNIVERSITY OF WISCONSIN SYSTEM,O52,O,"811 HARDING ST, WAUPACA, WI, 54981-2012","(-89.06646088212642, 44.350644349999996)"
CHRIST THE SOLID ROCK BAPTIST CHURCH,X20,X,"1502 PARKSIDE DR, MADISON, WI, 53704-3613","(-89.31536677471519, 43.11887684970176)"
ABIDING LOVE WORSHIP CENTER INC,X21,X,"4660 N 42ND ST, MILWAUKEE, WI, 53209-5828","(-87.96480365049659, 43.10214485)"
UNITED SERBIAN YOUTH SOCCER CLUB INC,N64,N,"3201 S 51ST ST, MILWAUKEE, WI, 53219-4514","(-87.9777748, 42.9891264)"
ELM LAWN PARENT TEACHER ORGANIZATION INC,B94,B,"6701 WOODGATE RD, MIDDLETON, WI, 53562-3818","(-89.49959968935165, 43.08997223899709)"
SLOW FOOD USA INC,K40,K,"1925 MELROSE ST, MADISON, WI, 53704-3327","(-89.35865107813228, 43.12302487738534)"
ALLIANCE FOR PERFORMANCE EXCELLENCE INC,S99,S,"411 N HARRISON ST, STOUGHTON, WI, 53589-1514","(-89.22935980244843, 42.92138369026617)"
ASSEMBLY OF PENTECOSTAL CHURCHES OF JESUS CHRIST-IGLESIA AGUA DE VIDA,X20,X,"1020 S 3RD ST, WATERTOWN, WI, 53094-6538","(-88.72403285313958, 43.18616444229509)"
CATHOLICS FOR PEACE AND JUSTICE INC,X20,X,"5101 W CENTER ST, MILWAUKEE, WI, 53210-2361","(-87.97793289382722, 43.0675841)"
WI BICHON FRISE RESCUE INC,D20,D,"15562 COUNTY SHOP RD, DARLINGTON, WI, 53530-9760","(-90.12376880929268, 42.6686709)"
LIVING WORD MINISTRIES,X21,X,"5232 W CENTER ST, MILWAUKEE, WI, 53210-2334","(-87.97962685922764, 43.06816285)"
BEST CAMP INC,X20,X,"3470 N 54TH ST, MILWAUKEE, WI, 53216-2802","(-87.9806974, 43.0823154)"
GREEN BAY NEIGHBORHOODS,R30,R,"437 S JACKSON ST, GREEN BAY, WI, 54301-3909","(-88.01040612244898, 44.50716534693878)"
WHITEFISH BAY HIGH SCHOOL MUSIC PARENTS ASSOC,B94,B,"1200 E FAIRMOUNT AVE, WHITEFISH BAY, WI, 53217-6011","(-87.89622034199547, 43.108482249999994)"
SBCA NORTHEAST,S41,S,"6300 ENTERPRISE LN, MADISON, WI, 53719-1190","(-89.4893225, 43.0559683)"
PRAIRIE FARM RIDGELAND FOOD PANTRY,K31,K,"405 BLUFF AVE N, PRAIRIE FARM, WI, 54762-9779","(-91.97758260102324, 45.2411623513348)"
DEAF WOMEN OF COLOR,S81,S,"1818 W GREENFIELD AVE, MILWAUKEE, WI, 53204-2659","(-87.9362097572695, 43.017375799999996)"
NORTH FOND DU LAC BOYS BASEBALL,N63,N,"1709 FAIRLAWN AVE, N FOND DU LAC, WI, 54937-1036","(-88.4930993, 43.8204224)"
SHERMAN PARK COMMUNITY MINISTRIES INC,P20,P,"3302 N SHERMAN BLVD, MILWAUKEE, WI, 53216-3530","(-87.96681851349004, 43.079504299999996)"
NORTH DIVISION HIGH SCHOOL ALUMNI ASSOCIATION OF MILWAUKEE WISCONSIN,B11,B,"3020 W VLIET STREET, MILWAUKEE, WI, 53208-2461","(-87.95181280420067, 43.049003)"
STELLA MARIS FOUNDATION,P20,P,"111 N WASHINGTON STREET, GREEN BAY, WI, 54301-4255","(-88.01609375510205, 44.51454340816326)"
NESH EIM FAMILY FOUNDATION,T20,T,"12438 N CIRCLE DR, MEQUON, WI, 53092-2605","(-87.93163110307631, 43.24414260128003)"
CASA HISPANA,B82,B,"1475 OPPORTUNITY WAY, MENASHA, WI, 54952-1293","(-88.41455929985128, 44.2279544)"
HAVENWOODS ECONOMIC DEVELOPEMENT CORP,S31,S,"6161 N 64TH ST, MILWAUKEE, WI, 53218-1543","(-87.99322641637931, 43.130032400000005)"
ELCA OUTREACH CENTER INC,P28,P,"6218 26TH AVE, KENOSHA, WI, 53143-4316","(-87.84058871798808, 42.578555341405064)"
LAKESHORE STORM VOLLEYBALL CLUB INC,O50,O,"1912 S 9TH ST, MANITOWOC, WI, 54220-6251","(-87.6593898, 44.076494000000004)"
LOGAN BOOSTER CLUB,B94,B,"1500 RANGER DR, LA CROSSE, WI, 54603-2713","(-91.2338804559586, 43.844271500000005)"
NORTHEAST WISCONSIN DEER MANAGEMENT ALLIANCE,N50,N,"145 S BIRCH AVE, GILLETT, WI, 54124-9305","(-88.3083424, 44.8844186)"
WISPACT INC,P80,P,"226 CORPORATE DR, MADISON, WI, 53714-2406","(-89.31914967674876, 43.10195153145882)"
FRIENDS OF THE MUEHL PUBLIC LIBRARY INC,B70,B,"436 N MAIN ST, SEYMOUR, WI, 54165-1021","(-88.3299488888889, 44.51585708333333)"
DOOR COUNTY SCOTTIE RALLY INC,D20,D,"2540 JUNIPER RIDGE ROAD, BAILEYS HARBOR, WI, 54202-0000","(-87.13690782924174, 45.069266753089096)"
UNITED STATES BOWLING CONGRESS INC,N70,N,"13852 S SAINT CROIX RD, GORDON, WI, 54838-9120","(-91.77871366419429, 46.26644197497121)"
VOCES DE LA FRONTERA ACTION INC,R40,R,"1027 S 5TH ST, MILWAUKEE, WI, 53204-1734","(-87.91694826530613, 43.02080685714286)"
RIVERVIEW PTO,B112,B,"300 E PROSSER ST, SILVER LAKE, WI, 53170-1409","(-88.170361, 42.552409)"
WISCONSIN TRIBAL CONSERVATION ADVISORY COUNCIL INC,C30,C,"607 GREEN BAY AVE, OCONTO FALLS, WI, 54154-1564","(-88.1466641, 44.8713316)"
HEALTH MINISTRIES FOR HAITI INC,Q33,Q,"9 E SPYGLASS CT, MADISON, WI, 53717-1143","(-89.49905802004854, 43.07610690238431)"
