NAME,NTEE_CD,Category,Location,lat_lon
WESTMORELAND APARTMENTS INC,L22,L,"3609 HUGHES STREET, HUNTINGTON, WV, 25704-1952","(-82.50742483097723, 38.39956325857291)"
HANDS OF HOPE MINISTRIES INC,P28,P,"2 OAKHURST DR, WELCH, WV, 24801-2116","(-81.567555, 37.443707)"
HUNTINGTON JEWISH BENEVOLENT ASSOCIATION INC,T30,T,"16 NANCY LN, BARBOURSVILLE, WV, 25504-1164","(-82.3106861, 38.4139483)"
PROPERTY MANAGEMENT SERVICE INC,L192,L,"355 BLUEFIELD AVENUE, BLUEFIELD, WV, 24701-2883","(-81.22956895163215, 37.267204834037685)"
BODY OF CHRIST MINISTRIES INC,X21,X,"506 JEFFERSON AVE, HUNTINGTON, WV, 25704-2620","(-82.46354602040817, 38.41450832653061)"
RIVER CITIES LIGHTHOUSE,X21,X,"514 6TH AVE, HUNTINGTON, WV, 25701-1912","(-82.44961354378819, 38.4172144)"
CENTRAL APPALACHIAN ASTRONOMY CLUB,U31,U,"324 BARTLETT AVE, BRIDGEPORT, WV, 26330-1815","(-80.24609752205167, 39.285763115612845)"
STATE OF WEST VIRGINIA WEST VIRGINIA UNIVERSITY,O52,O,"157 COUNTY FARM RD, COTTAGEVILLE, WV, 25239-7031","(-81.81981740836554, 38.85879105976818)"
TRUSTEES OF EBENEZER BAPTIST CHURCH INC,X21,X,"615 W MARTIN ST, MARTINSBURG, WV, 25401-2721","(-77.97118557142858, 39.46024885714286)"
FAYETTEVILLE ELEMENTARY SCHOOL PARENT TEACHER ORGANIZATION,B24,B,"515 W MAPLE AVE, FAYETTEVILLE, WV, 25840-1419","(-81.1083268, 38.0494643)"
ISAIAH 58 MINISTRIES INC,L81,L,"452 JAMES ST, BRIDGEPORT, WV, 26330-1336","(-80.25888336608693, 39.28953503810024)"
CHRIS HESS FOUNDATION,T22,T,"117 EDGINGTON LN, WHEELING, WV, 26003-1534","(-80.680841, 40.077384)"
INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES,J40,J,"1591 WASHINGTON ST E, CHARLESTON, WV, 25311-2505","(-81.617435, 38.340797)"
HAVEN OF REST CHURCH,X20,X,"40 WARWICK RD, PT PLEASANT, WV, 25550-1739","(-82.12301056175255, 38.87730598714289)"
WEST VIRGINIA MEDICAL FOUNDATION,E11,E,"2018 KANAWHA BLVD E, CHARLESTON, WV, 25311-2204","(-81.60984195238096, 38.335267095238095)"
BIG RED BAND BOOSTERS ASSOCIATION,B11,B,"2101 DUDLEY AVE, PARKERSBURG, WV, 26101-3462","(-81.54482101399657, 39.27854385)"
SPAY NEUTER ASSISTANCE PROGRAM OF WEST VIRGINIA INCORPORATED,D20,D,"1500 6TH ST, MOUNDSVILLE, WV, 26041-1939","(-80.736216, 39.919241)"
HORACE MANN MIDDLE SCHOOL PARENT- TEACHER ORGANIZATION,B112,B,"4300 MACCORKLE AVE SE, CHARLESTON, WV, 25304-2504","(-81.58612383838384, 38.32420453535354)"
