NAME,NTEE_CD,Category,Location,lat_lon
BURNS ELEMENTARY PARENT ORGANIZATION,B94,B,"PO BOX 304, BURNS, WY, 82053-0304","(-104.358907, 41.1918159)"
WILLOW CREEK REFUGE & PRESERVE,D30,D,"76 STONEY POINT RANCH, DUBOIS, WY, 82513-0000","(-109.6309651, 43.5336369)"
SHOSHONE BACK COUNTRY HORSEMEN,C34,C,"PO BOX 465, POWELL, WY, 82435-0465","(-108.75902, 44.752873)"
DEVILS TOWER SACRED TO MANY PEOPLE INC,S99,S,"380 HWY 12, DEVILS TOWER, WY, 82714-0000","(-104.6984641, 44.5892305)"
BIG HORN BASIN NATURE & DISCOVERY CENTER JOINT POWERS BOARD,C02,C,"PO BOX 528, THERMOPOLIS, WY, 82443-0528","(-108.212043, 43.646067)"
UNIVERSITY OF WYOMING,O52,O,"2011 FAIRGROUNDS RD, CASPER, WY, 82604-2901","(-106.36296628358208, 42.82881726865672)"
LANDER ECONOMIC DEVELOPMENT ASSOCIATION,P99,P,"PO BOX 1306, LANDER, WY, 82520-1306","(-108.730702, 42.8330755)"
JACKSON BRONC BACKERS INC,B11,B,"PO BOX 6350, JACKSON, WY, 83002-6350","(-110.761815, 43.479965)"
YOUTH EMERGENCY SERVICE FOUNDATION,T11,T,"PO BOX 2151, GILLETTE, WY, 82717-2151","(-105.501876, 44.290635)"
CYCLE WYOMING,M42,M,"1116 ALBIN ST, LARAMIE, WY, 82072-1819","(-104.100601, 41.414977)"
JOHN WELCH MINISTRIES,X20,X,"1251 N 21ST ST APT D30, LARAMIE, WY, 82072-5311","(-105.591101, 41.311367)"
FRIENDS OF THE ALPINE LIBRARY INC,B11,B,"PO BOX 3168, ALPINE, WY, 83128-0168","(-111.0178761, 43.1636455)"
SHERIDAN ARTISTS GUILD ET AL,A25,A,"PO BOX 1007, SHERIDAN, WY, 82801-1007","(-106.8222688, 44.7947537)"
CHARTURE INSTITUTE,Y05,Y,"PO BOX 4672, JACKSON, WY, 83001-4672","(-110.761815, 43.479965)"
LITTLE EXPLORERS PRESCHOOL INC,B21,B,"PO BOX 1621, CODY, WY, 82414-1621","(-109.056392, 44.5263107)"
GATEWOOD FOUNDATION INC,T22,T,"1728 S FORK RD, CODY, WY, 82414-8005","(-109.056392, 44.5263107)"
GREYBULL ARTS COUNCIL,A26,A,"PO BOX 742, GREYBULL, WY, 82426-0742","(-108.0554209, 44.488924)"
LITTLE SNAKE RIVER VALLEY AMBULANCE FUND,M23,M,"PO BOX 275, BAGGS, WY, 82321-0275","(-107.657569, 41.035798)"
LARIMER FAMILY FOUNDATION,T22,T,"PO BOX 610, TETON VILLAGE, WY, 83025-0610","(-110.84492617640024, 43.593145)"
BLACK MOUNTAIN NORDIC CLUB,S80,S,"322 E MOUNTAIN VIEW DR, SHERIDAN, WY, 82801-3212","(-106.97915836358449, 44.80045505738587)"
LARAMIE BICYCLING NETWORK,M42,M,"PO BOX 2334, LARAMIE, WY, 82073-2334","(-105.591101, 41.311367)"
NINER FOUNDATION INC,T30J,T,"PO BOX 6754, JACKSON, WY, 83002-6754","(-110.761815, 43.479965)"
TYRRELL FOUNDATION,T20J,T,"6800 N ELLEN CREEK ROAD, TETON VILLAGE, WY, 83025-0000","(-110.84492617640024, 43.593145)"
FREE LUNCH FOUNDATION,T22Z,T,"PO BOX 11450, JACKSON, WY, 83002-1450","(-110.761815, 43.479965)"
NORTH BIG HORN HOSPITAL FOUNDATION,E112,E,"1115 LANE 12, LOVELL, WY, 82431-9537","(-108.3906677, 44.8265753)"
WYOMING BANKERS ASSOCIATION EDUCATIONAL FOUNDATION,T21,T,"PO BOX 2190, CHEYENNE, WY, 82003-2190","(-104.820246, 41.139981)"
LITTLE LEAGUE BASEBALL INC,N63,N,"PO BOX 1131, GREEN RIVER, WY, 82935-1131","(-109.466473, 41.5290933)"
DISABLED SPORTS USA,N68,N,"PO BOX 903, TETON VILLAGE, WY, 83025-1001","(-110.84492617640024, 43.593145)"
THE TROOP 101 FOUNDATION,O114,O,"PO BOX 4001, CHEYENNE, WY, 82003-4001","(-104.820246, 41.139981)"
SHERIDAN COUNTY CATTLEWOMAN,K26,K,"824 US HIGHWAY 14 E, SHERIDAN, WY, 82801-9545","(-106.8222688, 44.7947537)"
SAFE HARBOR A CHILDRENS JUSTICE,I72,I,"JUSTICE CENTER 2712 THOMES AVE, CHEYENNE, WY, 82001-0000","(-104.820246, 41.139981)"
FAMILIES ON THE FRONT LINE,T30,T,"1108 14TH STREET SUITE 105, CODY, WY, 82414-3743","(-109.056392, 44.5263107)"
WYOMING YOUTH IN S T E M,P20,P,"5485 RIVERVIEW RD, RIVERTON, WY, 82501-6239","(-108.46562639251441, 43.02637970030694)"
BLACK HILLS QUILTING RETREAT,N50,N,"255 CHRISTINA DR, LANDER, WY, 82520-2911","(-108.7182243723836, 42.83182924557619)"
CHANSOO & ELISABETH BITTNER JOUNG FOUNDATION,T20,T,"1500 W HANSEN PEAK RD, JACKSON, WY, 83001-7301","(-110.761815, 43.479965)"
NEWCOMER FAMILY FOUNDATION INC,T20,T,"PO BOX 10377, JACKSON, WY, 83002-0377","(-110.761815, 43.479965)"
UNIVERSITY OF WYOMING,O52,O,"1090 DOME LOOP, SHERIDAN, WY, 82801-4536","(-106.8222688, 44.7947537)"
